item_number,description,category,item_link,parts_link,release_year
air010,"Airport - Blue with Scarf, Black Female Hair (Undetermined Type)",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air010,https://www.bricklink.com/catalogItemInv.asp?M=air010,2004
air010a,"Airport - Blue with Scarf, Black Female Hair (Vintage)",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air010a,https://www.bricklink.com/catalogItemInv.asp?M=air010a,1994
air021,"Airport - Blue with Scarf, Black Female Hair, Wide Smile and Eyebrows",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air021,https://www.bricklink.com/catalogItemInv.asp?M=air021,2004
air009,"Airport - Blue, Blue Legs, Black Male Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air009,https://www.bricklink.com/catalogItemInv.asp?M=air009,1994
air018,"Airport - Blue, Blue Legs, Blue Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air018,https://www.bricklink.com/catalogItemInv.asp?M=air018,1996
air017,"Airport - Blue, Blue Legs, Dark Gray Helmet, Black Visor",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air017,https://www.bricklink.com/catalogItemInv.asp?M=air017,1998
air007,"Airport - Blue, Blue Legs, Red Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air007,https://www.bricklink.com/catalogItemInv.asp?M=air007,1994
air008,"Airport - Blue, Blue Legs, Red Construction Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air008,https://www.bricklink.com/catalogItemInv.asp?M=air008,1994
air025,"Airport - Blue, Blue Legs, White Fire Helmet, Breathing Hose, White Air Tanks, Nose Freckles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air025,https://www.bricklink.com/catalogItemInv.asp?M=air025,1999
air016,"Airport - Blue, Light Gray Legs, Red Female Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air016,https://www.bricklink.com/catalogItemInv.asp?M=air016,1996
air001,"Airport - Classic, Black Legs, Black Fire Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air001,https://www.bricklink.com/catalogItemInv.asp?M=air001,1991
air006,"Airport - Classic, Blue Legs, Black Male Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air006,https://www.bricklink.com/catalogItemInv.asp?M=air006,1990
air005,"Airport - Classic, Blue Legs, Blue Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air005,https://www.bricklink.com/catalogItemInv.asp?M=air005,1988
air011,"Airport - Classic, Red Legs, Black Female Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air011,https://www.bricklink.com/catalogItemInv.asp?M=air011,1985
air004,"Airport - Classic, Red Legs, Red Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air004,https://www.bricklink.com/catalogItemInv.asp?M=air004,1990
air012,"Airport - Classic, White Legs, Black Male Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air012,https://www.bricklink.com/catalogItemInv.asp?M=air012,1985
air003,"Airport - Classic, White Legs, Red Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air003,https://www.bricklink.com/catalogItemInv.asp?M=air003,1985
air052,Airport - Jet Pilot Female,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air052,https://www.bricklink.com/catalogItemInv.asp?M=air052,2016
air051,Airport - Jet Pilot Male,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air051,https://www.bricklink.com/catalogItemInv.asp?M=air051,2016
air022,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Brown Eyebrows, Thin Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air022,https://www.bricklink.com/catalogItemInv.asp?M=air022,2006
air044,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Glasses and Open Smile",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air044,https://www.bricklink.com/catalogItemInv.asp?M=air044,2010
air042,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Orange Sunglasses",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air042,https://www.bricklink.com/catalogItemInv.asp?M=air042,2010
air032,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Silver Glasses",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air032,https://www.bricklink.com/catalogItemInv.asp?M=air032,2006
air024,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Standard Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air024,https://www.bricklink.com/catalogItemInv.asp?M=air024,2004
air043,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Black Hat, Vertical Cheek Lines",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air043,https://www.bricklink.com/catalogItemInv.asp?M=air043,2010
air048,"Airport - Pilot with Red Tie and 6 Buttons, Black Legs, Reddish Brown Hair, Brown Beard Rounded",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air048,https://www.bricklink.com/catalogItemInv.asp?M=air048,2011
air029,"Airport - Pilot with Red Tie and 6 Buttons, White Legs, Black Hat, Standard Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air029,https://www.bricklink.com/catalogItemInv.asp?M=air029,2006
air030,"Airport - Pilot with Red Tie and 6 Buttons, White Legs, Black Ponytail Hair, Standard Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air030,https://www.bricklink.com/catalogItemInv.asp?M=air030,2006
air002,"Airport - Pilot, Black Legs, Black Hat",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air002,https://www.bricklink.com/catalogItemInv.asp?M=air002,1985
air055,"Airport - Pilot, Black Legs, Red Tie and 6 Buttons, Black Hat, Black and Silver Sunglasses",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=air055,https://www.bricklink.com/catalogItemInv.asp?M=air055,2016
