"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","age","expression","gender","expressionOne","expressionTwo","otherAttr","expressionDivOne","expressionDivTwo"
"489",497,"3626pb0800","Minifigure, Head Dual Sided Moustache, Goatee, Right Raised Eyebrow, Smirk / Open Mouth Scared Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0800","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0800&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0800#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0800&ColorID=3","#f3d000","no tag"," Smirk / Open Mouth Scared Pattern","male-coded","Smirk","Scared","none","Evil","Scared"
"490",498,"3626pb0758","Minifigure, Head Dual Sided Orange Eyebrows, Pupils, Chin Dimple, Frown / Scared Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0758","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0758&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0758#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0758&ColorID=90","#faccae","no tag"," Frown / Scared Pattern","no tag","Frown","Scared","none","Angry","Scared"
"491",499,"3626pb0785","Minifigure, Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0785","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0785&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0785#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0785&ColorID=90","#faccae","no tag"," Head Dual Sided Red Sunglasses / Red Lenses Flapped Up Pattern (Doc Ock)","no tag","none","none","none","NA","NA"
"492",500,"3626pb0872","Minifigure, Head Dual Sided Reddish Brown Eyebrows, Medium Nougat Chin Dimple, Dimples and Wrinkles, Slight Grin / Worried Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0872","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0872&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0872#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0872&ColorID=90","#faccae","old"," Slight Grin / Worried Pattern","no tag","Grin","Worried","none","Happy","Scared"
"493",501,"3626pb0637","Minifigure, Head Dual Sided White Headband, Medium Nougat Cheek Lines and Chin Dimple, Frown / Lopsided Open Mouth with Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0637","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0637&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0637#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0637&ColorID=90","#faccae","no tag"," Frown / Lopsided Open Mouth with Teeth Pattern","no tag","Frown","none","none","Angry","NA"
"494",502,"3626pb0674","Minifigure, Head Female Black Arched Eyebrows, Eyelashes, Smirk with Silver Lips Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0674","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0674&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0674#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0674&ColorID=3","#f3d000","no tag"," Smirk with Silver Lips Pattern","female-coded","Smirk","none","none","Evil","NA"
"495",503,"3626pb0746","Minifigure, Head Female Black Eyebrows, Dimple, Peach Lips Open Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0746","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0746&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0746#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0746&ColorID=3","#f3d000","no tag"," Peach Lips Open Smile Pattern","female-coded","Smile","none","none","Happy","NA"
"496",504,"3626pb0658","Minifigure, Head Female Black Eyebrows, Double Eyelashes, Beauty Mark, Red Lips, Open Mouth Smile with Teeth and Dimple Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0658","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0658&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0658#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0658&ColorID=3","#f3d000","no tag"," Open Mouth Smile with Teeth and Dimple Pattern","female-coded","Smile","none","Beauty Mark","Happy","NA"
"497",505,"3626pb0657","Minifigure, Head Female Black Eyebrows, Eyelashes, White Surgical Mask Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0657","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0657&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0657#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0657&ColorID=3","#f3d000","no tag"," White Surgical Mask Pattern","female-coded","none","none","Mask","NA","NA"
"498",506,"3626pb0789","Minifigure, Head Female Black Eyebrows, Red Lips, Open Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0789","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0789&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0789#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0789&ColorID=3","#f3d000","no tag"," Open Smile Pattern","female-coded","Smile","none","none","Happy","NA"
