"","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","gender","age","expression"
"325","3626pb0547","Minifigure, Head Black Eyebrows, Left Eye Wink, Lopsided Grin with Dimple Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0547","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0547&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0547#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0547&ColorID=3","#f3d000","no tag","no tag"," Lopsided Grin with Dimple Pattern"
"326","3626pb0521","Minifigure, Head Black Eyebrows, Medium Nougat Chin Dimple, Stern Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0521","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0521&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0521#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0521&ColorID=3","#f3d000","no tag","no tag"," Stern Pattern"
"327","3626pb0524","Minifigure, Head Black Eyebrows, Right Scarred, Medium Nougat Chin Dimple, Stern Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0524","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0524&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0524#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0524&ColorID=3","#f3d000","no tag","no tag"," Stern Pattern"
"328","3626pb0512","Minifigure, Head Black Eyebrows, Right Shaved, Slotted White Sunglasses, Thin Beard, Lopsided Open Mouth Smile with Gold Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0512","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0512&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0512#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0512&ColorID=3","#f3d000","male","no tag"," Lopsided Open Mouth Smile with Gold Teeth Pattern"
"329","3626pb0497","Minifigure, Head Black Eyebrows, Sideburns and Soul Patch, Dark Bluish Gray Beard Stubble, Orange Scar, Smirk Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0497","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0497&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0497#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0497&ColorID=3","#f3d000","male","no tag"," Smirk Pattern"
"330","3626pb0604","Minifigure, Head Black Eyebrows, White Pupils, Chin Dimple, Crow's Feet, Open Mouth Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0604","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0604&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0604#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0604&ColorID=3","#f3d000","no tag","old"," Open Mouth Smile with Teeth Pattern"
"331","3626pb0611","Minifigure, Head Black Eyebrows, White Pupils, Wrinkles, Open Mouth Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0611","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0611&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0611#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0611&ColorID=3","#f3d000","no tag","old"," Open Mouth Smile with Teeth Pattern"
"332","3626pb0548","Minifigure, Head Black Eyebrows, White Pupils, Wrinkles, Scared Look, Open Mouth with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0548","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0548&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0548#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0548&ColorID=3","#f3d000","no tag","old"," Open Mouth with Teeth Pattern"
"333","3626pb0533","Minifigure, Head Black Raised Eyebrows, Angry Open Mouth, White Pupils Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0533","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0533&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0533#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0533&ColorID=3","#f3d000","no tag","no tag"," White Pupils Pattern"
"334","3626pb0608","Minifigure, Head Black Thick Eyebrows, Dark Orange Cheek Lines, Open Mouth Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0608","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0608&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0608#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0608&ColorID=3","#f3d000","no tag","no tag"," Open Mouth Smile with Teeth Pattern"
