"","ID","Name","Year","Parts","Sets","link"
"122","21","Chrome Gold","1989 - 2025","51","298","https://www.bricklink.com/catalogList.asp?v=2&colorID=21"
"123","22","Chrome Silver","1966 - 2025","104","528","https://www.bricklink.com/catalogList.asp?v=2&colorID=22"
"124","57","Chrome Antique Brass","2001 - 2005","3","17","https://www.bricklink.com/catalogList.asp?v=2&colorID=57"
"125","122","Chrome Black","2009 - 2009","11","1","https://www.bricklink.com/catalogList.asp?v=2&colorID=122"
"126","52","Chrome Blue","1998 - 2006","5","14","https://www.bricklink.com/catalogList.asp?v=2&colorID=52"
"127","64","Chrome Green","1999 - 1999","1","2","https://www.bricklink.com/catalogList.asp?v=2&colorID=64"
"128","82","Chrome Pink","2001 - 2007","1","10","https://www.bricklink.com/catalogList.asp?v=2&colorID=82"
"129","83","Pearl White","2003 - 2006","3","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=83"
"130","119","Pearl Very Light Gray","2002 - 2005","21","17","https://www.bricklink.com/catalogList.asp?v=2&colorID=119"
"131","66","Pearl Light Gray","2000 - 2011","505","766","https://www.bricklink.com/catalogList.asp?v=2&colorID=66"
"132","95","Flat Silver","2008 - 2025","888","3314","https://www.bricklink.com/catalogList.asp?v=2&colorID=95"
"133","239","Bionicle Silver","2002 - 2002","6","2","https://www.bricklink.com/catalogList.asp?v=2&colorID=239"
"134","77","Pearl Dark Gray","2000 - 2025","857","1429","https://www.bricklink.com/catalogList.asp?v=2&colorID=77"
"135","244","Pearl Black","2003 - 2006","6","9","https://www.bricklink.com/catalogList.asp?v=2&colorID=244"
"136","61","Pearl Light Gold","2000 - 2005","13","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=61"
"137","115","Pearl Gold","2004 - 2025","1310","2990","https://www.bricklink.com/catalogList.asp?v=2&colorID=115"
"138","235","Reddish Gold","2003 - 2006","28","30","https://www.bricklink.com/catalogList.asp?v=2&colorID=235"
"139","238","Bionicle Gold","2002 - 2002","6","2","https://www.bricklink.com/catalogList.asp?v=2&colorID=238"
"140","81","Flat Dark Gold","2002 - 2006","50","48","https://www.bricklink.com/catalogList.asp?v=2&colorID=81"
"141","249","Reddish Copper","2017 - 2020","21","20","https://www.bricklink.com/catalogList.asp?v=2&colorID=249"
"142","84","Copper","2004 - 2008","11","23","https://www.bricklink.com/catalogList.asp?v=2&colorID=84"
"143","237","Bionicle Copper","2001 - 2001","2","1","https://www.bricklink.com/catalogList.asp?v=2&colorID=237"
"144","255","Pearl Brown","2003 - 2006","3","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=255"
"145","252","Pearl Red","2003 - 2006","3","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=252"
"146","253","Pearl Green","2003 - 2006","3","7","https://www.bricklink.com/catalogList.asp?v=2&colorID=253"
"147","254","Pearl Blue","2003 - 2009","4","9","https://www.bricklink.com/catalogList.asp?v=2&colorID=254"
"148","78","Pearl Sand Blue","2002 - 2005","44","23","https://www.bricklink.com/catalogList.asp?v=2&colorID=78"
"149","243","Pearl Sand Purple","?","","","https://www.bricklink.com/catalogList.asp?v=2&colorID=243"
"150","228","Satin Trans-Clear","2020 - 2025","23","103","https://www.bricklink.com/catalogList.asp?v=2&colorID=228"
"151","229","Satin Trans-Brown","2020 - 2023","7","12","https://www.bricklink.com/catalogList.asp?v=2&colorID=229"
"152","170","Satin Trans-Yellow","2024 - 2025","3","6","https://www.bricklink.com/catalogList.asp?v=2&colorID=170"
"153","233","Satin Trans-Bright Green","2021 - 2025","11","18","https://www.bricklink.com/catalogList.asp?v=2&colorID=233"
"154","223","Satin Trans-Light Blue","2020 - 2025","54","141","https://www.bricklink.com/catalogList.asp?v=2&colorID=223"
"155","232","Satin Trans-Dark Blue","2021 - 2025","16","37","https://www.bricklink.com/catalogList.asp?v=2&colorID=232"
"156","230","Satin Trans-Purple","2020 - 2025","19","56","https://www.bricklink.com/catalogList.asp?v=2&colorID=230"
"157","224","Satin Trans-Dark Pink","2020 - 2025","17","50","https://www.bricklink.com/catalogList.asp?v=2&colorID=224"
"158","67","Metallic Silver","1957 - 2025","209","798","https://www.bricklink.com/catalogList.asp?v=2&colorID=67"
"159","70","Metallic Green","2001 - 2005","31","10","https://www.bricklink.com/catalogList.asp?v=2&colorID=70"
"160","65","Metallic Gold","1997 - 2025","122","351","https://www.bricklink.com/catalogList.asp?v=2&colorID=65"
"161","250","Metallic Copper","2007 - 2012","6","14","https://www.bricklink.com/catalogList.asp?v=2&colorID=250"
"162","60","Milky White","1963 - 2008","26","146","https://www.bricklink.com/catalogList.asp?v=2&colorID=60"
"163","159","Glow In Dark White","2011 - 2025","85","109","https://www.bricklink.com/catalogList.asp?v=2&colorID=159"
"164","46","Glow In Dark Opaque","1990 - 2011","89","89","https://www.bricklink.com/catalogList.asp?v=2&colorID=46"
