"","Description","ItemNo","Link","Quantity","NumberSets","ColorID","PriceLink","current_new_avg","current_new_min","current_new_max","past_new_avg","past_new_min","past_new_max"
"40","Nougat Minifigure, Head Dual Sided Female Black Eyebrows and Glasses, Lopsided Grin / Open Mouth Smile Pattern ","3626pb3173","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3173&idColor=28",1,"2","28","https://www.bricklink.com/catalogPG.asp?P=3626pb3173&ColorID=28","US $1.27","US $0.32","US $7.03","US $0.79","US $0.43","US $2.68"
"41","Nougat Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Dark Orange Lips, Lopsided Grin with Dimple / Open Mouth Smile with Teeth Pattern ","3626pb3170","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3170&idColor=28",1,"6","28","https://www.bricklink.com/catalogPG.asp?P=3626pb3170&ColorID=28","US $1.14","US $0.32","US $6.85","US $0.82","US $0.33","US $4.35"
"42","Nougat Minifigure, Head Female Black Eyebrows, Eyelashes, Dark Orange Lips, Tan Hearing Aid on Left, Open Mouth Smile with Teeth Pattern ","3626pb3723","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3723&idColor=28",1,"1","28","https://www.bricklink.com/catalogPG.asp?P=3626pb3723&ColorID=28","US $1.40","US $0.66","US $2.75","US $1.30","US $0.63","US $1.99"
"43","Reddish Brown Minifigure, Head Black Eyebrows and Beard, Open Mouth Smile Pattern ","3626pb2907","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb2907&idColor=88",1,"6","88","https://www.bricklink.com/catalogPG.asp?P=3626pb2907&ColorID=88","US $1.75","US $0.62","US $7.32","US $1.47","US $0.43","US $3.44"
"44","Reddish Brown Minifigure, Head Black Eyebrows, Bright Light Blue Hearing Aid on Left with Black Ear Insert, Lopsided Open Mouth Smile with Teeth Pattern ","3626pb3156","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3156&idColor=88",1,"2","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3156&ColorID=88","US $1.44","US $0.36","US $5.89","US $1.01","US $0.25","US $2.79"
"45","Reddish Brown Minifigure, Head Dual Sided Black Eyebrows and Square Glasses, Closed Mouth Smile / Wink, Open Mouth with Teeth and Red Tongue Pattern ","3626pb3742","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3742&idColor=88",1,"1","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3742&ColorID=88","US $1.71","US $0.83","US $2.64","US $1.59","US $0.84","US $3.30"
"46","Reddish Brown Minifigure, Head Dual Sided Female Black Eyebrows and Eyelashes, Metallic Pink and Silver Glasses, Closed Mouth Smile / Open Mouth Grin with Teeth, No Glasses Pattern ","3626pb3727","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3727&idColor=88",1,"1","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3727&ColorID=88","US $1.87","US $0.90","US $3.64","US $1.73","US $0.88","US $2.77"
"47","Reddish Brown Minifigure, Head Dual Sided Female Black Eyebrows Thick, Single Eyelashes, Dark Brown Lips, Open Mouth Smile with Top Teeth and Red Tongue / Smirk Pattern ","3626pb3015","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3015&idColor=88",1,"4","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3015&ColorID=88","US $0.98","US $0.39","US $4.91","US $0.84","US $0.37","US $1.49"
"48","Reddish Brown Minifigure, Head Dual Sided Female Dark Brown Eyebrows, Black Eyelashes, Copper Eye Shadow, Gold Lips, Closed Mouth Smile / Open Mouth Grin with Teeth Pattern ","3626pb3738","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3738&idColor=88",1,"1","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3738&ColorID=88","US $1.86","US $0.85","US $3.46","US $1.63","US $0.84","US $2.23"
"49","Reddish Brown Minifigure, Head Female Black Eyebrows, Orange Goggles, Dark Brown Lips Pattern ","3626pb3167","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3167&idColor=88",1,"2","88","https://www.bricklink.com/catalogPG.asp?P=3626pb3167&ColorID=88","US $1.48","US $0.32","US $6.54","US $1.04","US $0.43","US $2.65"
"50","Medium Nougat Minifigure, Head Female Black Eyebrows, Eyes and Eyelashes, Reddish Brown Lips, Neutral Pattern","3626pb3719","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3719&idColor=150",1,"1","150","https://www.bricklink.com/catalogPG.asp?P=3626pb3719&ColorID=150","US $6.61","US $6.43","US $6.85","US $3.97","US $1.57","US $6.52"
"51","Dark Orange Minifigure, Head Black Eyebrows, Reddish Brown Cheek Lines, Chin Dimple and Dots under Eyes, Neutral Pattern","3626pb3718","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3718&idColor=68",1,"1","68","https://www.bricklink.com/catalogPG.asp?P=3626pb3718&ColorID=68","US $2.86","US $2.86","US $2.86","US $2.65","US $1.57","US $4.16"
