emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,29,0,3,8,39
annoyed,11,2,0,3,13
evil,6,0,0,0,4
happy,51,6,2,4,133
neutral,30,2,4,3,27
sad,35,1,3,6,34
scared,22,1,6,1,41
sleepy,1,0,0,0,5
smirk,42,2,3,5,81
surprised,9,1,0,1,7
