emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,32,2,2,6,23
annoyed,9,2,0,0,18
evil,6,1,0,0,0
happy,105,8,5,9,149
neutral,44,4,1,4,51
sad,25,3,2,1,20
scared,20,1,2,0,18
sleepy,2,0,0,0,2
smirk,38,6,4,5,65
surprised,6,0,0,0,1
