emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,1,0,0,0,0
annoyed,0,0,0,0,0
evil,0,0,0,0,0
happy,5,0,0,0,0
neutral,0,0,0,0,0
sad,1,0,0,0,0
scared,2,0,0,0,0
sleepy,0,0,0,0,0
smirk,1,0,0,0,0
surprised,0,0,0,0,0
