emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,29,0,3,8,39
annoyed,11,2,0,3,13
evil,6,0,0,0,4
frown,25,0,3,4,17
happy,25,3,1,2,61
neutral,30,2,4,3,27
sad,10,1,0,2,17
scared,22,1,6,1,41
sleepy,1,0,0,0,5
smile,26,3,1,2,72
smirk,42,2,3,5,81
surprised,9,1,0,1,7
