emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,26,0,0,1,12
annoyed,10,1,0,1,3
evil,6,0,0,0,2
frown,17,0,0,1,8
happy,9,1,4,0,7
neutral,21,1,1,1,12
sad,3,0,0,0,6
scared,4,0,0,0,2
sleepy,0,0,0,0,0
smile,17,0,4,3,6
smirk,14,0,4,0,5
surprised,3,0,0,0,1
