emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,32,2,2,6,23
annoyed,9,2,0,0,18
evil,6,1,0,0,0
frown,15,3,1,1,15
happy,21,1,1,2,70
neutral,44,4,1,4,51
sad,10,0,1,0,5
scared,20,1,2,0,18
sleepy,2,0,0,0,2
smile,84,7,4,7,79
smirk,38,6,4,5,65
surprised,6,0,0,0,1
