emotion,Light Nougat,Medium Nougat,Nougat,Reddish Brown,Yellow
angry,127,1,7,6,109
annoyed,50,2,3,9,25
evil,12,0,1,0,8
frown,79,3,1,3,54
happy,47,1,1,17,89
neutral,121,3,9,23,93
sad,22,1,0,0,13
scared,39,1,1,3,30
sleepy,8,0,0,0,1
smile,106,2,5,11,152
smirk,61,2,6,0,94
surprised,12,0,0,0,8
