...1,item_number,description,category,item_link,release_year
8446,sw1111,"Gonk Droid (GNK Power Droid), Sand Green",Star Wars,https://bricklink.com/v2/catalog/catalogitem.page?M=sw1111,2020
1099,cas267,"Knights Kingdom II - Santis with Gold Pattern Armor, Dark Tan Hands",Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas267,2005
1763,colsh04,"Stargirl, DC Super Heroes (Minifigure Only without Stand and Accessories)",Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=colsh04,2020
10103,mar0093,"Baby Penguin, Super Mario, Series 4 (Character Only)",Super Mario,https://bricklink.com/v2/catalog/catalogitem.page?M=mar0093,2022
4749,hol020,"Overalls Farmer Green, Tan Female Hair",Holiday & Event,https://bricklink.com/v2/catalog/catalogitem.page?M=hol020,2013
7609,bob006,Mrs. Puff,SpongeBob SquarePants,https://bricklink.com/v2/catalog/catalogitem.page?M=bob006,2007
12706,trn059,"Railway Employee 5, Dark Gray Legs, Black Hat",Train,https://bricklink.com/v2/catalog/catalogitem.page?M=trn059,1998
12312,twn416,"Mom - Bright Light Orange Jacket, Medium Lavender Legs, Dark Orange Hair",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn416,2021
1066,cas293,Knights Kingdom II - Karzon,Castle,https://bricklink.com/v2/catalog/catalogitem.page?M=cas293,2006
7879,soc103,"Soccer Player French Team, White Legs Player 3",Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc103,2002
2000,dp105,Aurora - Blue and Gold Filigree Dress,Disney,https://bricklink.com/v2/catalog/catalogitem.page?M=dp105,2020
11073,twn132,"Bride, Printed Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=twn132,2011
12969,wr003,Official 1,World Racers,https://bricklink.com/v2/catalog/catalogitem.page?M=wr003,2010
4356,hp205,"Professor Filius Flitwick, Light Bluish Gray Vest",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp205,2019
11716,cty0524,"Fire - Reflective Stripes with Utility Belt, Dark Red Fire Helmet, Breathing Neck Gear with Air Tanks, Crooked Smile and Scar",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0524,2015
2258,crs060,Duplo Carla Veloso,Duplo,https://bricklink.com/v2/catalog/catalogitem.page?M=crs060,2011
5916,nex081,Gargoyle - Wings with Dark Purple Bones,Nexo Knights,https://bricklink.com/v2/catalog/catalogitem.page?M=nex081,2017
11789,cty1114,"Fire - Reflective Stripes, Bright Light Orange Suit, White Helmet, Crooked Grin",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1114,2020
3572,frnd360,"Friends Emma, Light Aqua Layered Skirt, White and Light Aqua Top with Coral Flamingo Birds",Friends,https://bricklink.com/v2/catalog/catalogitem.page?M=frnd360,2020
1549,colmar06,"Loki, Marvel Studios (Minifigure Only without Stand and Accessories)",Collectible Minifigures,https://bricklink.com/v2/catalog/catalogitem.page?M=colmar06,2021
7754,soc143,Soccer Clock Figure 2,Sports,https://bricklink.com/v2/catalog/catalogitem.page?M=soc143,2009
