item_number,description,color,gender,age,emotion
3626cpb1863,"Minifigure, Head Male Black Eye Mask, Dark Bluish Gray Thin Moustache Pattern",Light Nougat,male,young adult,neutral
3626bpb0563,"Minifigure, Head Male Brown Eyebrows, White Pupils, Cheek Lines Pattern",Light Nougat,male,young adult,neutral
3626cpb0563,"Minifigure, Head Male Brown Eyebrows, White Pupils, Cheek Lines Pattern",Light Nougat,male,young adult,neutral
3626cpb1997,"Minifigure, Head Male Brown Stubble, Dark Brown Eyebrows, Oval Mouth and Scar Pattern (SW DJ)",Light Nougat,male,young adult,neutral
3626bpx329,"Minifigure, Head Male Crow's Feet, Eyebrows, Moustache and Rodent Teeth Pattern (HP Wormtail)",Light Nougat,male,older adult,neutral
3626bpb0801,"Minifigure, Head Male Eyepatch, Black Bushy Beard, Moustache and Missing Tooth Pattern",Light Nougat,male,young adult,neutral
3626bpx298,"Minifigure, Head Male Gold Headset, Brown Eyebrows, Light Cuts/Scars Pattern",Light Nougat,male,young adult,neutral
3626bpb0066,"Minifigure, Head Male Gray Moustache, Goatee, and Eyebrows Pattern",Light Nougat,male,young adult,neutral
3626bpb0519,"Minifigure, Head Male Large Blue Eyes and Cheek Lines Pattern (SW Clone Wars Mandalorian)",Light Nougat,male,young adult,neutral
3626cpb0519,"Minifigure, Head Male Large Blue Eyes and Cheek Lines Pattern (SW Clone Wars Mandalorian)",Light Nougat,male,young adult,neutral
3626cpb0755,"Minifigure, Head Male Large Blue Eyes, Cheek Lines and High Brow Pattern (SW Clone Wars Pre Vizsla)",Light Nougat,male,young adult,neutral
