item_number,description,color,gender,age,emotion
3626cpb2343,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Beard with Yellow Highlights, Smile / Fierce Pattern",Light Nougat,male,young adult,smile
3626cpb2343,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Beard with Yellow Highlights, Smile / Fierce Pattern",Light Nougat,male,young adult,angry
3626cpb2124,"Minifigure, Head Dual Sided Med. Nougat Sideburns, Moustache, and Stubble, Raised Left Eyebrow, Smile / Firm Expression Pattern",Light Nougat,male,young adult,smile
3626cpb2124,"Minifigure, Head Dual Sided Med. Nougat Sideburns, Moustache, and Stubble, Raised Left Eyebrow, Smile / Firm Expression Pattern",Light Nougat,male,young adult,angry
3626cpb1470,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Chin Dimple, Open Mouth Smirk / Bared Teeth with Red Eyes Pattern (Superman / Hyperion)",Light Nougat,neutral,young adult,smile
3626cpb1470,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Chin Dimple, Open Mouth Smirk / Bared Teeth with Red Eyes Pattern (Superman / Hyperion)",Light Nougat,neutral,young adult,evil
3626cpb1451,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils, Smile / Frown Pattern (SW Qui-Gon)",Light Nougat,male,young adult,smile
3626cpb1451,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils, Smile / Frown Pattern (SW Qui-Gon)",Light Nougat,male,young adult,frown
3626cpb1121,"Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Chin Dimple, Slight Smile / Pink Visor, Frown Pattern (SW Gray Squadron Pilot)",Light Nougat,neutral,young adult,smile
3626cpb1121,"Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Chin Dimple, Slight Smile / Pink Visor, Frown Pattern (SW Gray Squadron Pilot)",Light Nougat,neutral,young adult,frown
3626cpb1520,"Minifigure, Head Dual Sided Black Frame Glasses, White Moustache, Wrinkles, Cheek Lines, Smile / Frown Pattern (Alfred)",Light Nougat,male,older adult,smile
3626cpb1520,"Minifigure, Head Dual Sided Black Frame Glasses, White Moustache, Wrinkles, Cheek Lines, Smile / Frown Pattern (Alfred)",Light Nougat,male,older adult,frown
3626cpb2699,"Minifigure, Head Dual Sided Black Stubble on Forehead and Beard, Metallic Light Blue Eyes, Fangs, Smile / Scowl PatternCatalog: Parts: Minifigure, Head",Light Nougat,male,young adult,smile
3626cpb2699,"Minifigure, Head Dual Sided Black Stubble on Forehead and Beard, Metallic Light Blue Eyes, Fangs, Smile / Scowl PatternCatalog: Parts: Minifigure, Head",Light Nougat,male,young adult,frown
3626cpb1017,"Minifigure, Head Dual Sided Gold Headset, Smile / Determined Pattern (SW Anakin)",Light Nougat,neutral,young adult,smile
3626cpb1017,"Minifigure, Head Dual Sided Gold Headset, Smile / Determined Pattern (SW Anakin)",Light Nougat,neutral,young adult,frown
