Image,Item ID,Description,Color code,Colour ID,BL color,BL Part #,Main Group Top,Main Group,Price per unit EURO,USD,BL cost for 100+,BL savings %,BL URL,comments,total qty,,Alice,,WBI,,Bob x2,,Dave,,Jordan x2,,Dave Smith,,Kelli Smith,,Nicole/Shawn x2,,Cass,,Brad,,Koen,,Tom
,6152112,1/4 ARCH BRICK 5X5 W/CUT OUT,321,DARK AZUR,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6191995,"1/4 ARCH BRICK 5X5, W/ CUTOUT",21,BR.RED,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6213792,"1/4 ARCH BRICK 5X5, W/ CUTOUT",107,BR.BLUEGREEN,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6222942,"1/4 ARCH BRICK 5X5, W/ CUTOUT",308,DK. BROWN,,,LEGO,"BRICKS, SPECIAL CIRC",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6249289,"1/4 ARCH BRICK 5X5, W/ CUTOUT",140,EARTH BLUE,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6264059,"1/4 ARCH BRICK 5X5, W/ CUTOUT",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6267423,"1/4 ARCH BRICK 5X5, W/ CUTOUT",191,FL. YELL-ORA,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6268915,"1/4 ARCH BRICK 5X5, W/ CUTOUT",138,SAND YELLOW,,,LEGO,"BRICKS, SPECIAL CIRC",0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6268917,"1/4 ARCH BRICK 5X5, W/ CUTOUT",221,BR. PURPLE,,,LEGO,"BRICKS, SPECIAL CIRC",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6271755,"1/4 ARCH BRICK 5X5, W/ CUTOUT, NO. 2",221,BR. PURPLE,,,LEGO,"BRICKS, SPECIAL CIRC",0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6145570,1/4 CIRCLE TILE 1X1,5,BRICK-YEL,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6149677,1/4 CIRCLE TILE 1X1,192,RED. BROWN,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150307,1/4 CIRCLE TILE 1X1,322,MEDIUM AZUR,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150607,1/4 CIRCLE TILE 1X1,28,DK.GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170390,1/4 CIRCLE TILE 1X1,21,BR.RED,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172366,1/4 CIRCLE TILE 1X1,1,WHITE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6172383,1/4 CIRCLE TILE 1X1,26,BLACK,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6173925,1/4 CIRCLE TILE 1X1,106,BR.ORANGE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6176433,1/4 CIRCLE TILE 1X1,194,MED. ST-GREY,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6195183,1/4 CIRCLE TILE 1X1,24,BR.YEL,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199549,1/4 CIRCLE TILE 1X1,199,DK. ST. GREY,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199886,1/4 CIRCLE TILE 1X1,323,AQUA,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199887,1/4 CIRCLE TILE 1X1,321,DARK AZUR,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199889,1/4 CIRCLE TILE 1X1,124,BR.RED-VIOL.,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199890,1/4 CIRCLE TILE 1X1,140,EARTH BLUE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199891,1/4 CIRCLE TILE 1X1,268,M. LILAC,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6199893,1/4 CIRCLE TILE 1X1,324,MEDIUM LAVENDER,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6211875,1/4 CIRCLE TILE 1X1,119,BR.YEL-GREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6214457,1/4 CIRCLE TILE 1X1,191,FL. YELL-ORA,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6228968,1/4 CIRCLE TILE 1X1,38,DK.ORA,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6228969,1/4 CIRCLE TILE 1X1,226,COOL YEL.,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6240462,1/4 CIRCLE TILE 1X1,221,BR. PURPLE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6240463,1/4 CIRCLE TILE 1X1,222,LGH. PURPLE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6240465,1/4 CIRCLE TILE 1X1,325,LAVENDER,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6240467,1/4 CIRCLE TILE 1X1,107,BR.BLUEGREEN,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6240468,1/4 CIRCLE TILE 1X1,326,SPR. YELL. GREE,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6248536,1/4 CIRCLE TILE 1X1,312,M. NOUGAT,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6250022,1/4 CIRCLE TILE 1X1,353,CORAL,,,LEGO,"PLATES, SPECIAL CIRC",0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6251591,"1/4 CIRCLE TILE 1X1, NO. 1000",335,GOLD INK,,,LEGO,"PLATES, SPECIAL CIRC",0.06,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6258818,"1/4 SPHERE 4X4X2 2/3, W/ KNOB",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3200126,1PLATE 2X6 W. HOLES,26,BLACK,,,LEGO,"PLATES, SPECIAL",0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6050916,1X1 DECORATION TOP NO. 1,297,W.GOLD,,,LEGO,FOODSTUFF,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6058160,1X1 DECORATION TOP NO. 1,315,SILVER MET.,,,LEGO,FOODSTUFF,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6060731,1X1 DECORATION TOP NO. 1,192,RED. BROWN,,,LEGO,FOODSTUFF,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6060795,1X1 DECORATION TOP NO. 1,222,LGH. PURPLE,,,LEGO,FOODSTUFF,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6102794,1X1 DECORATION TOP NO. 1,1,WHITE,,,LEGO,FOODSTUFF,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6249118,1X1 DECORATION TOP NO. 1,323,AQUA,,,LEGO,FOODSTUFF,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6275030,"1X1 DECORATION TOP, NO. 2",192,RED. BROWN,,,LEGO,FOODSTUFF,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6292800,"1X1 DECORATION TOP, NO. 2",1,WHITE,,,LEGO,FOODSTUFF,0.01,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6046381,1X2 PLATE WITH 3 TEETH,1,WHITE,,,LEGO,DECORATION ELEMENTS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6046907,1X2 PLATE WITH 3 TEETH,5,BRICK-YEL,,,LEGO,DECORATION ELEMENTS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6083980,1X2 PLATE WITH 3 TEETH,199,DK. ST. GREY,,,LEGO,DECORATION ELEMENTS,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6094141,1X2 PLATE WITH 3 TEETH,26,BLACK,,,LEGO,DECORATION ELEMENTS,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6138731,1X2 PLATE WITH 3 TEETH,191,FL. YELL-ORA,,,LEGO,DECORATION ELEMENTS,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6207764,1X2 PLATE WITH 3 TEETH,297,W.GOLD,,,LEGO,DECORATION ELEMENTS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6267421,1X2 PLATE WITH 3 TEETH,326,SPR. YELL. GREE,,,LEGO,DECORATION ELEMENTS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4542586,2 KNIVES,199,DK. ST. GREY,,,LEGO,"FIGURE, WEAPONS",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4617761,2 KNIVES,297,W.GOLD,,,LEGO,"FIGURE, WEAPONS",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4600294,2 M. Ø3.2 Bones,1,WHITE,,,LEGO,FOODSTUFF,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6271079,2X1 ST.Ø4.9 HOLE W. HALF BEAM,21,BR.RED,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6313734,"2X2 ROUND BRICK, W/ KNOB, NO. 6",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4649167,"2X2 ROUND,SLOPE BRICK W. KNOB",1,WHITE,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4653822,"2X2 ROUND,SLOPE BRICK W. KNOB",26,BLACK,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6028324,"2X2 ROUND,SLOPE BRICK W. KNOB",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6257533,"2X2 ROUND,SLOPE BRICK W. KNOB",138,SAND YELLOW,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6278463,"2X2 ROUND,SLOPE BRICK W. KNOB",107,BR.BLUEGREEN,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6286504,"2X2 ROUND,SLOPE BRICK W. KNOB",154,NEW DARK RED,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6292981,"2X2 ROUND,SLOPE BRICK W. KNOB",18,NOUGAT,,,LEGO,"BRICKS, SPECIAL CIRC",0.04,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,4520320,3 m.arch w.knob and shaft ø3.2,194,MED. ST-GREY,,,LEGO,MISCELLANEOUS ELEMEN,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6270008,3-HOOK,199,DK. ST. GREY,,,LEGO,FIGURE ACCESSORIES I,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6269935,3-HOOK W. ANGLE SHAFT Ø3.2,199,DK. ST. GREY,,,LEGO,FIGURE ACCESSORIES I,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6226706,"3.2 SHAFT ELEMENT, NO. 1",26,BLACK,,,LEGO,CONNECTORS,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6153264,3.2 shaft w/ knob,40,TR.,,,LEGO,CONNECTORS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6321083,3.2 shaft w/ knob,40,TR.,,,LEGO,CONNECTORS,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6152107,3.2 SHAFT W/3.2 HOLE,194,MED. ST-GREY,,,LEGO,CONNECTORS,0.02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6178242,3.2 SHAFT W/3.2 HOLE,102,MD.BLUE,,,LEGO,CONNECTORS,0.03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6197509,3.2 SHAFT W/3.2 HOLE,297,W.GOLD,,,LEGO,CONNECTORS,0.03,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6253169,3.2 SHAFT W/3.2 HOLE,154,NEW DARK RED,,,LEGO,CONNECTORS,0.02,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
,6321194,3.2 SHAFT W/3.2 HOLE,26,BLACK,,,LEGO,CONNECTORS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6322489,3.2 SHAFT W/3.2 HOLE,1,WHITE,,,LEGO,CONNECTORS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6139234,3.2 SHAFT W/5.9 BALL,311,TR. BR. GREEN,,,LEGO,CONNECTORS,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6158469,3.2 SHAFT W/5.9 BALL,199,DK. ST. GREY,,,LEGO,CONNECTORS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6247308,"3.2 SHAFT, 2X4 MODULE",41,TR.RED,,,LEGO,"SIGNS, FLAGS AND POL",0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4211640,"4X4 BRICK, Ø 4,85",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6222427,"4X4 BRICK, Ø 4,85",26,BLACK,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4144025,"4X6 BRICK, Ø 4,85",26,BLACK,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4211716,"4X6 BRICK, Ø 4,85",194,MED. ST-GREY,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6185546,"4X6 BRICK, Ø 4,85",321,DARK AZUR,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
