rb,Picture,Element Id,Element Name,Color (common),Color TLG,Price DKK,Price EUR
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
961,,4211050,1 1/2 M CONNECTING BUSH,DBG (dark bluish gray),dark stone grey,"0,16","0,02"
3141,,6013938,1 1/2 M CONNECTING BUSH,tan,brick yellow,"0,12","0,02"
1173,,4211573,1/2 BUSH,LBG (light bluish gray),medium stone grey,"0,10","0,01"
9609,,6271167,1/2 BUSH,yellow,bright yellow,"0,07","0,01"
4641,,6105963,1/2 CIRCLE PLATE 2X6,black,black,"0,48","0,06"
4642,,6105964,1/2 CIRCLE PLATE 2X6,LBG (light bluish gray),medium stone grey,"0,49","0,07"
4689,,6108802,1/2 CIRCLE PLATE 2X6,red,bright red,"0,52","0,07"
5088,,6133352,1/2 CIRCLE PLATE 2X6,medium lavender,medium lavender,"0,57","0,08"
5133,,6133852,1/2 CIRCLE PLATE 2X6,green,dark green,"0,51","0,07"
5482,,6147709,1/2 CIRCLE PLATE 2X6,cool yellow,cool yellow,"0,58","0,08"
5487,,6147792,1/2 CIRCLE PLATE 2X6,white,white,"0,49","0,07"
5818,,6167854,1/2 CIRCLE PLATE 2X6,dark tan,sand yellow,"0,64","0,09"
5820,,6167891,1/2 CIRCLE PLATE 2X6,blue,bright blue,"0,64","0,09"
6081,,6173012,1/2 CIRCLE PLATE 2X6,lime,bright yellowish green,"0,56","0,08"
6234,,6175589,1/2 CIRCLE PLATE 2X6,dark red,dark red,"0,60","0,08"
6891,,6204060,1/2 CIRCLE PLATE 2X6,lavender,lavender,"0,65","0,09"
7087,,6210759,1/2 CIRCLE PLATE 2X6,tan,brick yellow,"0,49","0,07"
4911,,6123812,1/2 CIRCLE PLATE 4X8,tan,brick yellow,"0,81","0,11"
5078,,6133200,1/2 CIRCLE PLATE 4X8,black,black,"0,79","0,11"
5079,,6133225,1/2 CIRCLE PLATE 4X8,lime,bright yellowish green,"0,83","0,11"
5114,,6133767,1/2 CIRCLE PLATE 4X8,green,dark green,"0,92","0,12"
5132,,6133847,1/2 CIRCLE PLATE 4X8,green,bright green,"0,92","0,12"
5158,,6134869,1/2 CIRCLE PLATE 4X8,purple,bright purple,"0,94","0,13"
5242,,6138571,1/2 CIRCLE PLATE 4X8,medium azur,medium azur,"0,82","0,11"
5255,,6138699,1/2 CIRCLE PLATE 4X8,white,white,"0,81","0,11"
5320,,6141856,1/2 CIRCLE PLATE 4X8,DBG (dark bluish gray),dark stone grey,"0,81","0,11"
6216,,6175000,1/2 CIRCLE PLATE 4X8,olive green,olive green,"0,91","0,12"
6253,,6176303,1/2 CIRCLE PLATE 4X8,Bright Light Orange,flame yellowish orange,"0,89","0,12"
6522,,6186378,1/2 CIRCLE PLATE 4X8,blue,bright blue,"0,90","0,12"
6892,,6204113,1/2 CIRCLE PLATE 4X8,light royal blue,light royal blue,"0,90","0,12"
7582,,6219683,1/2 CIRCLE PLATE 4X8,dark green,earth green,"0,94","0,13"
7614,,6220971,1/2 CIRCLE PLATE 4X8,medium lavender,medium lavender,"0,85","0,11"
9007,,6252552,1/2 CIRCLE PLATE 4X8,Dark Purple,medium lilac,"0,96","0,13"
8202,,6235153,1/2 CONE 2X4X3,DBG (dark bluish gray),dark stone grey,"0,90","0,12"
5563,,6152112,1/4 ARCH BRICK 5X5 W/CUT OUT,dark azur,dark azur,"0,96","0,13"
6628,,6191995,"1/4 ARCH BRICK 5X5, W/ CUTOUT",red,bright red,"1,02","0,14"
7262,,6213792,"1/4 ARCH BRICK 5X5, W/ CUTOUT",107,107,"0,89","0,12"
7657,,6222942,"1/4 ARCH BRICK 5X5, W/ CUTOUT",dark brown,dark brown,"1,23","0,16"
8614,,6249289,"1/4 ARCH BRICK 5X5, W/ CUTOUT",dark blue,earth blue,"1,00","0,13"
5519,,6151167,1/4 CIRCLE GEAR RACK 11X11,yellow,bright yellow,"2,56","0,34"
7794,,6224911,1/4 CIRCLE GEAR RACK 11X11,black,black,"2,46","0,33"
5398,,6145570,1/4 CIRCLE TILE 1X1,tan,brick yellow,"0,08","0,01"
5500,,6149677,1/4 CIRCLE TILE 1X1,reddish brown,reddish brown,"0,11","0,01"
5511,,6150307,1/4 CIRCLE TILE 1X1,medium azur,medium azur,"0,08","0,01"
5515,,6150607,1/4 CIRCLE TILE 1X1,green,dark green,"0,11","0,01"
5882,,6170390,1/4 CIRCLE TILE 1X1,red,bright red,"0,08","0,01"
6019,,6172366,1/4 CIRCLE TILE 1X1,white,white,"0,08","0,01"
6024,,6172383,1/4 CIRCLE TILE 1X1,black,black,"0,08","0,01"
6145,,6173925,1/4 CIRCLE TILE 1X1,orange,bright orange,"0,11","0,01"
6261,,6176433,1/4 CIRCLE TILE 1X1,LBG (light bluish gray),medium stone grey,"0,08","0,01"
6740,,6195183,1/4 CIRCLE TILE 1X1,yellow,bright yellow,"0,08","0,01"
6822,,6199549,1/4 CIRCLE TILE 1X1,DBG (dark bluish gray),dark stone grey,"0,11","0,01"
6833,,6199886,1/4 CIRCLE TILE 1X1,aqua,aqua,"0,09","0,01"
6834,,6199887,1/4 CIRCLE TILE 1X1,dark azur,dark azur,"0,09","0,01"
6835,,6199889,1/4 CIRCLE TILE 1X1,magenta,bright reddish violet,"0,09","0,01"
6836,,6199890,1/4 CIRCLE TILE 1X1,dark blue,earth blue,"0,08","0,01"
6837,,6199891,1/4 CIRCLE TILE 1X1,Dark Purple,medium lilac,"0,09","0,01"
6838,,6199893,1/4 CIRCLE TILE 1X1,medium lavender,medium lavender,"0,08","0,01"
7129,,6211875,1/4 CIRCLE TILE 1X1,lime,bright yellowish green,"0,11","0,01"
7305,,6214457,1/4 CIRCLE TILE 1X1,Bright Light Orange,flame yellowish orange,"0,09","0,01"
8019,,6228968,1/4 CIRCLE TILE 1X1,dark orange,dark orange,"0,11","0,01"
8020,,6228969,1/4 CIRCLE TILE 1X1,cool yellow,cool yellow,"0,09","0,01"
8317,,6240462,1/4 CIRCLE TILE 1X1,purple,bright purple,"0,08","0,01"
8318,,6240467,1/4 CIRCLE TILE 1X1,107,107,"0,09","0,01"
8539,,6248536,1/4 CIRCLE TILE 1X1,medium flesh,medium nougat,"0,11","0,01"
8686,,6250022,1/4 CIRCLE TILE 1X1,353,353,"0,10","0,01"
5521,,6151221,"1/4 CIRCLE TILE 1X1 ""NO. 1""",tan,brick yellow,"0,51","0,07"
5522,,6151225,"1/4 CIRCLE TILE 1X1 ""NO. 2""",green,dark green,"0,54","0,07"
3594,,6043747,16M AXLE ÃƒÂ˜ 4.75 W. CROSS,black,black,"9,57","1,28"
211,,3200126,1PLATE 2X6 W. HOLES,black,black,"0,43","0,06"
3655,,6050916,1X1 DECORATION TOP NO. 1,pearl gold,warm gold,"0,14","0,02"
3880,,6058160,1X1 DECORATION TOP NO. 1,silver metallic,silver metallic,"0,12","0,02"
3917,,6060731,1X1 DECORATION TOP NO. 1,reddish brown,reddish brown,"0,12","0,02"
3919,,6060795,1X1 DECORATION TOP NO. 1,Light Pink,light purple,"0,12","0,02"
4586,,6102794,1X1 DECORATION TOP NO. 1,white,white,"0,11","0,01"
8602,,6249118,1X1 DECORATION TOP NO. 1,aqua,aqua,"0,12","0,02"
3621,,6046381,1X2 PLATE WITH 3 TEETH,white,white,"0,18","0,02"
3627,,6046907,1X2 PLATE WITH 3 TEETH,tan,brick yellow,"0,18","0,02"
4217,,6083980,1X2 PLATE WITH 3 TEETH,DBG (dark bluish gray),dark stone grey,"0,18","0,02"
4335,,6094141,1X2 PLATE WITH 3 TEETH,black,black,"0,20","0,03"
5260,,6138731,1X2 PLATE WITH 3 TEETH,Bright Light Orange,flame yellowish orange,"0,21","0,03"
6944,,6207764,1X2 PLATE WITH 3 TEETH,pearl gold,warm gold,"0,19","0,03"
2126,,4542586,2 KNIVES,DBG (dark bluish gray),dark stone grey,"1,61","0,22"
2610,,4617761,2 KNIVES,pearl gold,warm gold,"1,63","0,22"
2502,,4600294,2 M. ÃƒÂ˜3.2 Bones,white,white,"0,12","0,02"
408,,4109810,2M CROSS AXLE W. GROOVE,black,black,"0,12","0,02"
546,,4142865,2M CROSS AXLE W. GROOVE,red,bright red,"0,12","0,02"
523,,4140801,2M FRIC. SNAP W/CROSS HOLE,black,black,"0,23","0,03"
524,,4140806,2M FRIC. SNAP W/CROSS HOLE,red,bright red,"0,24","0,03"
1252,,4211865,2M FRIC. SNAP W/CROSS HOLE,LBG (light bluish gray),medium stone grey,"0,23","0,03"
5336,,6143033,2M FRIC. SNAP W/CROSS HOLE,orange,bright orange,"0,26","0,03"
2155,,4547958,2X1 ST.ÃƒÂ˜4.9 HOLE W. HALF BEAM,DBG (dark bluish gray),dark stone grey,"0,73","0,10"
2262,,4563044,2X1X3 STEERING KNUCKLE ARM,black,black,"0,43","0,06"
2263,,4563045,2X1X3 STEERING KNUCKLE ARM,LBG (light bluish gray),medium stone grey,"0,43","0,06"
5831,,6167937,2X1X3 STEERING KNUCKLE ARM,red,bright red,"0,50","0,07"
2829,,4649167,"2X2 ROUND,SLOPE BRICK W. KNOB",white,white,"0,31","0,04"
2902,,4653822,"2X2 ROUND,SLOPE BRICK W. KNOB",black,black,"0,31","0,04"
3373,,6028324,"2X2 ROUND,SLOPE BRICK W. KNOB",LBG (light bluish gray),medium stone grey,"0,31","0,04"
4130,,6075355,"2X2 ROUND,SLOPE BRICK W. KNOB",Bright Light Orange,flame yellowish orange,"0,45","0,06"
6444,,6184955,"3 ARM ELEMENT, W/ TUBE, W/O CLUTCH POWER",yellow,bright yellow,"13,30","1,78"
9628,,6273219,3 BRANCH CROSSHOLE W. HOLE,dark brown,dark brown,"0,78","0,10"
1866,,4520320,3 m.arch w.knob and shaft ÃƒÂ¸3.2,LBG (light bluish gray),medium stone grey,"0,22","0,03"
2533,,4610378,3 SNAP GEARBLOK,DBG (dark bluish gray),dark stone grey,"1,32","0,18"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1928,,4526119,3 W.ARCH W. KNOB &amp SHAFT ÃƒÂ˜3.2,red,bright red,"0,27","0,04"
1720,,4502595,3-BRANCH CROSS AXLE W/CROSS H.,LBG (light bluish gray),medium stone grey,"0,53","0,07"
9567,,6270008,3-HOOK,DBG (dark bluish gray),dark stone grey,"0,42","0,06"
9568,,6270011,3-HOOK,LBG (light bluish gray),medium stone grey,"0,42","0,06"
9551,,6269935,3-HOOK W. ANGLE SHAFT ÃƒÂ˜3.2,DBG (dark bluish gray),dark stone grey,"0,34","0,05"
7891,,6226706,"3.2 SHAFT ELEMENT, NO. 1",black,black,"0,51","0,07"
5591,,6153264,3.2 shaft w/ knob,trans clear,transparent clear,"0,22","0,03"
5346,,6143318,3.2 SHAFT W/3.2 HOLE,black,black,"0,17","0,02"
5560,,6152107,3.2 SHAFT W/3.2 HOLE,LBG (light bluish gray),medium stone grey,"0,17","0,02"
6340,,6178242,3.2 SHAFT W/3.2 HOLE,medium blue,medium blue,"0,23","0,03"
6796,,6197509,3.2 SHAFT W/3.2 HOLE,pearl gold,warm gold,"0,22","0,03"
9067,,6253169,3.2 SHAFT W/3.2 HOLE,dark red,dark red,"0,27","0,04"
9273,,6254679,3.2 SHAFT W/3.2 HOLE,blue,bright blue,"0,26","0,03"
5282,,6139234,3.2 SHAFT W/5.9 BALL,trans green,transparent bright green,"0,24","0,03"
5656,,6158469,3.2 SHAFT W/5.9 BALL,DBG (dark bluish gray),dark stone grey,"0,15","0,02"
1800,,4514554,3M CONNECTOR PEG,tan,brick yellow,"0,19","0,03"
3985,,6064043,4-EDGED SIGN COMPUTER SCREEN,black,black,"0,92","0,12"
1191,,4211640,"4X4 BRICK, ÃƒÂ˜ 4,85",LBG (light bluish gray),medium stone grey,"1,69","0,23"
7650,,6222427,"4X4 BRICK, ÃƒÂ˜ 4,85",black,black,"1,90","0,25"
573,,4144025,"4X6 BRICK, ÃƒÂ˜ 4,85",black,black,"1,64","0,22"
1209,,4211716,"4X6 BRICK, ÃƒÂ˜ 4,85",LBG (light bluish gray),medium stone grey,"1,66","0,22"
6481,,6185546,"4X6 BRICK, ÃƒÂ˜ 4,85",dark azur,dark azur,"1,98","0,27"
2503,,4600307,5 M. ÃƒÂ˜3.2 BONE,white,white,"0,19","0,03"
785,,4188143,"6X8 BRICK, ÃƒÂ˜ 4,85",black,black,"2,28","0,31"
1248,,4211848,"6X8 BRICK, ÃƒÂ˜ 4,85",LBG (light bluish gray),medium stone grey,"2,31","0,31"
3251,,6021763,"6X8 BRICK, ÃƒÂ˜ 4,85",white,white,"2,58","0,35"
6255,,6176382,"ACCESSORIES, KITCHEN",medium blue,medium blue,"3,96","0,53"
2788,,4644070,"ACCESSORIES, MEDICAL",aqua,aqua,"2,43","0,33"
2070,,4539951,ADMIRAL S HAT,black,black,"0,33","0,04"
2080,,4540699,"ADMIRAL S HAT ""NO 1""",black,black,"1,48","0,20"
9643,,6273459,ADULT FIGURE NO. 14,reddish brown,reddish brown,"14,29","1,91"
9644,,6273460,ADULT FIGURE NO. 15,white,white,"13,64","1,83"
9658,,6273489,ADULT FIGURE WP03,white,white,"14,65","1,96"
9659,,6273493,ADULT FIGURE WP05,red,bright red,"15,66","2,10"
9637,,6273448,"ADULT FIGURE, NO. 1",black,black,"13,23","1,77"
9652,,6273475,"ADULT FIGURE, NO. 1",white,white,"15,98","2,14"
9633,,6273392,"ADULT FIGURE, NO. 11",blue,bright blue,"14,16","1,90"
9638,,6273449,"ADULT FIGURE, NO. 12",orange,bright orange,"13,64","1,83"
9640,,6273452,"ADULT FIGURE, NO. 13",white,white,"14,10","1,89"
9634,,6273393,"ADULT FIGURE, NO. 16",medium blue,medium blue,"14,51","1,94"
9645,,6273463,"ADULT FIGURE, NO. 17",white,white,"13,20","1,77"
9654,,6273479,"ADULT FIGURE, NO. 18",white,white,"16,00","2,14"
9636,,6273447,"ADULT FIGURE, NO. 2",black,black,"14,20","1,90"
9641,,6273455,"ADULT FIGURE, NO. 24",white,white,"13,67","1,83"
9653,,6273478,"ADULT FIGURE, NO. 25",red,bright red,"14,94","2,00"
9651,,6273473,"ADULT FIGURE, NO. 26",white,white,"18,65","2,50"
9657,,6273487,"ADULT FIGURE, NO. 27",green,dark green,"18,07","2,42"
9647,,6273468,"ADULT FIGURE, NO. 28",reddish brown,reddish brown,"14,14","1,89"
9655,,6273481,"ADULT FIGURE, NO. 3",medium blue,medium blue,"16,23","2,17"
9631,,6273383,"ADULT FIGURE, NO. 32",green,dark green,"13,70","1,84"
9661,,6273495,"ADULT FIGURE, NO. 33",orange,bright orange,"13,08","1,75"
9668,,6273509,"ADULT FIGURE, NO. 41",light royal blue,light royal blue,"16,97","2,27"
9667,,6273507,"ADULT FIGURE, NO. 42",red,bright red,"14,61","1,96"
9664,,6273498,"ADULT FIGURE, NO. 43",white,white,"15,59","2,09"
9670,,6273538,"ADULT FIGURE, NO. 48",white,white,"19,14","2,56"
9660,,6273494,"ADULT FIGURE, NO. 5",reddish brown,reddish brown,"13,03","1,75"
9646,,6273467,"ADULT FIGURE, NO. 6",medium blue,medium blue,"14,25","1,91"
9671,,6273542,"ADULT FIGURE, NO. 66",red,bright red,"17,24","2,31"
9665,,6273499,"ADULT FIGURE, NO. 67",yellow,bright yellow,"16,46","2,21"
9672,,6273561,"ADULT FIGURE, NO. 68",medium blue,medium blue,"20,96","2,81"
9635,,6273398,"ADULT FIGURE, NO. 7",orange,bright orange,"12,14","1,63"
9675,,6273566,"ADULT FIGURE, NO. 72",yellow,bright yellow,"18,15","2,43"
9666,,6273500,"ADULT FIGURE, NO. 73",white,white,"16,82","2,25"
9662,,6273496,"ADULT FIGURE, NO. 75",yellow,bright yellow,"14,19","1,90"
9673,,6273562,"ADULT FIGURE, NO. 76",white,white,"18,96","2,54"
9674,,6273563,"ADULT FIGURE, NO. 77",dark azur,dark azur,"17,77","2,38"
9677,,6273576,"ADULT FIGURE, NO. 78",black,black,"27,41","3,67"
9678,,6273578,"ADULT FIGURE, NO. 79",black,black,"21,73","2,91"
8993,,6252455,"ADULT FIGURE, NO. 86",medium azur,medium azur,"13,25","1,78"
9632,,6273389,"ADULT FIGURE, NO. 86",medium azur,medium azur,"13,69","1,83"
8994,,6252473,"ADULT FIGURE, NO. 87",medium azur,medium azur,"19,15","2,57"
9676,,6273574,"ADULT FIGURE, NO. 87",medium azur,medium azur,"19,59","2,63"
9015,,6252604,"ADULT FIGURE, NO. 88",yellow,bright yellow,"19,13","2,56"
9679,,6273579,"ADULT FIGURE, NO. 88",black,black,"19,00","2,55"
9116,,6253400,"ADULT FIGURE, NO. 90",white,white,"12,25","1,64"
9669,,6273535,"ADULT FIGURE, NO. 90",white,white,"12,69","1,70"
9430,,6259512,"ADULT FIGURE, NO. 93",medium azur,medium azur,"13,40","1,80"
9663,,6273497,"ADULT FIGURE, NO. 93",medium azur,medium azur,"13,77","1,85"
9656,,6273483,"ADULT FIGURE, WP01",medium blue,medium blue,"17,54","2,35"
9648,,6273470,"ADULT FIGURE, WP02",green,dark green,"15,78","2,11"
9649,,6273471,"ADULT FIGURE, WP04",tan,brick yellow,"14,43","1,93"
9650,,6273472,"ADULT FIGURE, WP06",medium blue,medium blue,"15,62","2,09"
8874,,6251513,"ADULT HEAD, NO. 137",flesh,nougat,"11,64","1,56"
8834,,6251158,"ADULT HEADGEAR, NO. 12",white,white,"3,73","0,50"
3670,,6051541,"AERIAL ÃƒÂ˜24X6.4 ""NO 1000""",336,336,"1,29","0,17"
3579,,6040362,AEROPLANEWING 4X9,white,white,"1,21","0,16"
3649,,6048848,AEROPLANEWING 4X9,LBG (light bluish gray),medium stone grey,"1,19","0,16"
,,,,,,,
6738,,6195158,AEROPLANEWING 4X9,medium blue,medium blue,"1,33","0,18"
5045,,6132730,ÃƒÂ˜3.2 SHAFT CROWN FOR HELMET,pearl gold,warm gold,"0,25","0,03"
5625,,6155122,ÃƒÂ˜3.2 SHAFT CROWN FOR HELMET,black,black,"0,27","0,04"
9187,,6254044,ÃƒÂ˜3.2 SHAFT CROWN FOR HELMET,dark green,earth green,"0,36","0,05"
2781,,4640844,ÃƒÂ˜3.2 SHAFT W. CORED KNOB,LBG (light bluish gray),medium stone grey,"0,18","0,02"
3388,,6029774,ÃƒÂ˜3.2 SHAFT W. CORED KNOB,reddish brown,reddish brown,"0,16","0,02"
5655,,6158415,ÃƒÂ˜3.2 SHAFT W. CORED KNOB,titanium metallic,titanium metallic,"0,16","0,02"
3524,,6037408,ÃƒÂ˜3.2 SHAFT WITH HAND,silver metallic,silver metallic,"0,27","0,04"
7692,,6223421,ÃƒÂ˜3.2 SHAFT WITH HAND,yellow,bright yellow,"0,27","0,04"
3884,,6058193,ANAKIN WIG,DBG (dark bluish gray),dark stone grey,"0,51","0,07"
5930,,6170707,ANCHOR WITH KNOB,black,black,"0,64","0,09"
5927,,6170702,"ANG.BRICK 5X5, ÃƒÂ˜4,85",black,black,"1,11","0,15"
7651,,6222428,"ANG.BRICK 5X5, ÃƒÂ˜4,85",yellow,bright yellow,"1,29","0,17"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
5929,,6170705,ANGLE BEAM 4X6,DBG (dark bluish gray),dark stone grey,"0,51","0,07"
882,,4210688,ANGLE ELEMENT 135 DEG. [4],DBG (dark bluish gray),dark stone grey,"0,36","0,05"
5217,,6137758,ANGLE ELEMENT 135 DEG. [4],white,white,"0,41","0,05"
9474,,6262897,ANGLE ELEMENT 135 DEG. [4],black,black,"0,43","0,06"
9475,,6262898,ANGLE ELEMENT 135 DEG. [4],red,bright red,"0,45","0,06"
9476,,6262900,ANGLE ELEMENT 135 DEG. [4],orange,bright orange,"0,44","0,06"
9477,,6262901,ANGLE ELEMENT 135 DEG. [4],lime,bright yellowish green,"0,44","0,06"
9478,,6262905,ANGLE ELEMENT 135 DEG. [4],LBG (light bluish gray),medium stone grey,"0,43","0,06"
9479,,6262906,ANGLE ELEMENT 135 DEG. [4],dark azur,dark azur,"0,44","0,06"
384,,4107066,"ANGLE ELEMENT, 0 DEGREES [1]",yellow,bright yellow,"0,19","0,03"
396,,4107797,"ANGLE ELEMENT, 0 DEGREES [1]",blue,bright blue,"0,19","0,03"
464,,4118981,"ANGLE ELEMENT, 0 DEGREES [1]",white,white,"0,18","0,02"
873,,4210658,"ANGLE ELEMENT, 0 DEGREES [1]",DBG (dark bluish gray),dark stone grey,"0,18","0,02"
1161,,4211550,"ANGLE ELEMENT, 0 DEGREES [1]",LBG (light bluish gray),medium stone grey,"0,18","0,02"
1457,,4254606,"ANGLE ELEMENT, 0 DEGREES [1]",red,bright red,"0,19","0,03"
2089,,4541306,"ANGLE ELEMENT, 0 DEGREES [1]",dark red,dark red,"0,32","0,04"
5170,,6135091,"ANGLE ELEMENT, 0 DEGREES [1]",orange,bright orange,"0,25","0,03"
5829,,6167932,"ANGLE ELEMENT, 0 DEGREES [1]",dark brown,dark brown,"0,24","0,03"
9612,,6271346,"ANGLE ELEMENT, 112,5 DEGR. [5]",black,black,"0,41","0,05"
9613,,6271347,"ANGLE ELEMENT, 112,5 DEGR. [5]",LBG (light bluish gray),medium stone grey,"0,47","0,06"
1162,,4211552,"ANGLE ELEMENT, 157,5 DEGR. [3]",LBG (light bluish gray),medium stone grey,"0,35","0,05"
2538,,4610666,"ANGLE ELEMENT, 157,5 DEGR. [3]",reddish brown,reddish brown,"0,35","0,05"
5142,,6133917,"ANGLE ELEMENT, 157,5 DEGR. [3]",medium azur,medium azur,"0,46","0,06"
6279,,6176754,"ANGLE ELEMENT, 157,5 DEGR. [3]",red,bright red,"0,36","0,05"
6309,,6177396,"ANGLE ELEMENT, 157,5 DEGR. [3]",blue,bright blue,"0,36","0,05"
8840,,6251180,"ANGLE ELEMENT, 157,5 DEGR. [3]",orange,bright orange,"0,46","0,06"
9460,,6261386,"ANGLE ELEMENT, 157,5 DEGR. [3]",black,black,"0,27","0,04"
9461,,6261390,"ANGLE ELEMENT, 157,5 DEGR. [3]",white,white,"0,31","0,04"
504,,4125554,"ANGLE ELEMENT, 180 DEGREES [2]",white,white,"0,29","0,04"
1168,,4211567,"ANGLE ELEMENT, 180 DEGREES [2]",LBG (light bluish gray),medium stone grey,"0,28","0,04"
1390,,4234429,"ANGLE ELEMENT, 180 DEGREES [2]",red,bright red,"0,30","0,04"
5171,,6135092,"ANGLE ELEMENT, 180 DEGREES [2]",orange,bright orange,"0,37","0,05"
5827,,6167926,"ANGLE ELEMENT, 180 DEGREES [2]",dark brown,dark brown,"0,37","0,05"
6368,,6179648,"ANGLE ELEMENT, 180 DEGREES [2]",DBG (dark bluish gray),dark stone grey,"0,32","0,04"
6434,,6184719,"ANGLE ELEMENT, 180 DEGREES [2]",reddish brown,reddish brown,"0,46","0,06"
7088,,6210804,"ANGLE ELEMENT, 180 DEGREES [2]",yellow,bright yellow,"0,33","0,04"
9621,,6271869,"ANGLE ELEMENT, 180 DEGREES [2]",black,black,"0,25","0,03"
9527,,6268905,"ANGLE ELEMENT, 90 DEGREES [6]",black,black,"0,44","0,06"
9528,,6268922,"ANGLE ELEMENT, 90 DEGREES [6]",red,bright red,"0,46","0,06"
9529,,6268923,"ANGLE ELEMENT, 90 DEGREES [6]",DBG (dark bluish gray),dark stone grey,"0,44","0,06"
9530,,6268924,"ANGLE ELEMENT, 90 DEGREES [6]",LBG (light bluish gray),medium stone grey,"0,44","0,06"
9531,,6268925,"ANGLE ELEMENT, 90 DEGREES [6]",yellow,bright yellow,"0,45","0,06"
9532,,6268926,"ANGLE ELEMENT, 90 DEGREES [6]",white,white,"0,45","0,06"
4842,,6117938,ANGLE PLATE 1X2 / 2X2,yellow,bright yellow,"0,21","0,03"
4843,,6117940,ANGLE PLATE 1X2 / 2X2,white,white,"0,19","0,03"
4844,,6117967,ANGLE PLATE 1X2 / 2X2,LBG (light bluish gray),medium stone grey,"0,19","0,03"
4845,,6117968,ANGLE PLATE 1X2 / 2X2,blue,bright blue,"0,20","0,03"
4846,,6117969,ANGLE PLATE 1X2 / 2X2,orange,bright orange,"0,26","0,03"
4847,,6117971,ANGLE PLATE 1X2 / 2X2,green,dark green,"0,21","0,03"
4848,,6117972,ANGLE PLATE 1X2 / 2X2,DBG (dark bluish gray),dark stone grey,"0,20","0,03"
4849,,6117973,ANGLE PLATE 1X2 / 2X2,black,black,"0,19","0,03"
4850,,6117974,ANGLE PLATE 1X2 / 2X2,red,bright red,"0,21","0,03"
4851,,6117975,ANGLE PLATE 1X2 / 2X2,tan,brick yellow,"0,19","0,03"
4852,,6117976,ANGLE PLATE 1X2 / 2X2,reddish brown,reddish brown,"0,26","0,03"
5155,,6134634,ANGLE PLATE 1X2 / 2X2,Bright Light Orange,flame yellowish orange,"0,27","0,04"
7215,,6212973,ANGLE PLATE 1X2 / 2X2,dark azur,dark azur,"0,26","0,03"
7785,,6224778,ANGLE PLATE 1X2 / 2X2,dark blue,earth blue,"0,27","0,04"
8640,,6249425,ANGLE PLATE 1X2 / 2X2,107,107,"0,26","0,03"
4853,,6118827,ANGLE PLATE 1X2 / 2X4,LBG (light bluish gray),medium stone grey,"0,29","0,04"
4854,,6118828,ANGLE PLATE 1X2 / 2X4,yellow,bright yellow,"0,30","0,04"
4855,,6118829,ANGLE PLATE 1X2 / 2X4,black,black,"0,28","0,04"
4856,,6118830,ANGLE PLATE 1X2 / 2X4,red,bright red,"0,31","0,04"
4857,,6118832,ANGLE PLATE 1X2 / 2X4,DBG (dark bluish gray),dark stone grey,"0,28","0,04"
6721,,6194751,ANGLE PLATE 1X2 / 2X4,blue,bright blue,"0,30","0,04"
6769,,6195539,ANGLE PLATE 1X2 / 2X4,lime,bright yellowish green,"0,37","0,05"
4143,,6076799,ANGLE PLATE 1X2/1X4,yellow,bright yellow,"0,30","0,04"
4243,,6089574,ANGLE PLATE 1X2/1X4,white,white,"0,29","0,04"
4244,,6089576,ANGLE PLATE 1X2/1X4,red,bright red,"0,31","0,04"
4862,,6119159,ANGLE PLATE 1X2/1X4,blue,bright blue,"0,38","0,05"
4909,,6123759,ANGLE PLATE 1X2/1X4,reddish brown,reddish brown,"0,38","0,05"
5840,,6168615,ANGLE PLATE 1X2/1X4,LBG (light bluish gray),medium stone grey,"0,23","0,03"
5841,,6168620,ANGLE PLATE 1X2/1X4,black,black,"0,23","0,03"
7352,,6215030,ANGLE PLATE 1X2/1X4,lime,bright yellowish green,"0,39","0,05"
8093,,6231853,ANGLE PLATE 1X2/1X4,DBG (dark bluish gray),dark stone grey,"0,37","0,05"
5650,,6158058,ANGLE PLATE 1X2/2X4,white,white,"0,37","0,05"
3034,,6003478,ANGLE PLATE W/SNAP,black,black,"0,39","0,05"
7797,,6224999,"ANGLED GEAR WHEEL Z20, W/ 4.85 HOLE",blue,bright blue,"0,86","0,12"
1640,,4296059,Angular beam 90degr. w.4 snaps,LBG (light bluish gray),medium stone grey,"0,69","0,09"
357,,407001,ANGULAR BRICK 1X1,white,white,"0,14","0,02"
358,,407021,ANGULAR BRICK 1X1,red,bright red,"0,15","0,02"
359,,407023,ANGULAR BRICK 1X1,blue,bright blue,"0,14","0,02"
360,,407024,ANGULAR BRICK 1X1,yellow,bright yellow,"0,14","0,02"
361,,407026,ANGULAR BRICK 1X1,black,black,"0,14","0,02"
455,,4118793,ANGULAR BRICK 1X1,tan,brick yellow,"0,14","0,02"
783,,4187334,ANGULAR BRICK 1X1,green,dark green,"0,14","0,02"
958,,4211044,ANGULAR BRICK 1X1,DBG (dark bluish gray),dark stone grey,"0,14","0,02"
1129,,4211476,ANGULAR BRICK 1X1,LBG (light bluish gray),medium stone grey,"0,14","0,02"
