rb,Picture,Element Id,Element Name,Color (common),Color TLG,Price DKK,Price EUR
4915,,6123840,ROOF TILE CORN. INVERT.2X2/45Ã‚Â°,black,black,"0,40","0,05"
5262,,6138740,ROOF TILE CORN. INVERT.2X2/45Ã‚Â°,white,white,"0,41","0,05"
7653,,6222432,ROOF TILE CORN. INVERT.2X2/45Ã‚Â°,tan,brick yellow,"0,41","0,05"
7856,,6226365,ROOF TILE CORN. INVERT.2X2/45Ã‚Â°,dark blue,earth blue,"0,43","0,06"
8582,,6248960,ROOF TILE CORN. INVERT.2X2/45Ã‚Â°,sand blue,sand blue,"0,43","0,06"
804,,4191414,ROOF TILE CORNER 2X2X3/73Ã‚Â°,LBG (light bluish gray),medium stone grey,"0,65","0,09"
3475,,6035351,ROOF TILE CORNER 2X2X3/73Ã‚Â°,DBG (dark bluish gray),dark stone grey,"0,73","0,10"
4686,,6108596,ROOF TILE CORNER 2X2X3/73Ã‚Â°,white,white,"0,73","0,10"
5377,,6144750,ROOF TILE CORNER 2X2X3/73Ã‚Â°,dark blue,earth blue,"0,69","0,09"
7090,,6210808,ROOF TILE CORNER 2X2X3/73Ã‚Â°,dark red,dark red,"0,72","0,10"
4022,,6067982,ROOF TILE PLATEAU 2X10X2,LBG (light bluish gray),medium stone grey,"1,43","0,19"
2076,,4540382,ROOF TILE W. LATTICE 1x2x2/3,red,bright red,"0,11","0,01"
2077,,4540384,ROOF TILE W. LATTICE 1x2x2/3,yellow,bright yellow,"0,10","0,01"
2078,,4540386,ROOF TILE W. LATTICE 1x2x2/3,DBG (dark bluish gray),dark stone grey,"0,09","0,01"
2088,,4541191,ROOF TILE W. LATTICE 1x2x2/3,black,black,"0,09","0,01"
2460,,4597338,ROOF TILE W. LATTICE 1x2x2/3,blue,bright blue,"0,10","0,01"
3317,,6023804,ROOF TILE W. LATTICE 1x2x2/3,white,white,"0,10","0,01"
4249,,6092111,ROOF TILE W. LATTICE 1x2x2/3,LBG (light bluish gray),medium stone grey,"0,09","0,01"
5630,,6155256,ROOF TILE W. LATTICE 1x2x2/3,sand green,sand green,"0,13","0,02"
5785,,6167584,ROOF TILE W. LATTICE 1x2x2/3,pearl gold,warm gold,"0,14","0,02"
5788,,6167615,ROOF TILE W. LATTICE 1x2x2/3,orange,bright orange,"0,14","0,02"
7304,,6214443,ROOF TILE W. LATTICE 1x2x2/3,reddish brown,reddish brown,"0,13","0,02"
4250,,6092115,"ROOF TILE W. LATTICE 1x2x2/3 ""NO.1000""",336,336,"0,67","0,09"
7564,,6219598,"ROOF, W/ HINGE, NO. 1",yellow,bright yellow,"3,06","0,41"
7565,,6219599,"ROOF, W/ HINGE, NO. 1",black,black,"2,94","0,39"
55,,247926,ROTOR,black,black,"0,61","0,08"
4237,,6088638,ROTOR BLADES ÃƒÂ˜24 W. SNAP,black,black,"0,81","0,11"
4518,,6100596,ROTOR BLADES ÃƒÂ˜24 W. SNAP,DBG (dark bluish gray),dark stone grey,"0,89","0,12"
7023,,6209934,"ROTOR, W/ ROTATION SNAP, NO. 1",yellow,bright yellow,"2,70","0,36"
1940,,4527604,ROTORBLAD 2X16,black,black,"0,85","0,11"
2872,,4651820,ROTORBLAD 8M,DBG (dark bluish gray),dark stone grey,"0,71","0,10"
185,,306201,ROUND BRICK 1X1,white,white,"0,07","0,01"
186,,306221,ROUND BRICK 1X1,red,bright red,"0,08","0,01"
187,,306223,ROUND BRICK 1X1,blue,bright blue,"0,08","0,01"
188,,306224,ROUND BRICK 1X1,yellow,bright yellow,"0,08","0,01"
189,,306226,ROUND BRICK 1X1,black,black,"0,07","0,01"
190,,306228,ROUND BRICK 1X1,green,dark green,"0,08","0,01"
450,,4117070,ROUND BRICK 1X1,tan,brick yellow,"0,07","0,01"
710,,4177741,ROUND BRICK 1X1,dark blue,earth blue,"0,11","0,01"
983,,4211090,ROUND BRICK 1X1,DBG (dark bluish gray),dark stone grey,"0,07","0,01"
1020,,4211183,ROUND BRICK 1X1,reddish brown,reddish brown,"0,08","0,01"
1096,,4211412,ROUND BRICK 1X1,LBG (light bluish gray),medium stone grey,"0,07","0,01"
1264,,4212454,ROUND BRICK 1X1,lime,bright yellowish green,"0,08","0,01"
2057,,4539099,ROUND BRICK 1X1,dark red,dark red,"0,09","0,01"
2666,,4620909,ROUND BRICK 1X1,medium azur,medium azur,"0,10","0,01"
2897,,4653267,ROUND BRICK 1X1,dark azur,dark azur,"0,11","0,01"
3275,,6022105,ROUND BRICK 1X1,dark brown,dark brown,"0,11","0,01"
3920,,6060800,ROUND BRICK 1X1,pearl gold,warm gold,"0,11","0,01"
4045,,6070305,ROUND BRICK 1X1,Dark Purple,medium lilac,"0,11","0,01"
4110,,6074890,ROUND BRICK 1X1,dark orange,dark orange,"0,11","0,01"
6065,,6172869,ROUND BRICK 1X1,magenta,bright reddish violet,"0,11","0,01"
6993,,6209673,ROUND BRICK 1X1,lavender,lavender,"0,11","0,01"
7382,,6215387,ROUND BRICK 1X1,light royal blue,light royal blue,"0,14","0,02"
7609,,6220715,ROUND BRICK 1X1,orange,bright orange,"0,14","0,02"
7720,,6223655,ROUND BRICK 1X1,trans clear,transparent clear,"0,14","0,02"
8254,,6238044,ROUND BRICK 1X1,trans blue,transparent blue,"0,16","0,02"
8255,,6238046,ROUND BRICK 1X1,trans green,transparent green,"0,19","0,03"
8261,,6238673,ROUND BRICK 1X1,trans red,transparent red,"0,14","0,02"
8262,,6238674,ROUND BRICK 1X1,trans yellow,transparent yellow,"0,15","0,02"
8263,,6238675,ROUND BRICK 1X1,trans neon green,transparent flourescent green,"0,21","0,03"
8264,,6238676,ROUND BRICK 1X1,trans neon orange,transparent flourescent reddish orange,"0,23","0,03"
8265,,6238677,ROUND BRICK 1X1,trans light blue,transparent light blue,"0,14","0,02"
7875,,6226611,ROUND BRICK 1X1 NO. 18,trans light blue,transparent light blue,"1,24","0,17"
9091,,6253282,ROUND BRICK 1X1 NO.18,dark green,earth green,"0,14","0,02"
644,,4161673,ROUND BRICK 2X2X2,DBG (dark bluish gray),dark stone grey,"0,88","0,12"
810,,4194008,ROUND BRICK 2X2X2,black,black,"0,79","0,11"
811,,4194010,ROUND BRICK 2X2X2,white,white,"0,80","0,11"
5660,,6159841,ROUND BRICK 2X2X2,blue,bright blue,"1,11","0,15"
8114,,6232140,ROUND BRICK 2X2X2,tan,brick yellow,"0,88","0,12"
8837,,6251169,ROUND BRICK 2X2X2,red,bright red,"0,93","0,12"
4562,,6102555,"ROUND FLAT TILE 2X2, PIZZA",yellow,bright yellow,"0,73","0,10"
588,,4157103,ROUND PLATE 1X1,orange,bright orange,"0,06","0,01"
647,,4161734,ROUND PLATE 1X1,tan,brick yellow,"0,05","0,01"
760,,4183133,ROUND PLATE 1X1,lime,bright yellowish green,"0,05","0,01"
862,,4210633,ROUND PLATE 1X1,DBG (dark bluish gray),dark stone grey,"0,05","0,01"
1152,,4211525,ROUND PLATE 1X1,LBG (light bluish gray),medium stone grey,"0,05","0,01"
