item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,na_description,search_link
6192134,"MINI HEAD, NO. 2237",33916,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=33916,"Minifigure, Head Glasses with Blue Sunglasses, Black Eyebrows, Left Eyebrow Raised Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6192134#T=A
6192470,"MINI HEAD, NO. 2272",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Peach Lips, Lopsided Smile / Scared Open Mouth with Teeth Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6192470#T=A
6194799,"MINI HEAD, NO. 2299",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Beard Stubble Dark Red, Sideburns, Goatee, Curved Black Eyebrows Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6194799#T=A
6194799,"MINI HEAD, NO. 2299",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Beard Stubble Dark Red, Sideburns, Goatee, Curved Black Eyebrows Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6194799#T=A
6196833,"MINI HEAD, NO. 2348",34600,Reddish Brown,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=34600,"Minifigure, Head Black Eyebrows, White Pupils, Dark Tan Chin Dimple, Sad Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6196833#T=A
6197076,"MINI HEAD, NO. 2352",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided White Bushy Eyebrows, Goatee, Wrinkles, Smile / Open Mouth Scared Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6197076#T=A
6212381,"MINI HEAD, NO. 2473",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Beard Thick with Lines, Reddish Brown Thick Eyebrows, Moustache, Pupils, Angry / Disconcerted Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6212381#T=A
6212381,"MINI HEAD, NO. 2473",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Beard Thick with Lines, Reddish Brown Thick Eyebrows, Moustache, Pupils, Angry / Disconcerted Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6212381#T=A
6218536,"MINI HEAD, NO. 2526",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Gray Eyebrows and Beard, Black Eye Patch, Dark Orange Crow's Feet Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6218536#T=A
6223882,"MINI HEAD, NO. 2586",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Female Black Eyebrows, Peach Lips, Smirk / Smile with Dark Bluish Gray Splotches Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6223882#T=A
6224106,MINI HEAD NO. 2591,NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Female Dark Tan Eyebrows, Medium Nougat Crow's Feet, Peach Lips, Smile / Dark Turquoise Sunglasses Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6224106#T=A
6225238,MINI HEAD NO. 2601,NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dark Brown Eyebrows, Lopsided Grin, Medium Nougat Anchor Beard Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6225238#T=A
6227104,"MINI HEAD, NO. 2617",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Large Black Round Glasses, Black Eyebrows / Sad Face with No Glasses Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6227104#T=A
6228847,"MINI HEAD, NO. 2629",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Beard Stubble, Thick Eyebrows, Pencil Moustache, Soul Patch, Smile / Frown Pattern - Hollow Stud",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,male,FALSE,https://www.bricklink.com/v2/search.page?q=6228847#T=A
6230357,"MINI HEAD, NO. 2631",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Female Red Hair with Open Mouth with Teeth, Grimace / Frown with Peach Lips Pattern (Harumi) - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6230357#T=A
6253297,"MINI HEAD, NO. 2786",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Angry Eyebrows and Scowl with Open Mouth, Headset, White Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6253297#T=A
6253297,"MINI HEAD, NO. 2786",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Angry Eyebrows and Scowl with Open Mouth, Headset, White Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6253297#T=A
6253456,MINI HEAD NO. 2792,NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Angry Eyebrows and Scowl, Headset, White Pupils Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6253456#T=A
6253550,MINI HEAD NO. 2793,NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Female Black Eyebrows, Headset, Red Lips with Open Mouth, Crooked Smile / Scowl Pattern - Hollow Stud",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6253550#T=A
6253926,"MINI HEAD, NO. 2804",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Angry Eyebrows, Cheek and Forehead and Chin Lines, White Pupils and White Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6253926#T=A
6253926,"MINI HEAD, NO. 2804",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Angry Eyebrows, Cheek and Forehead and Chin Lines, White Pupils and White Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6253926#T=A
6258141,"MINI HEAD, NO. 2855",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Child Female, Black Eyebrows, Grin / Open Mouth Smile Pattern - Hollow Stud",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6258141#T=A
6258232,"MINI HEAD, NO. 2857",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Black Eyebrows, Black Glasses and Smile with Teeth / Raised Eyebrows and Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6258232#T=A
6267989,"MINI HEAD, NO. 2931",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Dual Sided Female Light Blue Goggles, Orange Lips, Smile / Covered with Dirt, Goggles Outline Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female,FALSE,https://www.bricklink.com/v2/search.page?q=6267989#T=A
6271066,"MINI HEAD, NO. 2960",NA,Reddish Brown,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Black Eyebrows, Mouth Open Showing Upper Teeth, Surprised Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,FALSE,https://www.bricklink.com/v2/search.page?q=6271066#T=A
