item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type
6270417,"MINI HEAD, NO. 2951",3626cpb2379,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2379,"Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Medium Nougat Lips, Smile, Teeth, Open Eyes / Closed Eyes Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6271407,"MINI HEAD, NO. 2970",3626cpb2396,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2396,"Minifigure, Head Dual Sided Thick Black Eyebrows, Black Sunglasses, Smile with Teeth / White Pupils, Closed Mouth Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral
6271746,"MINI HEAD, NO. 2972",3626cpb2377,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2377,"Minifigure, Head Dual Sided Female Green Glasses, Smile / Closed Mouth Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6283875,"MINI HEAD, NO. 3025",3626cpb2385,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2385,"Minifigure, Head Black Eyebrows, White Pupils, Cheek Lines, Smirk Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6283884,"MINI HEAD, NO. 3026",3626cpb2519,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2519,"Minifigure, Head Black Eyebrows, White Pupils, Cheek Scuff, Lopsided Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6287992,"MINI HEAD, NO. 3060",3626cpb2525,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2525,"Minifigure, Head Dual Sided Black Eyebrows and Mole, Medium Nougat Cheek Lines, Baggy Eyes / Frown with Black Mask Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral
6289787,"MINI HEAD, NO. 3061",3626cpb2527,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2527,"Minifigure, Head Gray Eyebrows, Moustache, Stubble, Sad Face Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6287996,"MINI HEAD, NO. 3062",3626cpb2526,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2526,"Minifigure, Head Black Eye Patch, Brown Eyebrows, Sideburns, Stubble, Open White Mouth Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6288000,"MINI HEAD, NO. 3063",3626cpb2537,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2537,"Minifigure, Head Female Black Eyebrows, Eyelashes, Peach Lips, Scared Open Mouth with Teeth Pattern - Hollow Stud",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,female
6288012,"MINI HEAD, NO. 3066",3626cpb2535,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2535,"Minifigure, Head Dual Sided Female Brown Eyebrows, Peach Lips, Chin Dimple and Closed Mouth Smirk / Black Mask Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6288015,"MINI HEAD, NO. 3067",3626cpb2534,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2534,"Minifigure, Head Gray Eyebrows and Stubble, Medium Nougat Cheek Lines and Chin Dimple, Black Glasses Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6288016,"MINI HEAD, NO. 3068",3626cpb2533,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2533,"Minifigure, Head Dual Sided Female Black Eyebrows, Peach Lips and Closed Mouth Smirk / Black Mask Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6288061,"MINI HEAD, NO. 3071",3626cpb2540,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2540,"Minifigure, Head Glasses, Orange Sunglasses with Silver Frames, Lopsided Grin, Thick Sideburns Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6290549,"MINI HEAD, NO. 3119",3626cpb2523,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2523,"Minifigure, Head Medium Nougat Eyebrows and Sideburns, White Pupils, and Worried Look Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6303499,"MINI HEAD, NO. 3156",3626cpb2662,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2662,"Minifigure, Head Dual Sided Female Black Eyebrows, Freckles, Eyelashes, Peach Lips, Smile / Open Mouth Smile with Teeth Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6306191,"MINI HEAD, NO. 3157",3626cpb2618,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2618,"Minifigure, Head Female Black Eyebrows, Medium Nougat Lips, Dark Bluish Gray Band with Orange Stripes, Smile Pattern - Hollow Stud",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,female
6306822,"MINI HEAD, NO. 3158",3626cpb2634,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2634,"Minifigure, Head Dual Sided Female Pink Lips and Beauty Mark, Black Eyebrows, Open Mouth with Teeth, Smile / Closed Eyes Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6306824,"MINI HEAD, NO. 3159",3626cpb2635,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2635,"Minifigure, Head Dual Sided Female Lavender Lips, Black Eyebrows, Freckles, Open Mouth with Teeth, Smile / Angry with Glasses Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6301547,"MINI HEAD, NO. 3163",3626cpb2667,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2667,"Minifigure, Head Dual Sided Reddish Brown Thick Eyebrows, Chin Dimple, Open Mouth Smile with Tongue / Angry with Black Mask Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,neutral
6312495,"MINI HEAD, NO. 3265",3626cpb2649,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2649,"Minifigure, Head Dual Sided Child Black Eyebrows, Smile with Teeth / Surprised Pattern - Hollow Stud",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,child
6312485,"MINI HEAD, NO. 3266",3626cpb2648,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2648,"Minifigure, Head Dual Sided Child Black Eyebrows, Open Mouth Smile with Teeth and Tongue / Surprised Pattern - Hollow Stud",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,child
6304935,"MINI HEAD, NO. 3267",3626cpb2617,White,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2617,"Minifigure, Head Dual Sided Ghost Large Black Eyes, Thick Smile / Frown Pattern - Hollow Stud",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,non human
6311265,"MINI HEAD, NO. 3269",3626cpb2696,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2696,"Minifigure, Head Female Black Eyebrows, Peach Lips, Smile with Open Mouth and Teeth, Hearing Aid Pattern - Hollow Stud",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,female
6328351,"MINI HEAD, NO. 3360",3626cpb2761,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2761,"Minifigure, Head Dual Sided Female, Reddish Brown Eyebrows, Trans-Orange Glasses, Peach Lips, Scowl / Smile with Freckles Pattern - Hollow Stud",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,female
6329589,"MINI HEAD, NO. 3361",3626cpb2724,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2724,"Minifigure, Head Glasses with Trans-orange Lenses and Black Frames, Chin Dimple, Lopsided Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384853,"MINI HEAD, NO. 3375",99045,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=99045,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6329640,"MINI HEAD, NO. 3376",3626cpb2733,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2733,"Minifigure, Head Black Thick Eyebrows, Reddish Brown Sideburns, Cheek Lines, Chin Dimple, Lopsided Grin Pattern - Hollow Stud",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,male
6329613,"MINI HEAD, NO. 3377",3626cpb2725,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2725,"Minifigure, Head Female Dark Orange Eyebrows, Glasses Round with White Lenses and Dark Red Frames, Beauty Mark, Red Lips, Smile Pattern - Hollow Stud",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,female
6328341,"MINI HEAD, NO. 3427",3626cpb2727,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2727,"Minifigure, Head Child Black Eyebrows, Freckles,  Small Open Smile with Top Teeth Pattern - Hollow Stud",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,child
6338854,"MINI HEAD, NO. 3528",77745,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=77745,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6351352,"MINI HEAD, NO. 3540",79216,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=79216,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6361751,"MINI HEAD, NO. 3561",80109,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=80109,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6375487,"MINI HEAD, NO. 3624",84784,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=84784,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384076,"MINI HEAD, NO. 3661",98479,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98479,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384051,"MINI HEAD, NO. 3667",98261,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98261,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384569,"MINI HEAD, NO. 3670",98831,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98831,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384850,"MINI HEAD, NO. 3672",99042,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=99042,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6384086,"MINI HEAD, NO. 3676",98550,Yellow,$0.71,2022,0.71,https://www.bricklink.com/v2/catalog/catalogitem.page?P=98550,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6303538,"MINI HEAD, NO. 3677",68369,White,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=68369,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6303546,"MINI HEAD, NO. 3679",68375,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=68375,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6305730,"MINI HEAD, NO. 3680",68436,Yellow,$0.07,2022,0.07,https://www.bricklink.com/v2/catalog/catalogitem.page?P=68436,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
