item_id,gender,year,search_link
4612153,neutral,2018,https://www.bricklink.com/v2/search.page?q=4612153#T=A
6055507,neutral,2018,https://www.bricklink.com/v2/search.page?q=6055507#T=A
6056258,neutral,2018,https://www.bricklink.com/v2/search.page?q=6056258#T=A
6056326,neutral,2018,https://www.bricklink.com/v2/search.page?q=6056326#T=A
6058788,neutral,2018,https://www.bricklink.com/v2/search.page?q=6058788#T=A
6102566,neutral,2018,https://www.bricklink.com/v2/search.page?q=6102566#T=A
6102597,neutral,2018,https://www.bricklink.com/v2/search.page?q=6102597#T=A
6107399,female,2018,https://www.bricklink.com/v2/search.page?q=6107399#T=A
6112219,neutral,2018,https://www.bricklink.com/v2/search.page?q=6112219#T=A
6152194,female,2018,https://www.bricklink.com/v2/search.page?q=6152194#T=A
6152450,female,2018,https://www.bricklink.com/v2/search.page?q=6152450#T=A
6152800,neutral,2018,https://www.bricklink.com/v2/search.page?q=6152800#T=A
6153136,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153136#T=A
6153512,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153512#T=A
6155272,neutral,2018,https://www.bricklink.com/v2/search.page?q=6155272#T=A
6172536,male,2018,https://www.bricklink.com/v2/search.page?q=6172536#T=A
6097241,neutral,2018,https://www.bricklink.com/v2/search.page?q=6097241#T=A
6152679,neutral,2018,https://www.bricklink.com/v2/search.page?q=6152679#T=A
6153138,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153138#T=A
6153139,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153139#T=A
6153140,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153140#T=A
6153141,neutral,2018,https://www.bricklink.com/v2/search.page?q=6153141#T=A
6174817,female,2018,https://www.bricklink.com/v2/search.page?q=6174817#T=A
6176217,female,2018,https://www.bricklink.com/v2/search.page?q=6176217#T=A
6176513,female,2018,https://www.bricklink.com/v2/search.page?q=6176513#T=A
6176658,female,2018,https://www.bricklink.com/v2/search.page?q=6176658#T=A
6176783,neutral,2018,https://www.bricklink.com/v2/search.page?q=6176783#T=A
6192763,female,2018,https://www.bricklink.com/v2/search.page?q=6192763#T=A
6192789,neutral,2018,https://www.bricklink.com/v2/search.page?q=6192789#T=A
6205345,neutral,2018,https://www.bricklink.com/v2/search.page?q=6205345#T=A
6023600,neutral,2019,https://www.bricklink.com/v2/search.page?q=6023600#T=A
4275813,neutral,2019,https://www.bricklink.com/v2/search.page?q=4275813#T=A
4275815,neutral,2019,https://www.bricklink.com/v2/search.page?q=4275815#T=A
4275872,neutral,2019,https://www.bricklink.com/v2/search.page?q=4275872#T=A
4275461,neutral,2019,https://www.bricklink.com/v2/search.page?q=4275461#T=A
