item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,description2,na_description,description3,search_link
6097794,"MINI HEAD ""NO. 1569""",19298,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19298,"Minifigure, Head Dual Sided Female Dark Red Eyebrows, Dark Tan Lips, Smile / Bright Light Orange Mask, White Eyes, Open Mouth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097794#T=A
6097796,"MINI HEAD ""NO. 1571""",19300,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19300,"Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Brown Lips / Green and Gold Robot, Red Eyes and Eyebrows Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097796#T=A
6097796,"MINI HEAD ""NO. 1571""",19300,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19300,"Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Brown Lips / Green and Gold Robot, Red Eyes and Eyebrows Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097796#T=A
6097798,"MINI HEAD ""NO. 1573""",19302,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19302,"Minifigure, Head Black Bushy Eyebrows, Red Eyes, Moustache and Goatee, Sideburns, Wrinkles Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097798#T=A
6097798,"MINI HEAD ""NO. 1573""",19302,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19302,"Minifigure, Head Black Bushy Eyebrows, Red Eyes, Moustache and Goatee, Sideburns, Wrinkles Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097798#T=A
6097799,"MINI HEAD ""NO. 1574""",19304,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19304,"Minifigure, Head Black Eyebrows, Dark Red Eyes, Dark Purple Tattoo, Evil Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6097799#T=A
6099703,"MINI HEAD ""NO 1561""",19439,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19439,"Minifigure, Head Beard Black Stubble and Moustache, Eye Patch, Crow's Feet, Bared Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6099703#T=A
6099703,"MINI HEAD ""NO 1561""",19439,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19439,"Minifigure, Head Beard Black Stubble and Moustache, Eye Patch, Crow's Feet, Bared Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6099703#T=A
6100032,"MINI HEAD ""NO. 1560""",19516,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19516,"Minifigure, Head Dual Sided Female with Eye Patch, Smile / Angry Mouth with Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100032#T=A
6100032,"MINI HEAD ""NO. 1560""",19516,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=19516,"Minifigure, Head Dual Sided Female with Eye Patch, Smile / Angry Mouth with Teeth Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6100032#T=A
