Image,Item ID,Item Description,Design ID,LEGO Color,BrickLink Color,BL Part ID,EUR,USD,BL Search,New,BL price,% of BL,BL part name,comments,Vote Total #,Weighted Vote Total #,Total EU,Alice,WBI,Bob,Dave Ingraham,Jordan x2,Dave Smith,Kelli Smith,NIcole and Shawn,Tom,Koen,Cass,Brad
,4583297,PLATE W. BOW 2x4x2/3,88930,WHITE,,61068,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=4583297,No,$0.59,959.35%,,x,0,-1,,,,,,,,,,,,,
,4597912,PLATE W. BOW 2x4x2/3,88930,BR.RED,,61068,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=4597912,No,$0.48,780.49%,,x,0,-1,,,,,,,,,,,,,
,6308903,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,DK. BROWN,,66956,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6308903,Yes,$0.53,1077.24%,,x,0,-1,,,,,,,,,,,,,
,6308912,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,BLACK,,66956,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6308912,Yes,$0.52,845.53%,,x,0,-1,,,,,,,,,,,,,
,6312350,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,NEW DARK RED,,66956,€0.05,$0.06,https://www.bricklink.com/v2/search.page?q=6312350,Yes,$0.52,845.53%,,x,0,-1,,,,,,,,,,,,,
,6301907,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,WHITE,,66956,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6301907,Yes,$0.41,833.33%,,x,0,-1,,,,,,,,,,,,,
,6305047,"PLATE W/ BOW 2X2X2/3, 45 DEG.",66956,BR.RED,,66956,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6305047,Yes,$0.36,731.71%,,x,0,-1,,,,,,,,,,,,,
,6172927,PLATE W/ HALF BOW INV. 1X2X2/3,24201,WHITE,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6172927,No,$0.24,975.61%,,x,0,-1,,,,,,,,,,,,,
,6251250,LEFT BRICK 2X4 W/BOW/ANGLE,43721,EARTH BLUE,,43721,€0.07,$0.09,https://www.bricklink.com/v2/search.page?q=6251250,No,$0.42,487.80%,,,0,-1,,,,,,,,,,,,,
,6147050,PLATE W/ HALF BOW INV. 1X2X2/3,24201,BLACK,,24201,€0.01,$0.01,https://www.bricklink.com/v2/search.page?q=6147050,No,$0.11,894.31%,,x,0,-1,,,,,,,,,,,,,
,6144138,PLATE W/ HALF BOW INV. 1X2X2/3,24201,MED. ST-GREY,,24201,€0.01,$0.01,https://www.bricklink.com/v2/search.page?q=6144138,No,$0.11,894.31%,,x,0,-1,,,,,,,,,,,,,
,6251251,RIGHT BRICK 2X4 W/BOW/ANGLE,43720,EARTH BLUE,,43720,€0.07,$0.09,https://www.bricklink.com/v2/search.page?q=6251251,No,$0.43,499.42%,,,0,-1,,,,,,,,,,,,,
,6167223,PLATE W/ HALF BOW INV. 1X2X2/3,24201,BR.YEL,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6167223,No,$0.17,691.06%,,x,0,-1,,,,,,,,,,,,,
,6258166,"PLATE, W/ BOW 2X2X2/3, NO. 33",45354,WHITE,,15068pb164,€0.13,$0.16,https://www.bricklink.com/v2/search.page?q=6258166,No,$1.07,669.17%,,x,0,-1,,,,,,,,,,,,,
,6296507,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,COOL YEL.,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6296507,No,$0.48,1951.22%,,x,0,-1,,,,,,,,,,,,,
,6215212,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,DK. ST. GREY,,24201,€0.01,$0.01,https://www.bricklink.com/v2/search.page?q=6215212,No,$0.21,1707.32%,,x,0,-1,,,,,,,,,,,,,
,6172922,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,RED. BROWN,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6172922,No,$0.32,1300.81%,,x,0,-1,,,,,,,,,,,,,
,6308097,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,BR.BLUE,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6308097,Yes,$0.25,1016.26%,,x,0,-1,,,,,,,,,,,,,
,6278553,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,SAND GREEN,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6278553,No,$0.24,975.61%,,x,0,-1,,,,,,,,,,,,,
,6186398,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,BR.RED,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6186398,No,$0.17,691.06%,,x,0,-1,,,,,,,,,,,,,
,6296041,"PLATE, W/ HALF BOW, INV. 1X2X2/3",24201,LGH. PURPLE,,24201,€0.02,$0.02,https://www.bricklink.com/v2/search.page?q=6296041,Yes,$0.15,609.76%,,x,0,-1,,,,,,,,,,,,,
,6274686,TANK BOTTOM 8X6X2,45410,MED. ST-GREY,,45410,€0.47,$0.58,https://www.bricklink.com/v2/search.page?q=6274686,No,$5.47,946.20%,,,0,-1,,,,,,,,,,,,,
,6236423,WINDOW ARCH,38583,BRICK-YEL,,38583,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6236423,No,$0.38,1029.81%,,x,0,-1,,,,,,,,,,,,,
,6292417,WINDOW ARCH,38583,DK. ST. GREY,,38583,€0.04,$0.05,https://www.bricklink.com/v2/search.page?q=6292417,No,$0.46,934.96%,,x,0,-1,,,,,,,,,,,,,
,6278396,WINDOW ARCH,38583,WHITE,,38583,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6278396,No,$0.30,813.01%,,x,0,-1,,,,,,,,,,,,,
,6236425,WINDOW ARCH CORNER,38585,BRICK-YEL,,38585,€0.03,$0.04,https://www.bricklink.com/v2/search.page?q=6236425,No,$0.26,704.61%,,x,0,-1,,,,,,,,,,,,,
,6306724,FRONT 4X6X1,6153,MED. ST-GREY,,6153b,€0.17,$0.21,https://www.bricklink.com/v2/search.page?q=6306724,Yes,$4.36,2085.13%,,,0,-1,,,,,,,,,,,,,
