Image,Item ID,Item Description,"Color
ID","Color
Name","Design
ID","Color
Name",Price,Savings,DKK ,USD,"# of
Buyers","Total
Qty",Alice, Bob ,Daniel F, Dave I ,Dave S,David F x2,Jordan x2,Kelli S,Michael,Nicole/Shawn,RJ,Sean E,Tom,These will all be calculated fields; no data entry in this space
,6060795,1X1 DECORATION TOP NO. 1,222,Lgh. Purple,15470,Bright Pink,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6102794,1X1 DECORATION TOP NO. 1,1,White,15470,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6046381,1X2 PLATE WITH 3 TEETH,1,White,15208,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6046907,1X2 PLATE WITH 3 TEETH,5,Brick-Yel,15208,Tan,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6083980,1X2 PLATE WITH 3 TEETH,199,Dk. St. Grey,15208,Dark Bluish Gray,,,0.16,$0.026,1,5,,5,,,,,,,,,,,,
,6094141,1X2 PLATE WITH 3 TEETH,26,Black,15208,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6138731,1X2 PLATE WITH 3 TEETH,191,Fl. Yell-Ora,15208,Bright Light Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,4542586,2 KNIVES,199,Dk. St. Grey,44658,Dark Bluish Gray,,,1.52,$0.243,0,0,,,,,,,,,,,,,,
,4617761,2 KNIVES,297,W. Gold,44658,Pearl Gold,,,1.52,$0.243,0,0,,,,,,,,,,,,,,
,4600294,2 M. Ø3.2 Bones,1,White,93160,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,4649167,"2X2 ROUND,SLOPE BRICK W. KNOB",1,White,98100,White,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,4653822,"2X2 ROUND,SLOPE BRICK W. KNOB",26,Black,98100,Black,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6028324,"2X2 ROUND,SLOPE BRICK W. KNOB",194,Med. St-Grey,98100,Light Bluish Gray,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6075354,"2X2 ROUND,SLOPE BRICK W. KNOB",38,Dk.Ora,98100,Dark Orange,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6172543,"2X2 ROUND,SLOPE BRICK W. KNOB",154,New Dark Red,98100,Dark Red,,,0.32,$0.051,1,1,1,,,,,,,,,,,,,
,6055312,3-HOOK W. ANGLE SHAFT Ø3.2,199,Dk. St. Grey,15534,Dark Bluish Gray,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6153264,3.2 shaft w/ knob,40,Tr.,25893,Trans-Clear,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6152107,3.2 SHAFT W/3.2 HOLE,194,Med. St-Grey,23443,Light Bluish Gray,,,0.24,$0.038,1,1,1,,,,,,,,,,,,,
,6143318,3.2 SHAFT W/3.2 HOLE,26,Black,23443,Black,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6178242,3.2 SHAFT W/3.2 HOLE,102,Md.Blue,23443,Medium Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6131711,3.2 SHAFT W/5.9 BALL,47,Tr. Fl.Redora,22484,Trans-Neon Orange,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6139234,3.2 SHAFT W/5.9 BALL,311,Tr. Br. Green,22484,Trans-Bright Green*,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6158469,3.2 SHAFT W/5.9 BALL,199,Dk. St. Grey,22484,Dark Bluish Gray,,,0.16,$0.026,1,1,1,,,,,,,,,,,,,
,4211640,"4X4 BRICK, Ø 4,85",194,Med. St-Grey,32324,Light Bluish Gray,,,1.68,$0.269,0,0,,,,,,,,,,,,,,
,4144025,"4X6 BRICK, Ø 4,85",26,Black,32531,Black,,,1.84,$0.294,0,0,,,,,,,,,,,,,,
,4211716,"4X6 BRICK, Ø 4,85",194,Med. St-Grey,32531,Light Bluish Gray,,,1.84,$0.294,0,0,,,,,,,,,,,,,,
,6185546,"4X6 BRICK, Ø 4,85",321,Dark Azur,32531,Dark Azure,,,1.84,$0.294,0,0,,,,,,,,,,,,,,
,4600307,5 M. Ø3.2 BONE,1,White,92691,White,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,4188143,"6X8 BRICK, Ø 4,85",26,Black,32532,Black,,,2.16,$0.346,0,0,,,,,,,,,,,,,,
,4211848,"6X8 BRICK, Ø 4,85",194,Med. St-Grey,32532,Light Bluish Gray,,,2.16,$0.346,0,0,,,,,,,,,,,,,,
,6176382,"ACCESSORIES, KITCHEN",102,Md.Blue,93082,Medium Blue,,,2.48,$0.397,0,0,,,,,,,,,,,,,,
,4644070,"ACCESSORIES, MEDICAL",323,Aqua,98393,Light Aqua,,,2.32,$0.371,0,0,,,,,,,,,,,,,,
,4539951,ADMIRAL'S HAT,26,Black,2528,Black,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,4540699,"ADMIRAL'S HAT ""NO 1""",26,Black,84639,Black,,,1.68,$0.269,0,0,,,,,,,,,,,,,,
,6051541,"AERIAL Ø24X6.4 ""NO 1000""",336,"C. Silver, Dr. L",15587,Metallic Silver,,,1.28,$0.205,0,0,,,,,,,,,,,,,,
,6040362,AEROPLANEWING 4X9,1,White,14181,White,,,1.20,$0.192,0,0,,,,,,,,,,,,,,
,6048848,AEROPLANEWING 4X9,194,Med. St-Grey,14181,Light Bluish Gray,,,1.12,$0.179,0,0,,,,,,,,,,,,,,
,6048849,AEROPLANEWING 4X9,26,Black,14181,Black,,,1.12,$0.179,0,0,,,,,,,,,,,,,,
,6195158,AEROPLANEWING 4X9,102,Md.Blue,14181,Medium Blue,,,1.20,$0.192,0,0,,,,,,,,,,,,,,
,6058193,ANAKIN WIG,199,Dk. St. Grey,61183,Dark Bluish Gray,,,0.72,$0.115,1,1,,,,,,,1,,,,,,,
,6170702,"ANG.BRICK 5X5, Ø4,85",26,Black,28973,Black,,,1.28,$0.205,1,1,1,,,,,,,,,,,,,
,6117938,ANGLE PLATE 1X2 / 2X2,24,Br.Yel,21712,Yellow,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6117973,ANGLE PLATE 1X2 / 2X2,26,Black,21712,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6117975,ANGLE PLATE 1X2 / 2X2,5,Brick-Yel,21712,Tan,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6117967,ANGLE PLATE 1X2 / 2X2,194,Med. St-Grey,21712,Light Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
