Image,Item No.,Description,Expression 1,Expression 2,Color,,,Young Child,Youth/Younger Adult,Older Adult,,,,,,,,,,,
,3626cpb0932,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Brown Goatee, Cheek Lines, Angry / Bared Teeth with Red Eyes Pattern",Angry,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1573,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Wrinkles, Stern / Raised Right Eyebrow Pattern (Grand Moff Tarkin)",Angry,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2052,"Minifigure, Head Dual Sided Black Eyebrows, Dark Tan Soul Patch, Black Eye and Missing Tooth / Blue Captain America Mask Pattern",Angry,Angry,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2261,"Minifigure, Head Dual Sided Black Eyebrows, Eyes with Pupils, Wrinkles, Open Mouth / Closed Mouth Angry Pattern (Severus Snape Boggart)",Angry,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2728,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache, White Beard, Neutral / Scared Pattern",Angry,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1471,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Black Bandana / Black Eye Mask with Eye Holes Pattern (Winter Soldier)",Angry,Angry,Light Nougat,Masked,,,,1,,,,,,,,,,,
,3626cpb0815,"Minifigure, Head Dual Sided LotR Bushy Black Eyebrows, Dark Orange Scars, Stern / Open Mouth with Teeth Pattern",Angry,Evil,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0904,"Minifigure, Head Dual Sided Sunken Eyes, Black Eyebrows, Wrinkles, Frown / Angry Pattern",Angry,Evil,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0734,"Minifigure, Head Dual Sided LotR Boromir Goatee Stern / Grimacing Pattern",Angry,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1155,"Minifigure, Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Bared Teeth / Open Mouth Smile Pattern (Doc Ock)",Angry,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0680,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Angry,Neutral,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb0680,"Minifigure, Head Dual Sided Glasses with Black Goggles, Gray Chin Strap / Stern Eyebrows, Gray Chin Strap Pattern",Angry,Neutral,Light Nougat,,,,1,1,,,,,,,,,,,
