Image,Item No.,Description,Expression 1,Expression 2,Color,,,Young Child,Youth/Younger Adult,Older Adult,,,,,,,,,,,
,3626bpx329,"Minifigure, Head Male Crow's Feet, Eyebrows, Moustache and Rodent Teeth Pattern (HP Wormtail)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0801,"Minifigure, Head Male Eyepatch, Black Bushy Beard, Moustache and Missing Tooth Pattern",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpx298,"Minifigure, Head Male Gold Headset, Brown Eyebrows, Light Cuts/Scars Pattern",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0066,"Minifigure, Head Male Gray Moustache, Goatee, and Eyebrows Pattern",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0519,"Minifigure, Head Male Large Blue Eyes and Cheek Lines Pattern (SW Clone Wars Mandalorian)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0519,"Minifigure, Head Male Large Blue Eyes and Cheek Lines Pattern (SW Clone Wars Mandalorian)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0755,"Minifigure, Head Male Large Blue Eyes, Cheek Lines and High Brow Pattern (SW Clone Wars Pre Vizsla)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0065,"Minifigure, Head Male Left Eye Scarred Area and No Eyebrow, Ponytail on Back Pattern (Prince Zuko)",Neutral,,Light Nougat,Ponytail,,,,1,,,,,,,,,,,
,3626cpb1840,"Minifigure, Head Male Scars Front and Back, White Pupils, Black Thin Mouth Pattern",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0252,"Minifigure, Head Male SW Gray Stubble and Gray Eyebrows Pattern (Owen Lars)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0623,"Minifigure, Head Male SW Gray Stubble and Scar over Right Missing Eye Pattern (Commander Wolffe)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0618,"Minifigure, Head Male Vertical Cheek Lines, White Pupils Pattern (HP Stan Shunpike)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0209,"Minifigure, Head Moustache Thin Gray, Black Eyebrows, Scratches/Scars across Face Pattern (HP Professor Lupin)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0032,"Minifigure, Head Moustache Thin, Laugh Lines, Sideburns, White Pupils Pattern (Alfred the Butler)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0207,"Minifigure, Head Moustache with Eyebrows, White Pupils, and Stubble Pattern (HP Sirius Black)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1609,"Minifigure, Head Reddish Brown Eyebrows, Chin and Moustache Stubble, White Pupils Pattern (Mario Götze)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0986,"Minifigure, Head SW Blue Eyes, Tribal Tattoo, Stubble and Scars Pattern (Obi-Wan - Rako Hardeen)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2098,"Minifigure, Head White Bushy Eyebrows, Beard and Wrinkles Pattern (SW Ki-Adi-Mundi)",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2482,"Minifigure, Head White Eyebrows and Beard, Round Black Glasses Pattern",Neutral,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2395,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Mole on Left Cheek, Neutral / Scared Pattern",Sad,Scared,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2709,"Minifigure, Head Dual Sided Child Freckles, White Pupils, Dirt Stains, Reddish Brown Eyebrows PatternCatalog: Parts: Minifigure, Head",Sad,Smile,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0237,"Minifigure, Head Male Scars Red Left & Right, No Eyebrows Pattern",Sad,,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1998,"Minifigure, Head Dual Sided Dark Tan Moustache and Beard with Gray Pattern, Sad / Angry Pattern (SW Luke Skywalker)",Sad,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0947,"Minifigure, Head Dual Sided LotR Frodo Brown Eyebrows Worried / Angry Pattern",Sad,Angry,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1435,"Minifigure, Head Dual Sided LotR Gimli Bushy Brown Eyebrows, Sad / Grimacing Pattern",Sad,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0733,"Minifigure, Head Dual Sided LotR Gimli Bushy Brown Eyebrows, Stern / Grimacing Pattern",Sad,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1855,"Minifigure, Head Dual Sided Thick Gray Eyebrows, Cheek Lines, White Pupils, Neutral / Angry Pattern (Han Solo)",Sad,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0825,"Minifigure, Head Dual Sided Brown Eyebrows, Moustache, White Pupils / Sad Pattern (SW Malakili)",Sad,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1023,"Minifigure, Head Dual Sided LotR Dark Orange Moustache, Goatee, Bushy Eyebrows, Wrinkles, Yellowed Teeth, Smile / Open Mouth Pattern",Sad,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0822,"Minifigure, Head Dual Sided LotR Elf with Cheekbones, Age Lines, Calm / Happy Pattern",Sad,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2803,"Minifigure, Head Dual Sided, Black Eyebrows, Right Raised, Dark Orange Cheek Lines, Closed Mouth / Open Mouth Pattern",Sad,Sad,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1266,"Minifigure, Head Dual Sided White Strip on Forehead and Cheek Lines, Open Mouth Smile / Stubble, Teeth, Angry Pattern",Sad,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2166,"Minifigure, Head Dual Sided Light Bluish Gray and White Eyebrow and Beard, Neutral / Slight Smile with Gold Glasses Pattern",Sad,Smile,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0730,"Minifigure, Head Dual Sided LotR Frodo Brown Eyebrows Worried / Lopsided Smile Pattern",Sad,Smile,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1578,"Minifigure, Head Beard White, Moustache, Gray Eyebrows, Cheek Lines, Scar over Right Missing Eye Pattern (Commander Wolffe)",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0618,"Minifigure, Head Male Vertical Cheek Lines, White Pupils Pattern (HP Stan Shunpike)",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0679,"Minifigure, Head Male, Dark Tan Beard and Eyebrows, Orange Visor Pattern",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0679,"Minifigure, Head Male, Dark Tan Beard and Eyebrows, Orange Visor Pattern",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1710,"Minifigure, Head Reddish Brown Headband with Squinted Batman Eyes, Sad Mouth Pattern",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1365,"Minifigure, Head Tan Eyebrows and Beard, Cheek Lines and Frown Pattern (SW Rebel Trooper)",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1725,"Minifigure, Head White Headband, Reddish Brown Cheek Lines, Black Stubble Pattern",Sad,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0975,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Chin Dimple, Smile / Open Mouth Scared Pattern",Scared,Smile,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1270,"Minifigure, Head Black Eyebrows, Wide Eyes, Open Mouth, Teeth and Tongue, Surprised Pattern",Scared,,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2006,"Minifigure, Head Bright Light Orange Eyebrows, Wide Open Mouth with Teeth and Red Tongue Pattern",Scared,,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0873,"Minifigure, Head Dual Sided Bushy Orange Eyebrows, Cheek Lines, Frown / Angry Pattern (Aquaman)",Scared,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0567,"Minifigure, Head Dual Sided PotC Philip Thick Brown Eyebrows and Cheek Lines, Determined / Angry Pattern",Scared,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0637,"Minifigure, Head Dual Sided White Headband and Cheek Lines, Frown / Determined Pattern (Batman)",Scared,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2809,"Minifigure, Head Dual Sided, Scared Open Mouth with Dark Red Eyebrows and Freckles / Dark Brown Eyebrows and Small Mouth Pattern",Scared,Surprised,Light Nougat,,,1,1,,,,,,,,,,,,
,3626cpb1712,"Minifigure, Head Black Headband with Squinted Batman Eyes, Open Mouth Pattern",Scared,,Light Nougat,,,,1,,,,,,,,,,,,
,3626bpb0198,"Minifigure, Head Glasses with Green Goggles, Open Mouth Pattern (Dr. Octavious)",Scared,,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb2231,"Minifigure, Head Dual Sided Bacta Tank Mask, Sunken Eye, Closed / Open Eyes Pattern (SW Luke)",Sleepy,Neutral,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0229,"Minifigure, Head Dual Sided HP Ron with Awake / Asleep Pattern",Sleepy,Sleepy,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0804,"Minifigure, Head Male Brown Eyebrows, Smile, Black Chin Strap Pattern",Smile,,Light Nougat,,,,1,1,,,,,,,,,,,
,3626cpb0804,"Minifigure, Head Male Brown Eyebrows, Smile, Black Chin Strap Pattern",Smile,,Light Nougat,,,,1,1,,,,,,,,,,,
,3626bpb0408,"Minifigure, Head Male Brown Eyebrows, White Glints and Chin Dimple Pattern (SW Luke Skywalker)",Smile,,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1198,"Minifigure, Head Dual Sided Child LotR Bain, Brown Eyebrows, Slight Smile and Freckles / Angry with Mud Splotches Pattern",Smile,Angry,Light Nougat,Mud splotches,,1,,,,,,,,,,,,,
,3626cpb2413,"Minifigure, Head Dual Sided Med. Nougat Lightning Scar, Black Eyebrows and Glasses, Smile / Angry Pattern",Smile,Angry,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1137,"Minifigure, Head Dual Sided Black Eyebrows, Slight Crooked Smile / Downturned Mouth with Teeth Pattern",Smile,Annoyed,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb0826,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Smile / Open Mouth Angry Pattern (SW Luke Skywalker)",Smile,Annoyed,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1773,"Minifigure, Head Dual Sided Black Glasses with White Lenses, Dark Brown Eyebrows, Open Mouth Smile / Closed Mouth, Raised Eyebrow Pattern",Smile,Frown,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2164,"Minifigure, Head Dual Sided Child Dark Orange Eyebrows, Orange Freckles, Lopsided Happy / Scared Pattern",Smile,Frown,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2169,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Happy / Scared Pattern",Smile,Frown,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0475,"Minifigure, Head Dual Sided HP Harry with Glasses and Lightning Bolt, Frown / Smile Pattern",Smile,Frown,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0170,"Minifigure, Head Dual Sided HP Harry with Glasses and Lightning Bolt, with Gills / without Gills Pattern",Smile,Frown,Light Nougat,Gills,,1,,,,,,,,,,,,,
,3626cpb1366,"Minifigure, Head Dual Sided Child Freckles, Concerned / Crooked Smile Pattern (SW Anakin)",Smile,Happy,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1733,"Minifigure, Head Dual Sided Small Black Wide Set Eyes, Smile / Open Mouth Smile with Tongue and 3 Teeth Pattern (Finn the Human)",Smile,Happy,Light Nougat,Teeth,,1,,,,,,,,,,,,,
,3626cpb2729,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Smile / Concerned with Soot Pattern",Smile,Neutral,Light Nougat,Mud,,1,,,,,,,,,,,,,
,3626cpb2688,"Minifigure, Head Dual Sided Glasses, Black Eyebrows, Lightning Bolt Scar, Happy / Broken Glasses Dirty Face Pattern",Smile,Neutral,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2105,"Minifigure, Head Dual Sided Child Black Eyebrows, Dark Brown Small Freckles, Happy / Sad Pattern",Smile,Sad,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2104,"Minifigure, Head Dual Sided Child Black Eyebrows, Freckles, Happy / Sad Pattern",Smile,Sad,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1340,"Minifigure, Head Dual Sided Child LotR Brown Eyebrows and Freckles, Slight Smile / Frown (Bain) Pattern",Smile,Sad,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2168,"Minifigure, Head Dual Sided Black Glasses Round, Black Eyebrows, Dark Orange Lightning Scar, Happy / Scared Pattern",Smile,Scared,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0284,"Minifigure, Head Dual Sided Blue Eyes with Brown Eyebrows, Scared / Smile Pattern (Marion Ravenwood)",Smile,Scared,Light Nougat,,,1,1,,,,,,,,,,,,
,3626cpb1127,"Minifigure, Head Dual Sided Glasses, White Pupils, Smile / Scared with Teeth Pattern (Egon Spengler)",Smile,Scared,Light Nougat,,,1,1,,,,,,,,,,,,
,3626cpb1464,"Minifigure, Head Dual Sided Dark Tan Eyebrows, White Pupils, Cheek Lines with Open Mouth Smile / Determined Pattern",Smile,Smirk,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb1394,"Minifigure, Head Dual Sided Brown Eyebrows, Pupils, Smile / Open Mouth Scared with Teeth and Tongue Pattern (Gray)",Smile,Surprised,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2669,"Minifigure, Head Dual Sided Med. Nougat Lightning Scar, Black Eyebrows and Glasses, Happy / Surprised Pattern",Smile,Surprised,Light Nougat,,,1,,,,,,,,,,,,,
,3626bpb0206,"Minifigure, Head Male Eyebrows, White Pupils, and Toothed Happy Pattern (HP Neville)",Smile,,Light Nougat,,,1,,,,,,,,,,,,,
,33464pb02,"Minifigure, Baby / Toddler Head with Neck, Black Eyes, White Pupils, Black Mask and Smile Pattern",Smile,,Light Nougat,"Masked, toddler",,1,,,,,,,,,,,,,
,3626cpb2192,"Minifigure, Head Med. Nougat Lightning Scar, Black Eyebrows and Glasses Pattern",Smile,,Light Nougat,,,1,,,,,,,,,,,,,
,3626cpb2067,"Minifigure, Head Dual Sided Dark Brown Eyebrows, Cheek Lines, Happy/Frown Pattern",Smile,Angry,Light Nougat,,, ,,1,,,,,,,,,,,
,3626cpb1442,"Minifigure, Head Dual Sided Black Glasses, Dark Brown Eyebrows, Open Mouth Happy / Confused Pattern (Leonard Hofstadter)",Smile,Annoyed,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2090,"Minifigure, Head Dual Sided Black Eyebrows, Smile / Pilot Breathing Mask Pattern",Smile,Annoyed,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2412,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Worried Smile / Confused Pattern",Smile,Frown,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1958,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Smile with Teeth / Open Mouth with Teeth and Tongue Pattern",Smile,Happy,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2058,"Minifigure, Head Dual Sided Red Eye Mask, White Eyes, Smile with Teeth / Lopsided Happy Pattern (Robin)",Smile,Neutral,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2248,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Smile / Scared Pattern (Robin)",Smile,Scared,Light Nougat,,,,1,,,,,,,,,,,,
,3626bpb0601,"Minifigure, Head Dual Sided Open Eyes / Scar, Closed Eyes Bacta Tank Mask Pattern (SW Luke)",Smile,Sleepy,Light Nougat,Mask,,,1,,,,,,,,,,,,
,3626cpb0601,"Minifigure, Head Dual Sided Open Eyes / Scar, Closed Eyes Bacta Tank Mask Pattern (SW Luke)",Smile,Sleepy,Light Nougat,Mask,,,1,,,,,,,,,,,,
,3626cpb0075,"Minifigure, Head Male Brown Thick Eyebrows, Blue Eyes, Scar and Lines Pattern (SW Clone Wars Anakin)",Smile,,Light Nougat,,,,1,,,,,,,,,,,,
,3626bp01,"Minifigure, Head Standard Happy Pattern",Smile,,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb1152,"Minifigure, Head Dual Sided Beard Stubble, Brown Eyebrows, Smile / Angry Bared Teeth Pattern",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1638,"Minifigure, Head Dual Sided Black Eye Mask with Eye Holes, Happy / Bared Teeth Angry Pattern (Nightwing)",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1630,"Minifigure, Head Dual Sided Black Glasses, Dark Tan Eyebrows, Stubble Beard, Smile / Red Eyes, Angry Pattern (Kevin Beckman)",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0780,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Smirk / Bared Teeth Pattern",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1307,"Minifigure, Head Dual Sided Light Brown Eyebrows and Beard, Smile / Angry Pattern",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1020,"Minifigure, Head Dual Sided LotR Beard Dark Tan, Bushy Eyebrows, Wrinkles, White Pupils, Smile / Shouting Pattern (Radagast)",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0823,"Minifigure, Head Dual Sided LotR Beard with Braids and Crow's Feet, Smile / Battle Rage Pattern (Fili)",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0754,"Minifigure, Head Dual Sided LotR Goatee Smirk / Determined Pattern (King Theoden)",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2343,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Beard with Yellow Highlights, Smile / Fierce Pattern",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2124,"Minifigure, Head Dual Sided Med. Nougat Sideburns, Moustache, and Stubble, Raised Left Eyebrow, Smile / Firm Expression Pattern",Smile,Angry,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1470,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Chin Dimple, Open Mouth Smirk / Bared Teeth with Red Eyes Pattern (Superman / Hyperion)",Smile,Evil,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1451,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils, Smile / Frown Pattern (SW Qui-Gon)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1121,"Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Chin Dimple, Slight Smile / Pink Visor, Frown Pattern (SW Gray Squadron Pilot)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1520,"Minifigure, Head Dual Sided Black Frame Glasses, White Moustache, Wrinkles, Cheek Lines, Smile / Frown Pattern (Alfred)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2699,"Minifigure, Head Dual Sided Black Stubble on Forehead and Beard, Metallic Light Blue Eyes, Fangs, Smile / Scowl PatternCatalog: Parts: Minifigure, Head",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1017,"Minifigure, Head Dual Sided Gold Headset, Smile / Determined Pattern (SW Anakin)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0872,"Minifigure, Head Dual Sided LotR Bilbo Brown Eyebrows, Smile / Sad Pattern",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0834,"Minifigure, Head Dual Sided LotR Braided Eyebrows and Wrinkles, Happy / Angry Pattern (Nori)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0866,"Minifigure, Head Dual Sided LotR Bushy Gray Eyebrows, Wrinkles, Calm / Frowning Pattern (Balin)",Smile,Frown,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2671,"Minifigure, Head Dual Sided Black Eyebrows, Gold Glasses, Reddish Brown Mutton Chops, Happy / Open Mouth Smile Pattern",Smile,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1460,"Minifigure, Head Dual Sided Dark Brown Sideburns and Eyebrows, White Pupils with Lopsided / Happy Pattern (Howard Wolowitz)",Smile,Happy,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2329,"Minifigure, Head Dual Sided Green Eye Mask with Eye Holes, Smirk / Open Mouth Smile with Tongue Pattern",Smile,Happy,Light Nougat,Teeth,,,,1,,,,,,,,,,,
,3626cpb1670,"Minifigure, Head Dual Sided Beard Stubble, Brown Eyebrows, Smile / Neutral Pattern (SW Cassian Andor)",Smile,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1651,"Minifigure, Head Dual Sided Black Glasses, Reddish Brown Eyebrows, Sheepish Happy / Dark Pink Eyes Pattern",Smile,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1865,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Neutral / Happy Pattern",Smile,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2477,"Minifigure, Head Dual Sided Dark Brown Bushy Eyebrows, Moustache, Silver Round Glasses, Open Mouth / Shocked Pattern",Smile,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2698,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Med. Nougat Age Lines, Wide Happy / Frown Pattern",Smile,Neutral,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1375,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Open Mouth Happy / Sad Face Pattern (Shaggy)",Smile,Sad,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2246,"Minifigure, Head Dual Sided Black Eyebrows and Moustache, Med. Nougat Cheek Lines, Smile / Nervous Smile Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2013,"Minifigure, Head Dual Sided Black Eyebrows and Pencil Moustache, Dark Orange Cheek Lines, Smile / Scared Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1379,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Goofy Smile / Scared Clenched Teeth Pattern (Shaggy)",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2691,"Minifigure, Head Dual Sided Gray Eyebrows and Sideburns, Lined Face, Happy / Scared Face Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0836,"Minifigure, Head Dual Sided LotR Brown Beard and Freckles, Smile / Scared Pattern (Ori)",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0732,"Minifigure, Head Dual Sided LotR Pippin Brown Eyebrows, Anxious / Scared Pattern",Smile,Scared,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb2211,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Contour Lines, Smile / Scared Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0905,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Sneer / Scared Pattern",Smile,Scared,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0475,"Minifigure, Head Dual Sided HP Harry with Glasses and Lightning Bolt, Frown / Smile Pattern",Smile,Smirk,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb0598,"Minifigure, Head Dual Sided HP Neville Closed Mouth / Crooked Smile with Teeth Pattern",Smile,Smirk,Light Nougat,,,,1,,,,,,,,,,,,
,3626cpb0574b,"Minifigure, Head Dual Sided PotC Will Moustache, Goatee, Sneer with Sideburns / Smile without Sideburns Pattern",Smile,Smirk,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2799,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Cheek Lines, Smirk / Happy with Raised Eyebrow Pattern",Smile,Smirk,Light Nougat,,,,1,1,,,,,,,,,,,
,3626bpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Smile,Smirk,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2813,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Eye Bags, Cheek Lines, Wrinkles and Smile / Whistling Pattern",Smile,Surprised,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb0868,"Minifigure, Head Dual Sided LotR Bombur Cheek Lines Happy / Surprised Pattern",Smile,Surprised,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1969,"Minifigure, Head Beard with Dark Brown Eyebrows, Angular Beard, Smile and White Pupils Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626bpb0392,"Minifigure, Head Beard with Dark Tan Trim Beard (angular below mouth) and Eyebrows, Black Eyes and Smile Pattern (Crix Madine)",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1987,"Minifigure, Head Black Eyebrows and Eyes with Single Eyelashes, Broad Happy Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1611,"Minifigure, Head Black Eyebrows Bushy, White Pupils, Crow's Feet, Cheek Lines Pattern (Joachim Löw)",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2188,"Minifigure, Head Dark Brown Bushy Eyebrows and Moustache, Silver Round Glasses Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2448,"Minifigure, Head Dark Brown Eyebrows and Beard with Dark Tan Highlights Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1952,"Minifigure, Head Dark Brown Eyebrows, Sideburns, Moustache, Med. Nougat Stubble Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2008,"Minifigure, Head Dark Orange Furrowed Brown, Black Eyebrows and Pencil Moustache, Sneer Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1604,"Minifigure, Head Dark Tan Eyebrows, Beard Stubble, White Pupils, Chin Dimple, Happy Pattern (André Schürrle)",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1665,"Minifigure, Head Dark Tan Eyebrows, White Pupils, Cheek Lines, Smile Pattern (Manuel Neuer)",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2585,"Minifigure, Head Dual Sided Black and Silver Glasses / Dark Blue Ink Splotch Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb2692,"Minifigure, Head Dual Sided Black Eyebrows, Moustache and Goatee, Happy / Frown Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1983,"Minifigure, Head Forehead Lines, Dark Bluish Gray Eyebrows and Moustache, Gold Lowered Eyeglasses, Smiling Pattern",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
,3626cpb1473,"Minifigure, Head Glasses with Crooked Eyeglasses, Brown Eyebrows, Chin Strap Pattern (Ghostbusters Tully)",Smile,,Light Nougat,,,,,1,,,,,,,,,,,
