item_number,description,category
twn217,"Dark Bluish Gray Jacket with Magenta Scarf, Dark Blue Legs, Dark Orange Female Hair over Shoulder",Town
cty0329,"Dark Bluish Gray Jacket with Magenta Scarf, Dark Blue Legs, Dark Tan Female Hair",Town
cty0623,"Dark Bluish Gray Jacket with Magenta Scarf, Dark Bluish Gray Legs, Dark Orange Female Hair Short Swept Sideways (Ferry Passenger)",Town
cty0370,"Dark Bluish Gray Jacket with Magenta Scarf, Dark Tan Legs, Dark Orange Female Hair over Shoulder",Town
cty0220a,"Dark Bluish Gray Jacket with Magenta Scarf, Light Bluish Gray Legs, Dark Brown Hair Ponytail Long French Braided, Black Eyebrows",Town
cty0220,"Dark Bluish Gray Jacket with Magenta Scarf, Light Bluish Gray Legs, Dark Brown Hair Ponytail Long French Braided, Brown Eyebrows",Town
cty0169,"Dark Bluish Gray Jacket with Magenta Scarf, Light Bluish Gray Legs, Reddish Brown Female Hair over Shoulder, Peach Lips",Town
cty0419,"Dark Bluish Gray Jacket with Magenta Scarf, Light Bluish Gray Legs, Reddish Brown Female Hair over Shoulder, Red Lips",Town
twn236,"Dark Bluish Gray Jacket with Magenta Scarf, Medium Blue Legs, Tan Hair (Grandma)",Town
twn196,"Dark Bluish Gray Jacket with Magenta Scarf, Reddish Brown Legs, Reddish Brown Female Hair over Shoulder",Town
cty0195,"Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Female Hair",Town
cty0575,"Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Black Hair Ponytail Long with Side Bangs (City Square Car Saleswoman)",Town
twn100,"Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Dark Brown Hair Ponytail Long with Side Bangs",Town
cty0187,"Dark Bluish Gray Jacket with Magenta Scarf, White Legs, Reddish Brown Female Hair over Shoulder",Town
twn284,"Dark Pink Striped Top, White Legs, Medium Nougat Female Hair over Shoulder",Town
cty0181,"Dark Pink Vest and Heart Necklace, White Legs, Dark Brown Hair Ponytail Long French Braided",Town
twn218,Dart Player,Town
cty0597,Deep Sea Captain,Town
cty0560,Deep Sea Diver,Town
cty1178,"Deep Sea Diver - Female, Dark Blue Helmet, Pensive Smile / Scared",Town
cty1169,"Deep Sea Diver - Female, Dark Blue Helmet, Side Lamps, Smirk / Left Eye Squinted",Town
cty1164,"Deep Sea Diver - Male, Dark Blue Helmet, Lopsided Grin",Town
cty1224,"Deep Sea Diver - Male, Dark Blue Helmet, Side Lamp, Stubble",Town
cty1170,"Deep Sea Diver - Male, Dark Blue Helmet, Side Lamps, Glasses, Smile / Shocked",Town
cty1177,"Deep Sea Explorers Boat Captain - Dark Blue Turtleneck Sweater and Cap, Dark Bluish Gray Legs, Life Jacket",Town
cty0604,Deep Sea Seaplane Pilot,Town
cty0603,"Deep Sea Submariner Female, Dark Orange Hair",Town
cty0565,"Deep Sea Submariner Female, Reddish Brown Hair",Town
cty0566,"Deep Sea Submariner Male, Dark Red Knit Cap",Town
cty0605,"Deep Sea Submariner Male, Red Cap",Town
twn253,Deli Owner,Town
twn272,Dentist,Town
adv052,Desert Biplane Pilot,Town
cty0983,Desert Rally Racer Driver with Orange 'VITA RUSH' Logo,Town
cty1223,"Detective - Dark Green Hoodie with Bright Green Drawstrings, Black Legs, Dark Orange Helmet",Town
twn223,Detective Ace Brickman,Town
cty1213,"Diner Employee - Female, White and Dark Azure Striped Shirt, Dark Azure Legs, Dark Brown Hair",Town
cty1052,"Diver - Male, Black Wetsuit with White Logo and Lime Trim and Flippers",Town
cty1062,"Diver - Male, Black Wetsuit with White Logo and Lime Trim and Flippers, Blue Helmet and Air Tanks",Town
cty1191,"Diver - Male, Black Wetsuit with White Logo and Lime Trim and Flippers, White Helmet and Air Tanks",Town
cty1293,"Diver - Male, Red Helmet, Black Air Tanks, Red Flippers",Town
cty0257,Diver - Wide Grin,Town
cty0959,"Diver, Female, Black Flippers and Wetsuit with Blue Logo, Yellow Scuba Tank",Town
cty0235,"Diver, Flippers, Stubble Beard and Moustache and Sideburns, Scuba Tank",Town
cty0958,"Diver, Male, Black Flippers and Wetsuit with White Logo, Yellow Scuba Tank",Town
div021,Divers - Blue Oval and Black Dolphin Pattern,Town
div024,Divers - Blue Oval and Black Dolphin with Black Hair,Town
div001a,"Divers - Blue, Black Helmet, Blue Flippers",Town
div002a,"Divers - Blue, Female, Yellow Flippers",Town
div013,"Divers - Blue, Red Cap",Town
div003,"Divers - Boatie 1, Blue Cap",Town
div005,"Divers - Boatie 1, Blue Cap, Life Jacket",Town
div004,"Divers - Boatie 1, Brown Male Hair",Town
div023,"Divers - Control 1, Black Legs, Black Cap",Town
div022,"Divers - Control 1, Black Legs, Black Cap, Life Jacket",Town
div007,"Divers - Control 1, Red Legs, Black Cap, Life Jacket",Town
div008,"Divers - Control 1, Yellow Legs with Black Hips, White Cap",Town
div010,"Divers - Control 2, Black Legs, Red Cap",Town
div011,"Divers - Control 2, Red Legs with Black Hips, Red Cap",Town
div009,"Divers - Control 2, Red Legs, Black Cap, Glasses and Headset",Town
div012,"Divers - Control 2, Yellow Legs with Black Hips, White Cap",Town
div017b,"Divers - Red Diver 1, Red Legs with Black Hips, Red Helmet, Light Gray Scuba Tank, Flippers",Town
div015,"Divers - Red diver 2, Black Legs with Red Hips, Black Helmet, Brown Bangs, Stubble",Town
div015a,"Divers - Red diver 2, Black Legs with Red Hips, Black Helmet, Brown Bangs, Stubble, Red Flippers",Town
div019,"Divers - Red Diver 2, Black Legs with Red Hips, Black Helmet, Red Flippers",Town
div016,"Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, Brown Bangs, Stubble",Town
div018,"Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, White Bangs",Town
div018a,"Divers - Red Diver 2, Red Legs with Black Hips, Black Helmet, White Bangs, Black Flippers",Town
div014,"Divers - Red Diver 2, Red Legs, Black Helmet",Town
div020,"Divers - Red Diver 2, White Cap",Town
cty0996,"Dock Worker, Male, Blue Jacket with Diagonal Lower Pockets and Orange Stripes, Olive Green Legs, Dark Blue Knit Cap",Town
doc032,"Doctor - EMT Star of Life Button Shirt, White Legs, Black Male Hair, Glasses",Town
doc026,"Doctor - EMT Star of Life Button Shirt, White Legs, Black Ponytail Hair",Town
doc034,"Doctor - EMT Star of Life Button Shirt, White Legs, Blue Cap, Glasses",Town
doc023,"Doctor - EMT Star of Life Button Shirt, White Legs, Blue Cap, Goatee",Town
cty0017,"Doctor - EMT Star of Life Button Shirt, White Legs, Blue Cap, Silver Sunglasses",Town
doc022,"Doctor - EMT Star of Life Button Shirt, White Legs, Blue Helmet, Trans-Black Visor",Town
doc035,"Doctor - EMT Star of Life Button Shirt, White Legs, Dark Orange Short Tousled Hair (Undetermined Eyebrows)",Town
doc035a,"Doctor - EMT Star of Life Button Shirt, White Legs, Dark Orange Short Tousled Hair, Black Eyebrows",Town
doc035b,"Doctor - EMT Star of Life Button Shirt, White Legs, Dark Orange Short Tousled Hair, Reddish Brown Eyebrows",Town
doc027,"Doctor - EMT Star of Life Button Shirt, White Legs, Reddish Brown Male Hair",Town
doc017,"Doctor - EMT Star of Life, Blue Legs, White Helmet, Trans-Light Blue Visor",Town
cty0900,"Doctor - EMT Star of Life, Medium Azure Legs, Dark Orange Female Hair Short Swept Sideways, Glasses",Town
doc019,"Doctor - EMT Star of Life, White Legs, Black Ponytail Hair",Town
soc057,"Doctor - EMT Star of Life, White Legs, Blue Cap",Town
doc014,"Doctor - EMT Star of Life, White Legs, Brown Male Hair, Sunglasses",Town
twn344,"Doctor - EMT Star of Life, White Legs, Dark Orange Hair Ponytail Long with Side Bangs, Glasses",Town
doc015,"Doctor - EMT Star of Life, White Legs, Red Ponytail Hair",Town
doc038,"Doctor - EMT Star of Life, White Legs, Reddish Brown Male Hair",Town
doc010,"Doctor - EMT Star of Life, White Legs, White Cap",Town
cty0080,"Doctor - Jacket with Zipper and EMT Star of Life - White Legs, Blue Helmet, Trans-Black Visor, Glasses and Brown Eyebrows",Town
doc036,"Doctor - Lab Coat Stethoscope and Thermometer, White Legs, Reddish Brown Female Ponytail Hair, Dual Sided Head",Town
doc025,"Doctor - Lab Coat Stethoscope and Thermometer, White Legs, Reddish Brown Male Hair",Town
doc021,"Doctor - Lab Coat Stethoscope and Thermometer, White Legs, Reddish Brown Male Hair, Glasses",Town
doc037,"Doctor - Lab Coat, Stethoscope and Thermometer, Dark Green Legs, Long French Braided Female Hair",Town
doc024,"Doctor - Lab Coat, Stethoscope and Thermometer, White Legs, Black Male Hair, Glasses",Town
doc033,"Doctor - Lab Coat, Stethoscope and Thermometer, White Legs, Reddish Brown Female Ponytail Hair",Town
cty0319,"Doctor - Long Lab Coat over Dark Azure Shirt, Stethoscope, Black Smooth Hair",Town
cty0081,"Doctor - Male, Jacket with Zipper and EMT Star of Life, White Legs, Blue Helmet, Trans-Black Visor, Silver Sunglasses",Town
cty1341,"Doctor - Male, White Lab Coat with Stethoscope, Medium Azure Scrubs, Light Bluish Gray Hair, Glasses",Town
doc013s,"Doctor - Plain White with Red Cross Torso Sticker, Red Legs, Black Pigtails Hair",Town
doc028,"Doctor - Stethoscope with 4 Side Buttons, Black Legs, Glasses, Reddish Brown Male Hair",Town
wc015,"Doctor - Stethoscope with 4 Side Buttons, Orange Legs, Black Flat Top Hair, Glasses",Town
cty1289,"Doctor - Stethoscope, Dark Azure Legs, Reddish Brown Hair, Beard",Town
cty0898,"Doctor - Stethoscope, Medium Azure Legs, Dark Tan Smooth Hair, Beard",Town
cty0899,"Doctor - Stethoscope, Medium Azure Legs, Medium Nougat Spiked Hair",Town
doc001b,"Doctor - Stethoscope, Red Legs, Black Pigtails Hair (Reissue)",Town
doc001,"Doctor - Stethoscope, Red Legs, Black Pigtails Hair (Undetermined Type)",Town
doc001a,"Doctor - Stethoscope, Red Legs, Black Pigtails Hair (Vintage)",Town
doc016,"Doctor - Stethoscope, White Legs, Black Female Hair",Town
doc016new,"Doctor - Stethoscope, White Legs, Black Female Hair Reissue",Town
doc002,"Doctor - Stethoscope, White Legs, Black Male Hair",Town
doc030,"Doctor - Stethoscope, White Legs, Black Pigtails Hair",Town
doc003,"Doctor - Straight Line, Light Gray Legs, White Hat",Town
doc009,"Doctor - Straight Line, Red Legs, Black Male Hair",Town
doc006,"Doctor - Straight Line, Red Legs, Black Pigtails Hair",Town
doc012,"Doctor - Straight Line, Red Legs, Red Hat",Town
doc004,"Doctor - Straight Line, White Legs, Black Female Hair",Town
doc008,"Doctor - Straight Line, White Legs, Black Pigtails Hair",Town
doc018,"Doctor - Straight Line, White Legs, Brown Female Hair",Town
doc005,"Doctor - Straight Line, White Legs, Brown Male Hair",Town
doc011,"Doctor - Straight Line, White Legs, Red Classic Helmet",Town
doc031,"Doctor - Straight Line, White Legs, Red Female Hair",Town
doc007,"Doctor - Straight Line, White Legs, Red Hat",Town
doc029,"Doctor - Straight Line, White Legs, Red Pigtails Hair",Town
twn403,Donut / Doughnut Shop Clerk,Town
cty1428,Dr. Barnaby Wylde,Town
cty1346,Dr. Flieber,Town
cty1345,Dr. Spetzel,Town
cty0749,"Dragster Race Car Driver, GEAR Logo",Town
cty0750,"Dragster Transport Truck Driver, GEAR Logo",Town
twn333,"Driver, Stunt Show",Town
cty1029,"Drone Engineer - White Safety Jumpsuit, Red Goggles and White Mask",Town
cty1329,Duke DeTain - Flat Silver Race Suit,Town
twn198,Dunk Tank Lady,Town
cty1172,"Explorer - Male, Dark Red Hooded Sweatshirt, Dark Blue Cap, Frown, Sweat Drops",Town
cty1175,"Explorer - Male, Dark Red Hooded Sweatshirt, Sand Blue Legs, Dark Blue Knit Cap",Town
ext014,Extreme Team - Blue Diver,Town
ext001,"Extreme Team - Blue, Blue Flame Helmet, White Bangs",Town
ext001a,"Extreme Team - Blue, Blue Flame Helmet, White Bangs Messy Hair",Town
ext002,"Extreme Team - Blue, Blue Helmet Plain, Life Jacket",Town
ext003,Extreme Team - Gray with Dark Gray Helmet,Town
ext003a,Extreme Team - Gray with Dark Gray Helmet,Town
ext007,"Extreme Team - Green, Black Legs with Yellow Hips, Green Cap",Town
ext018,"Extreme Team - Green, Black Legs with Yellow Hips, Green Flame Helmet",Town
ext005,"Extreme Team - Green, Black Legs with Yellow Hips, Green Flame Helmet, Life Jacket",Town
ext006,"Extreme Team - Green, Black Legs with Yellow Hips, Green Helmet Plain",Town
ext004,"Extreme Team - Green, Dark Gray Legs, Blue Cap, Life Jacket",Town
ext016,"Extreme Team - Green, Green Legs, Brown Ponytail Hair",Town
ext019,"Extreme Team - Green, Green Legs, Green Helmet, Life Jacket, Trans-Dark Blue Visor",Town
ext010,Extreme Team - Red,Town
ext012,"Extreme Team - White, White Flame Helmet",Town
exx003,"Exxon - Black Legs, Black Hat",Town
exx001,"Exxon - Blue Legs, Black Pigtails Hair",Town
exx002,"Exxon - Blue Legs, Red Hat",Town
exx004s,"Exxon - Blue Legs, Red Hat (Sticker Torso)",Town
cty1013,Face Painter,Town
cty0892,"Fair Isle Sweater, Bright Light Yellow Female Hair over Shoulder, Blue Legs",Town
cty1151,"Fairground Employee, Female - Bright Light Yellow Hair with High Bun, White Shirt with Stripes, Medium Azure Legs",Town
cty1150,"Fairground Employee, Male - Black Top Hat, Moustache, White Shirt with Stripes, Medium Azure Legs",Town
twn414,"Fairground Worker - Female, White Stripes and Red Bow Tie, Lime Legs, Bright Light Yellow Hair",Town
twn413,"Fairground Worker - Male, White Stripes and Red Bow Tie, Lime Legs, Black Top Hat",Town
cty0134,"Farm Hand, Blue Overalls, Long Bill Cap",Town
cty0134a,"Farm Hand, Blue Overalls, Short Bill Cap",Town
cty0135,"Farm Hand, Female",Town
cty0171,"Farm Hand, Female, Overalls Blue over V-Neck Shirt",Town
cty0723,"Farm Hand, Female, Overalls Blue over V-Neck Shirt, Light Bluish Gray Hair with Top Knot Bun",Town
cty0606,"Farm Hand, Female, Overalls Blue over V-Neck Shirt, Thin Smile",Town
cty1227,"Farmer - Overalls Green, Red Plaid Shirt, Reddish Brown Hair Swept Back Tousled",Town
cty0984,"Farmer - Red Cap and Flannel Shirt, Dark Bluish Gray Beard, Green Overalls",Town
cty1261,Father Figure,Town
cty1228,"Female - Jacket with 'ViTA RUSH' Logo, Dark Azure Legs, Dark Orange Hair",Town
cty0327,"Female Corset with Gold Panel Front and Lace Up Back Pattern, Black Legs, Black Bob Cut Hair",Town
twn137,"Female Corset with Gold Panel Front and Lace Up Back Pattern, Dark Red Legs, Reddish Brown Female Hair over Shoulder",Town
cty0724,"Female Corset with Gold Panel Front and Lace Up Back Pattern, Pearl Gold Legs, Black Hair Ponytail Long with Side Bangs",Town
twn281,"Female Dark Purple Blouse with Gold Sash and Flowers, Dark Purple Legs, Black Bob Cut Hair, Cape",Town
cty0550,"Female Dark Purple Blouse with Gold Sash and Flowers, Dark Purple Legs, Bright Light Yellow Female Hair Mid-Length",Town
twn154,"Female Dark Purple Blouse with Gold Sash and Flowers, White Legs",Town
cty0354,"Female Dark Purple Blouse with Gold Sash and Flowers, White Legs, Black Bob Cut Hair",Town
twn171,"Female Dark Purple Blouse with Gold Sash and Flowers, White Legs, Red Lips",Town
cty0721,Female Drummer,Town
twn180,Female Guest,Town
twn227,"Female Lime Halter Top with Dolphin Pattern, Dark Purple Legs, Dark Brown Ponytail and Swept Sideways Fringe, Pink Lips",Town
twn395,"Female Mechanic with Dark Blue Overalls and Legs, Dark Orange Ponytail with Dark Blue Ball Cap",Town
trn250,"Female Outline Sweatshirt with Zipper, Tan Legs, Reddish Brown Hair Female Ponytail and Swept Sideways Fringe",Town
cty1321,"Female with Green Jacket, Dark Tan Legs, Short Black Coiled Hair",Town
twn399,"Female with Green Jacket, Red Legs, Reddish Brown Hair",Town
twn394,"Female with Medium Lavender Jacket, Medium Blue Legs, Bright Light Yellow Hair",Town
trn249,"Female with Reddish Brown Apron with Cup and Name Tag Pattern, Bright Light Yellow Hair Female Large High Bun, Glasses",Town
twn377,"Female with Reddish Brown Ponytail and Swept Sideways Fringe Hair, Red Scarf, Blue Striped Shirt and Green Pants",Town
twn393,"Female with Sports Jacket, Black Legs, Reddish Brown Hair",Town
twn391,"Female with Striped Black and White Shirt, Black Jacket, Dark Bluish Gray Legs, Dark Brown Hair",Town
cty1322,"Female, Blue Jacket over Dark Red V-Neck Sweater, Dark Blue Legs, Medium Nougat Ponytail",Town
cty1116,"Female, Bright Pink Top, Medium Azure Legs",Town
twn385,"Female, Bushy Black Hair, Medium Lavender Jacket on Lavender Shirt, Medium Blue Legs",Town
twn288,"Female, Dark Pink Striped Top, Dark Purple Legs, Dark Brown Hair Ponytail and Swept Sideways Fringe",Town
twn384,"Female, Short Reddish Brown Hair, Medium Nougat Glasses and Shirt, Dark Blue Legs",Town
twn381,"Female, Toy Store Worker (LEGO logo on reverse of torso)",Town
cty1111,"Female, White and Red Jumpsuit with 'XTREME' Logo, Tan Tousled Hair, Sunglasses and Closed Mouth Grin",Town
cty1354,"Female, White Shirt with Coral Flowers, Bright Light Blue Jacket and Legs, Dark Brown Hair",Town
twn367,"Female, White Top with Green Apples and Lime Dots, Medium Azure Legs, Dark Brown Ponytail and Swept Sideways Fringe",Town
cty0661,"Fence Painter - Pink Lips, Light Bluish Gray Overalls with Paint Splatters",Town
twn237,Ferris Wheel Operator,Town
cty0622,Ferry Captain,Town
cty1358,"Fire -  Fireman Clemmons, Reflective Stripes with Utility Belt, Black Legs, Neon Yellow Fire Helmet, Trans-Black Visor, Sideburns",Town
airdg001,"Fire - Air Gauge and Pocket, Light Gray Legs and Black Hips, Underwater Helmet with Hose",Town
spp010,"Fire - Air Gauge and Pocket, Light Gray Legs and Black Hips, White Fire Helmet, Breathing Hose, White Air Tanks",Town
firec011,"Fire - Air Gauge and Pocket, Light Gray Legs, Black Fire Helmet",Town
firec013,"Fire - Air Gauge and Pocket, Light Gray Legs, Moustache, Black Helmet, Trans-Light Blue Visor",Town
firec007,"Fire - Air Gauge and Pocket, Light Gray Legs, White Fire Helmet",Town
firec027,"Fire - Air Gauge and Pocket, Light Gray Legs, White Fire Helmet, Breathing Hose, Yellow Air Tanks",Town
firec026,"Fire - Air Gauge and Pocket, Light Gray Legs, White Fire Helmet, Life Jacket",Town
firec019,"Fire - Black Fire Helmet, Light Gray Air Tanks",Town
cty0300,"Fire - Bright Light Orange Fire Suit with Utility Belt, Black Short Bill Cap, Beard and Glasses",Town
cty0286,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet",Town
cty0302,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Crooked Smile and Scar",Town
cty0338,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Orange Sunglasses",Town
cty0279,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Sweat Drops",Town
cty0287,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Yellow Air Tanks",Town
cty0307,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Yellow Air Tanks, Black Eyebrows, Chin Dimple",Town
cty0304,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Yellow Air Tanks, Red Lips",Town
cty0301,"Fire - Bright Light Orange Fire Suit with Utility Belt, Dark Red Fire Helmet, Yellow Air Tanks, Sweat Drops",Town
cty0337,"Fire - Bright Light Orange Fire Suit with Utility Belt, Reddish Brown Female Hair over Shoulder",Town
fire006,"Fire - City Center 1, Black Legs, Black Male Hair",Town
fire001,"Fire - City Center 1, Black Legs, White Cap, Moustache",Town
fire002,"Fire - City Center 2, Light Gray Legs with Black Hips, Black Breathing Helmet, Air Tanks",Town
twn038,"Fire - City Center 2, Light Gray Legs with Black Hips, Black Helmet",Town
fire003,"Fire - City Center 2, Light Gray Legs with Black Hips, White Cap",Town
twn006,"Fire - City Center 2, Light Gray Legs, White Helmet, Visor (Spy Runner Pilot)",Town
fire008,"Fire - City Center 3, Light Gray Legs with Black Hips, Black Fire Helmet",Town
fire007,"Fire - City Center 4, Light Gray Legs with Black Hips, Black Breathing Helmet 2",Town
fire004,"Fire - City Center 5, Light Gray Legs with Black Hips, White Cap, Brown Sideburns",Town
firec014,"Fire - City Center 5, Light Gray Legs with Black Hips, White Fire Helmet, Air Tanks",Town
firec004,"Fire - Classic, Black Fire Helmet",Town
firec024,"Fire - Classic, Black Fire Helmet, Light Gray Air Tanks",Town
firec008,"Fire - Classic, Black Hat, Captain",Town
firec002,"Fire - Classic, Black Male Hair",Town
firec005,"Fire - Classic, White Classic Helmet",Town
firec016,"Fire - Classic, White Construction Helmet",Town
firec001,"Fire - Classic, White Fire Helmet",Town
firec001new,"Fire - Classic, White Fire Helmet (Reissue)",Town
firec018,"Fire - Classic, White Fire Helmet, White Air Tanks",Town
firec003,"Fire - Classic, White Helmet, Trans-Light Blue Visor",Town
cty1417,"Fire - Female White Shirt with Fire Logo Badge and Belt, Black Legs, Red Cap with Ponytail",Town
cty0970,"Fire - Female White Shirt with Fire Logo Badge and Belt, Reflective Stripes on Black Legs, Red Cap with Ponytail",Town
cty1356,"Fire - Female, Black Jacket and Legs with Reflective Stripes and Red Collar, Neon Yellow Fire Helmet, Trans-Black Visor (Sarah Feldman)",Town
cty1399,"Fire - Female, Black Jacket and Legs with Reflective Stripes and Red Collar, Neon Yellow Fire Helmet, Trans-Black Visor, Dark Bluish Gray Splotches",Town
cty1309,"Fire - Female, Black Jacket and Legs with Reflective Stripes and Red Collar, White Cap with Bright Light Yellow Hair, Orange Life Jacket, Dark Bluish Gray Splotches",Town
cty1250,"Fire - Female, Black Jacket and Legs with Reflective Stripes and Red Collar, White Fire Helmet, Trans-Black Visor (Sarah Feldman)",Town
cty1240,"Fire - Female, Black Jacket and Legs with Reflective Stripes and Red Collar, White Helmet, Trans-Black Visor, Dark Bluish Gray Splotches",Town
cty1357,"Fire - Female, Black Jacket and Legs with Reflective Stripes, Neon Yellow Fire Helmet, Trans-Black Visor",Town
cty1252,"Fire - Female, White Open Jacket over Shirt, Light Bluish Gray Legs, Reddish Brown Hair",Town
cty1372,Fire - Finn,Town
firec023,"Fire - Flame Badge and 2 Buttons, Black Legs, Black Male Hair",Town
firec017,"Fire - Flame Badge and 2 Buttons, Black Legs, White Fire Helmet",Town
firec009,"Fire - Flame Badge and 2 Buttons, Black Legs, White Fire Helmet with Fire Logo",Town
firec022,"Fire - Flame Badge and 2 Buttons, Black Legs, White Fire Helmet, Black Legs, Smile",Town
firec015,"Fire - Flame Badge and 2 Buttons, Black Legs, White Fire Helmet, Life Jacket",Town
firec021,"Fire - Flame Badge and 2 Buttons, Light Bluish Gray Legs, White Fire Helmet",Town
firec020,"Fire - Flame Badge and Straight Line, Black Legs, Black Male Hair",Town
firec006,"Fire - Flame Badge and Straight Line, Black Legs, White Fire Helmet",Town
firec025,"Fire - Flame Badge and Straight Line, Black Legs, White Fire Helmet, Life Jacket",Town
firec010,"Fire - Flame Badge and Straight Line, Black Legs, White Helmet, Trans-Light Blue Visor",Town
firec012,"Fire - Flame Badge and Straight Line, Light Gray Legs, Brown Ponytail Hair",Town
cty1370,"Fire - Male, Black Jacket and Legs with Reflective Stripes and Red Collar, Neon Yellow Fire Helmet, Trans-Black Visor",Town
cty1362,"Fire - Male, Black Jacket and Legs with Reflective Stripes and Red Collar, Neon Yellow Fire Helmet, Trans-Black Visor, Dark Orange Sideburns (Bob)",Town
cty1251,"Fire - Male, Black Jacket and Legs with Reflective Stripes and Red Collar, White Fire Helmet, Trans-Black Visor, Black Beard",Town
cty1264,"Fire - Male, Black Jacket and Legs with Reflective Stripes and Red Collar, White Fire Helmet, Trans-Black Visor, Dark Orange Goatee",Town
cty0653,"Fire - Male, Orange Safety Vest, Reflective Stripes, Reddish Brown Shirt, Dark Blue Legs, Red Construction Helmet with Black Headphones, Stubble",Town
cty0280,"Fire - Pilot Female, Red Fire Suit with Carabiner, Dark Blue Legs with Map, White Helmet, Red Lips",Town
cty0278,"Fire - Pilot Male, Red Fire Suit with Carabiner, Dark Blue Legs with Map, White Helmet, Orange Sunglasses",Town
cty0323,"Fire - Pilot Male, Red Fire Suit with Carabiner, Dark Blue Legs, White Helmet, Trans-Black Visor, Orange Safety Glasses",Town
cty0349,"Fire - Pilot Male, Red Fire Suit with Carabiner, Reflective Stripes on Black Legs, White Helmet, Silver Sunglasses",Town
cty0379,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Brown Ponytail and Swept Sideways Fringe",Town
cty0342,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Fire Helmet",Town
cty0434,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Fire Helmet, Black Eyebrows",Town
cty0470,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Fire Helmet, Female Red Lips",Town
cty0382,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Fire Helmet, Life Jacket Center Buckle",Town
cty0538,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Fire Helmet, Life Jacket Center Buckle, Female Pink Lips",Town
cty0371,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Dark Red Short Bill Cap, Life Jacket Center Buckle",Town
cty0737,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Orange Pants, White Fire Helmet, Yellow Air Tanks, Dark Orange Goatee",Town
cty0736,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, Orange Pants, White Helmet, Yellow, Peach Lips",Town
cty0741,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, White Fire Helmet",Town
cty0507,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, White Fire Helmet, Brown Beard",Town
cty0508,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, White Fire Helmet, Glasses",Town
cty0344,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, White Helmet",Town
cty0588,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap, White Helmet, Yellow Air Tanks, Peach Lips",Town
cty0587,"Fire - Reflective Stripe Vest with Pockets and Shoulder Strap,White Helmet, Brown Eyebrows",Town
cty0369,"Fire - Reflective Stripes with Pockets and Shoulder Strap, Dark Red Fire Helmet, Beard Light Brown Angular",Town
cty0640,"Fire - Reflective Stripes with Utility Belt and Flashlight, Life Jacket Center Buckle, White Helmet, Trans-Black Visor, Peach Lips Open Mouth Smile",Town
cty0649,"Fire - Reflective Stripes with Utility Belt and Flashlight, Life Jacket, White Fire Helmet, Brown Moustache and Goatee",Town
cty0650,"Fire - Reflective Stripes with Utility Belt and Flashlight, Life Jacket, White Fire Helmet, Peach Lips Open Mouth Smile",Town
cty1371,"Fire - Reflective Stripes with Utility Belt and Flashlight, Neon Yellow Fire Helmet, Trans-Black Visor, Peach Lips",Town
cty1255,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Fire Helmet, Beard Stubble, Brown Eyebrows",Town
cty0635,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Fire Helmet, Brown Moustache and Goatee",Town
cty0669,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Fire Helmet, Dark Orange Moustache and Goatee, Soot Marks",Town
cty0627,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Fire Helmet, Peach Lips",Town
cty0652,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Helmet, Trans-Black Visor, Lopsided Grin",Town
cty0651,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Helmet, Trans-Black Visor, Peach Lips Open Mouth Smile",Town
cty1355,"Fire - Reflective Stripes with Utility Belt and Flashlight, White Helmet, Trans-Black Visor, Safety Glasses, Peach Lips Closed Mouth Smile",Town
