"","category","num_pages","num_figs","link"
"71","Rock Raiders",1,10,"https://www.bricklink.com/catalogList.asp?catType=M&catString=62"
"72","Scala",1,33,"https://www.bricklink.com/catalogList.asp?catType=M&catString=102"
"73","School Supplies",1,3,"https://www.bricklink.com/catalogList.asp?catType=M&catString=447"
"74","Scooby-Doo",1,14,"https://www.bricklink.com/catalogList.asp?catType=M&catString=856"
"75","Space",5,208,"https://www.bricklink.com/catalogList.asp?catType=M&catString=34"
"76","Speed Champions",2,100,"https://www.bricklink.com/catalogList.asp?catType=M&catString=842"
"77","Speed Racer",1,14,"https://www.bricklink.com/catalogList.asp?catType=M&catString=608"
"78","Spider-Man",1,31,"https://www.bricklink.com/catalogList.asp?catType=M&catString=469"
"79","SpongeBob SquarePants",1,39,"https://www.bricklink.com/catalogList.asp?catType=M&catString=573"
"80","Sports",7,303,"https://www.bricklink.com/catalogList.asp?catType=M&catString=473"
"81","Star Wars",26,1273,"https://www.bricklink.com/catalogList.asp?catType=M&catString=65"
"82","Stranger Things",1,9,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1043"
"83","Studios",1,36,"https://www.bricklink.com/catalogList.asp?catType=M&catString=174"
"84","Super Heroes",17,838,"https://www.bricklink.com/catalogList.asp?catType=M&catString=768"
"85","Super Mario",3,109,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1095"
"86","Technic",2,65,"https://www.bricklink.com/catalogList.asp?catType=M&catString=36"
"87","Teenage Mutant Ninja Turtles",2,54,"https://www.bricklink.com/catalogList.asp?catType=M&catString=790"
"88","The Angry Birds Movie",1,20,"https://www.bricklink.com/catalogList.asp?catType=M&catString=876"
"89","The Hobbit and The Lord of the Rings",3,110,"https://www.bricklink.com/catalogList.asp?catType=M&catString=789"
"90","The Incredibles",1,10,"https://www.bricklink.com/catalogList.asp?catType=M&catString=957"
"91","The LEGO Movie",2,83,"https://www.bricklink.com/catalogList.asp?catType=M&catString=804"
"92","The LEGO Movie 2",2,86,"https://www.bricklink.com/catalogList.asp?catType=M&catString=971"
"93","The LEGO Ninjago Movie",2,93,"https://www.bricklink.com/catalogList.asp?catType=M&catString=920"
"94","The Lone Ranger",1,21,"https://www.bricklink.com/catalogList.asp?catType=M&catString=795"
"95","The Powerpuff Girls",1,5,"https://www.bricklink.com/catalogList.asp?catType=M&catString=925"
"96","The Simpsons",1,11,"https://www.bricklink.com/catalogList.asp?catType=M&catString=807"
"97","Time Cruisers",1,9,"https://www.bricklink.com/catalogList.asp?catType=M&catString=157"
"98","Town",37,1850,"https://www.bricklink.com/catalogList.asp?catType=M&catString=67"
"99","Toy Story",1,26,"https://www.bricklink.com/catalogList.asp?catType=M&catString=732"
"100","Train",1,87,"https://www.bricklink.com/catalogList.asp?catType=M&catString=124"
"101","Trolls World Tour",1,30,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1069"
"102","Ultra Agents",1,39,"https://www.bricklink.com/catalogList.asp?catType=M&catString=815"
"103","Unikitty!",1,38,"https://www.bricklink.com/catalogList.asp?catType=M&catString=965"
"104","Universe",1,1,"https://www.bricklink.com/catalogList.asp?catType=M&catString=755"
"105","Vidiyo",1,47,"https://www.bricklink.com/catalogList.asp?catType=M&catString=1125"
"106","Vikings",1,33,"https://www.bricklink.com/catalogList.asp?catType=M&catString=548"
"107","Western",1,29,"https://www.bricklink.com/catalogList.asp?catType=M&catString=69"
"108","World Racers",1,26,"https://www.bricklink.com/catalogList.asp?catType=M&catString=747"
