item_number,description,category,item_link
cre001,"Tina, Orange Torso, Light Gray Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre001
cre010,"Tina, Red Torso and Red Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre010
cre005,"Tina, White Torso and Red Legs",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=cre005
4j006,"Tractor Driver With Blue Overalls, Red Shirt, Plain Blue Cap, Beard Stubble",4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j006
4j001,Truck Driver with Brown Beard and Mirror Sunglasses,4 Juniors,https://bricklink.com/v2/catalog/catalogitem.page?M=4j001
adv001,Achu,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv001
adv002,Alexis Sanister,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv002
adv027,Babloo,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv027
adv004,Baron Von Barron with Brown Aviator Cap,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv004
adv005,Baron Von Barron with Light Gray Aviator Cap,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv005
adv003,Baron Von Barron with Pith Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv003
adv039,Baron Von Barron with Pith Helmet and White Epaulettes,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv039
adv006,Dr. Charles Lightning,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv006
adv040,Dr. Charles Lightning with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv040
adv033,Dr. Kilroy - Gray Suit,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv033
adv035,"Dr. Kilroy - Green Vest, Green Legs",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv035
adv026,"Dr. Kilroy - Green Vest, White Legs",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv026
adv046,Dragon Fortress Guard - Conical Helmet,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv046
adv047,"Dragon Fortress Guard - Conical Helmet, Quiver",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv047
adv045,"Dragon Fortress Guardian - Bat Helmet, Armor",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv045
adv048,Emperor Chang Wu with Cape,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv048
adv008,Gabarros,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv008
adv009,Harry Cane,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv009
adv050,Jing Lee the Wanderer,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv050
adv010,Johnny Thunder (Desert),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv010
adv041,Johnny Thunder (Desert) with Backpack,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv041
adv010a,Johnny Thunder (Desert) with LEGO Logo on Back,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv010a
adv024,Johnny Thunder (Expedition),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv024
adv054,Johnny Thunder (Expedition) with Plain Tan Legs,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv054
adv051,Johnny Thunder in Desert Outfit with Cleft Chin (Orient Expedition),Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv051
adv037,Johnny Thunder with Tan Legs with Pockets and Black Hands,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv037
adv038,"Lord Sam Sinister - Suit with 3 Buttons Black - Black Legs, Top Hat",Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv038
adv036,Lord Sam Sinister with Aviator Cap and Goggles,Adventurers,https://bricklink.com/v2/catalog/catalogitem.page?M=adv036
