item_number,description,category,item_link
gb014,"Dr. Winston Zeddemore, Printed Arms - with Proton Pack",Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb014
gb016,Erin Gilbert,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb016
gb007,Janine Melnitz,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb007
gb017,Jillian Holtzmann,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb017
gb019,Kevin Beckman,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb019
gb010,Library Ghost,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb010
gb008,Louis Tully,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb008
gb020,Mayhem,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb020
gb018,Patty Tolan,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb018
gb011,Slimer - Trans-Bright Green,Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb011
gb009,"Zombie Driver, Black Jacket",Ghostbusters,https://bricklink.com/v2/catalog/catalogitem.page?M=gb009
90398pb045,Alastor Moody Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb045
hp147,Albus Dumbledore,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp147
hp008,Albus Dumbledore (Yellow Version),Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp008
90398pb020,Albus Dumbledore Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb020
hp322,"Albus Dumbledore, 20th Anniversary Pearl Gold",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp322
hp190,"Albus Dumbledore, Lavender Robe, Dark Tan Hat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp190
hp060,"Albus Dumbledore, Light Nougat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp060
hp303,"Albus Dumbledore, Magenta Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp303
hp072,"Albus Dumbledore, Sand Blue Outfit",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp072
hp099,"Albus Dumbledore, Sand Blue Outfit with Silver Embroidery",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp099
hp313,"Albus Dumbledore, White Hair and Beard, Dark Orange Torso and Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp313
hp097,Argus Filch,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp097
90398pb025,Argus Filch Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb025
hp140,"Argus Filch, Bald on Top",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp140
hp211,"Arthur Weasley, Dark Tan Sweater, Dark Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp211
hp089,"Arthur Weasley, Sand Green Open Jacket, Light Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp089
hp194,Baby / Infant - with Stud Holder on Back with White Evil Face Pattern (Baby Voldemort),Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp194
90398pb026,Bellatrix Lestrange Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb026
hp218,"Bellatrix Lestrange, Black Dress, Long Black Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp218
hp092,"Bellatrix Lestrange, Printed Black Dress, Long Black Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp092
hp179,"Cedric Diggory, Black and Yellow Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp179
hp188,"Cedric Diggory, Black Suit and Bow Tie",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp188
hp269,"Cedric Diggory, Coveralls, Headphones, Tan Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp269
hp275,"Cedric Diggory, Yellow Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp275
hp236,Centaur,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp236
hp236a,Centaur - Quiver,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp236a
hp223,Cho Chang,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp223
hp259,"Cho Chang, Light Aqua Dress",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp259
hp263,"Cho Chang, Ravenclaw Sweater with Crest, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp263
hp304,Colin Creevey,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp304
hp245,Daily Prophet Photographer,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp245
hp289,"Dean Thomas, Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp289
hp073a,"Death Eater (Lucius Malfoy), Dark Bluish Gray Dementor Style Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp073a
hp073b,"Death Eater (Lucius Malfoy), Light Bluish Gray Dementor Style Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp073b
hp081,"Death Eater, Black Hood and Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp081
hp073,"Death Eater, Dementor Style Cape (Undetermined Cape Color)",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp073
hp198,"Death Eater, Wizard Hat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp198
hp101,"Dementor, Black Cloak and Hood",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp101
hp155,"Dementor, Black with Black Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp155
hp046,"Dementor, Sand Green with Dark Gray Shroud",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp046
hp017,Dobby (Elf) - Tan,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp017
hp105,"Dobby (Elf), Light Nougat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp105
hp224,"Dobby (Elf), Light Nougat, Open Mouth Smile",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp224
90398pb015,Draco Malfoy Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb015
hp037,"Draco Malfoy, Black Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp037
hp254,"Draco Malfoy, Black Torso Slytherin Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp254
hp024,"Draco Malfoy, Dark Bluish Gray Sweater, Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp024
hp085,"Draco Malfoy, Dark Bluish Gray Sweater, Smirk",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp085
hp108,"Draco Malfoy, Dark Green and White Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp108
hp020,"Draco Malfoy, Green Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp020
hp053,"Draco Malfoy, Green Quidditch Uniform, Light Nougat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp053
hp321,"Draco Malfoy, Hogwarts Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp321
hp115,"Draco Malfoy, Slytherin Stripe and Shield Torso, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp115
hp229,"Draco Malfoy, Slytherin Sweater and Black Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp229
hp267,"Draco Malfoy, Slytherin Sweater with Crest, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp267
hp221,"Draco Malfoy, Slytherin Sweater, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp221
hp262,"Draco Malfoy, Slytherin Sweater, Black Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp262
hp148,"Draco Malfoy, Slytherin Sweater, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp148
hp040,"Draco Malfoy, Slytherin Torso, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp040
hp216,Dudley Dursley,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp216
hp317,"Dudley Dursley, Striped Pajamas",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp317
hp128,Ernie Prang,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp128
hp193,"Ernie Prang - Olive Green Vest Knit, Half Bald",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp193
hp183,Executioner,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp183
hp209,"Fenrir Greyback, Black Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp209
hp091,"Fenrir Greyback, Dark Brown Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp091
hp178,Fleur Delacour,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp178
hp202,"Fleur Delacour, Bright Light Blue Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp202
hp187,"Fleur Delacour, Dress",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp187
hp244,Florean Fortescue,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp244
hp122,"Fred / George Weasley, Dark Orange Suit",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp122
hp252,"Fred Weasley, Reddish Brown Suit",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp252
hp203,Gabrielle Delacour,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp203
hp119,"Garrick Ollivander, Bushy Hair with Bangs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp119
hp246,"Garrick Ollivander, Dark Red Jacket and Hair Swept Back",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp246
hp169,"Garrick Ollivander, Reddish Brown Jacket and Hair Swept Back",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp169
hp168,Gellert Grindelwald,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp168
hp251,"George Weasley, Reddish Brown Suit",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp251
hp243,"Gilderoy Lockhart, Medium Lavender Torso and Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp243
hp305,"Ginny Weasley, Gryffindor Robe, Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp305
hp030,"Ginny Weasley, Gryffindor Shield Torso, Light Gray Legs, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp030
hp114,"Ginny Weasley, Gryffindor Stripe and Shield Torso, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp114
hp090,"Ginny Weasley, Light Bluish Gray Knitwear, Dark Red Legs with Pocket Pattern",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp090
hp249,"Ginny Weasley, Magenta Shirt",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp249
hp219,"Ginny Weasley, Sand Green Polo Shirt",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp219
hp078,"Goblin, Black Torso",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp078
hp079,"Goblin, Dark Red Torso",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp079
hp117,"Goblin, Light Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp117
hp118,"Goblin, Reddish Brown Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp118
hp159,Godric Gryffindor,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp159
hp132,Gregory Goyle,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp132
hp318,"Griphook, Dark Red Suit",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp318
90398pb027,"Gryffindor Student Statuette / Trophy #1, Dark Brown Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb027
90398pb028,"Gryffindor Student Statuette / Trophy #2, Dark Red Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb028
90398pb029,"Gryffindor Student Statuette / Trophy #3, Black Hair",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb029
hp222,Hannah Abbott,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp222
90398pb016,Harry Potter Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb016
41983,Harry Potter Troll,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=41983
hp284,"Harry Potter, 20th Anniversary Pearl Gold",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp284
hp176,"Harry Potter, Black and Dark Red Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp176
hp133,"Harry Potter, Black Long Coat and Vest, Dark Red Shirt and Tie",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp133
hp184,"Harry Potter, Black Suit, White Bow Tie",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp184
hp237,"Harry Potter, Black Torso Gryffindor Robe, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp237
hp247,"Harry Potter, Black Torso Gryffindor Robe, Dark Brown Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp247
hp004,"Harry Potter, Blue Open Shirt Torso, Tan Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp004
hp059,"Harry Potter, Blue Open Shirt Torso, Tan Legs, Light Nougat Hands & Head",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp059
hp033,"Harry Potter, Dark Blue Jacket Torso, Light Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp033
hp087,"Harry Potter, Dark Blue Open Jacket with Stripe, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp087
hp116,"Harry Potter, Dark Blue Open Jacket with Stripe, Dark Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp116
hp326,"Harry Potter, Dark Blue Open Jacket with Tears and Blood Stains, Dark Tan Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp326
hp288,"Harry Potter, Dark Blue Open Jacket, Black Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp288
hp175,"Harry Potter, Dark Blue Open Jacket, Dark Tan Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp175
hp206,"Harry Potter, Dark Blue Sweater with Letter 'H'",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp206
hp153,"Harry Potter, Dark Blue Zip Up",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp153
hp057,"Harry Potter, Dark Bluish Gray Open Shirt Torso, Dark Blue Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp057
hp041,"Harry Potter, Dark Bluish Gray Open Shirt Torso, Dark Tan Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp041
hp233,"Harry Potter, Dark Red Plaid Flannel Shirt, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp233
hp143,"Harry Potter, Dark Red Plaid Flannel Shirt, Dark Bluish Gray Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp143
hp019,"Harry Potter, Dark Red Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp019
hp110,"Harry Potter, Dark Red Quidditch Uniform, Light Nougat Head",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp110
hp232,"Harry Potter, Dark Red Shirt and Tie, Black Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp232
hp278,"Harry Potter, Dark Red Torn Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp278
hp238,"Harry Potter, Gryffindor Cardigan Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp238
hp300,"Harry Potter, Gryffindor Robe Clasped Closed, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp300
hp333,"Harry Potter, Gryffindor Robe Open, Black Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp333
hp314,"Harry Potter, Gryffindor Robe Open, Sweater, Shirt and Tie, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp314
hp281,"Harry Potter, Gryffindor Robe, Sweater, Shirt and Tie, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp281
hp005,"Harry Potter, Gryffindor Shield Torso, Light Gray Legs, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp005
hp036,"Harry Potter, Gryffindor Shield Torso, Light Gray Legs, Violet Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp036
hp094,"Harry Potter, Gryffindor Stripe and Shield Torso, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp094
hp056,"Harry Potter, Gryffindor Stripe Torso, Dark Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp056
hp086,"Harry Potter, Gryffindor Stripe Torso, Dark Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp086
hp056a,"Harry Potter, Gryffindor Stripe Torso, Dark Bluish Gray Legs, Plain Black Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp056a
hp051,"Harry Potter, Gryffindor Stripe Torso, Dark Bluish Gray Legs, Violet Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp051
hp265,"Harry Potter, Gryffindor Sweater with Crest, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp265
hp220,"Harry Potter, Gryffindor Sweater, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp220
hp150,"Harry Potter, Gryffindor Sweater, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp150
hp035,"Harry Potter, Hogwarts Torso, Light Gray Legs, Black Wizard / Witch Hat, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp035
hp213,"Harry Potter, Light Bluish Gray Hooded Sweatshirt",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp213
hp138,"Harry Potter, Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp138
hp025,"Harry Potter, Red Shirt Torso, Light Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp025
hp256,"Harry Potter, Sand Blue Jacket, Dirty Face",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp256
hp316,"Harry Potter, Sand Blue Jacket, Smiling",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp316
hp038,"Harry Potter, Sand Green Sweater Torso, Blue Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp038
hp285,"Harry Potter, Slytherin Robe, Gregory Goyle Transformation",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp285
hp066,"Harry Potter, Tournament Sleeveless Shirt & Swim Trunks, Flippers",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp066
hp074,"Harry Potter, Tournament Uniform Paneled Shirt",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp074
hp195,"Harry Potter, Tournament Uniform Paneled Shirt, Detailed",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp195
hp075,"Harry Potter, Tournament Uniform Tattered Shirt",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp075
hp125,"Harry Potter, Yule Ball Vest and Bow Tie",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp125
hp026,"Harry/Goyle, Slytherin Torso, Light Gray Legs, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp026
hp160,Helga Hufflepuff,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp160
90398pb017,Hermione Granger Statuette / Trophy,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb017
hp276,"Hermione Granger, 20th Anniversary Pearl Gold",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp276
hp253,"Hermione Granger, Black Torso Gryffindor Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp253
hp181,"Hermione Granger, Bright Pink Jacket",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp181
hp327,"Hermione Granger, Bright Pink Jacket with Stains",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp327
hp279,"Hermione Granger, Dark Green Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp279
hp240,"Hermione Granger, Gryffindor Cardigan Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp240
hp331,"Hermione Granger, Gryffindor Robe Clasped, Sweater, Shirt and Tie, Black Medium Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp331
hp315,"Hermione Granger, Gryffindor Robe Open, Sweater, Shirt and Tie, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp315
hp282,"Hermione Granger, Gryffindor Robe, Sweater, Shirt and Tie, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp282
hp002,"Hermione Granger, Gryffindor Shield Torso, Light Gray Legs, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp002
hp095,"Hermione Granger, Gryffindor Stripe and Shield Torso, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp095
hp063,"Hermione Granger, Gryffindor Stripe Torso w/ Necklace Time Turner, Dark Bluish Gray Legs, Plain Black Cape",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp063
hp054,"Hermione Granger, Gryffindor Stripe Torso w/ Necklace, Dark Bluish Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp054
hp065,"Hermione Granger, Gryffindor Stripe Torso, Dark Bluish Gray Legs, Sleeping / Awake Face",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp065
hp083,"Hermione Granger, Gryffindor Stripe Torso, Reddish Brown Female Hair Mid-Length",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp083
hp139,"Hermione Granger, Gryffindor Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp139
hp272,"Hermione Granger, Gryffindor Sweater with Crest, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp272
hp320,"Hermione Granger, Hogwarts Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp320
hp208,"Hermione Granger, Hogwarts Robe Clasped with Gryffindor Shield, Black Short Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp208
hp003,"Hermione Granger, Hogwarts Torso, Light Gray Legs, Black Cape with Stars",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp003
hp121,"Hermione Granger, Light Bluish Gray Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp121
hp156,"Hermione Granger, Light Bluish Gray Sweater with Pastel Stripes",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp156
hp001,"Hermione Granger, Medium Blue Torso, Blue Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp001
hp186,"Hermione Granger, Pink Dress",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp186
hp225,"Hermione Granger, Pink Dress, Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp225
hp286,"Hermione Granger, Slytherin Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp286
hp234,"Hermione Granger, Striped Sweater",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp234
hp171,"Horace Slughorn, Dark Tan Vest",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp171
hp230,"Horace Slughorn, Reddish Brown Vest",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp230
hp016,HP Chess Queen,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp016
90398pb030,"Hufflepuff Student Statuette / Trophy #1, Nougat Face",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb030
90398pb031,"Hufflepuff Student Statuette / Trophy #2, Reddish Brown Face",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb031
90398pb032,"Hufflepuff Student Statuette / Trophy #3, Light Nougat Face",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=90398pb032
hp166,Jacob Kowalski,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp166
hp306,Justin Finch-Fletchley,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp306
hp047,Knight Bus Driver / Conductor,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp047
hp226,Lavender Brown,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp226
hp135,"Lucian Bole, Quidditch Uniform",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp135
hp039,"Lucius Malfoy, Black Suit Torso, Black Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp039
hp018,"Lucius Malfoy, Dark Gray Suit Torso, Dark Gray Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp018
hp104,"Lucius Malfoy, Light Nougat",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp104
hp255,"Lucius Malfoy, Printed Legs",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp255
hp103,Luna Lovegood,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp103
hp227,"Luna Lovegood, Lavender Dress",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp227
hp307,"Luna Lovegood, Ravenclaw Robe",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp307
hp239,"Luna Lovegood, Ravenclaw Sweater Vest",Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp239
hp325,Madam Poppy Pomfrey,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp325
hp290,Madam Rosmerta,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp290
hp021,Madame Hooch,Harry Potter,https://bricklink.com/v2/catalog/catalogitem.page?M=hp021
