image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2421,28,"Minifigure, Head Dual Sided Child Black Eyebrows, Reddish Brown Freckles, Happy / Scared Pattern",Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2421,2019
NA,3626cpb2421,28,"Minifigure, Head Dual Sided Child Black Eyebrows, Reddish Brown Freckles, Happy / Scared Pattern",Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2421,2019
NA,3626cpb2742,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Raised Right Eyebrow / Eyes Closed Raised Eyebrows Pattern",Yellow,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2742,2021
NA,3626cpb2742,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Raised Right Eyebrow / Eyes Closed Raised Eyebrows Pattern",Yellow,sleepy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2742,2021
NA,3626cpb2743,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Open Mouth with Red Tongue / Red Tongue Sticking Out Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2743,2021
NA,3626cpb2743,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Open Mouth with Red Tongue / Red Tongue Sticking Out Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2743,2021
NA,3626cpb1349,3,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, White Pupils, Freckles and Smiling / Scared Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1349,2015
NA,3626cpb1349,3,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, White Pupils, Freckles and Smiling / Scared Pattern",Yellow,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1349,2015
NA,3626cpb2472,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Small Happy / Small Closed Smile Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2472,2019
NA,3626cpb2472,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Small Happy / Small Closed Smile Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2472,2019
NA,3626cpb2614,3,"Minifigure, Head Dual Sided Child, Black Eyebrows, Happy / Open Mouth Smile with Butterfly Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2614,2020
NA,3626cpb2614,3,"Minifigure, Head Dual Sided Child, Black Eyebrows, Happy / Open Mouth Smile with Butterfly Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2614,2020
NA,3626cpb2648,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Open Mouth Smile with Teeth and Tongue / Surprised Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2648,2020
NA,3626cpb2648,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Open Mouth Smile with Teeth and Tongue / Surprised Pattern",Yellow,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2648,2020
NA,3626cpb2649,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Smile with Teeth / Surprised Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2649,2020
NA,3626cpb2649,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Smile with Teeth / Surprised Pattern",Yellow,surprised,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2649,2020
NA,3626bpb0471,3,"Minifigure, Head Child Brown Eyebrows and Freckles, Happy, White Pupils Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0471,2010
NA,3626cpb0471,3,"Minifigure, Head Child Brown Eyebrows and Freckles, Happy, White Pupils Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0471,2011
NA,3626cpb2079,3,"Minifigure, Head Child Dark Orange Small Eyebrows, Small Open Mouth with Teeth and Tongue Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2079,2018
NA,3626cpb2597,3,"Minifigure, Head Child Reddish Brown Eyebrows, Small Happy with Top Teeth Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2597,2020
NA,3626cpb2335,3,"Minifigure, Head Child, Dark Orange Eyebrows and Freckles, Small Smile Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2335,2018
NA,3626cpb1818,3,"Minifigure, Head Child Dark Orange Eyebrows and Spot under Left Eye, Lopsided Open Happy Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1818,2017
NA,3626cpb2747,3,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Dark Tan # Smudge, Happy / Happy Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2747,2021
NA,3626cpb2747,3,"Minifigure, Head Dual Sided Child Reddish Brown Eyebrows, Dark Tan # Smudge, Happy / Happy Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2747,2021
NA,3626cpb2380,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Big Smile, Teeth, Open Eyes / Closed Eyes Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2380,2019
NA,3626cpb2380,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Big Smile, Teeth, Open Eyes / Closed Eyes Pattern",Yellow,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2380,2019
NA,3626cpb0595,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Dark Orange Freckles, Smile / Worried Pattern",Yellow,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0595,2011
NA,3626cpb0595,3,"Minifigure, Head Dual Sided Child Black Eyebrows, Dark Orange Freckles, Smile / Worried Pattern",Yellow,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0595,2011
