image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb0932,90,"Minifigure, Head Dual Sided Black Bushy Eyebrows, Brown Goatee, Cheek Lines, Angry / Bared Teeth with Red Eyes Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0932,2013
NA,3626cpb2052,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Tan Soul Patch, Black Eye and Missing Tooth / Blue Captain America Mask Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2052,2017
NA,3626cpb2052,90,"Minifigure, Head Dual Sided Black Eyebrows, Dark Tan Soul Patch, Black Eye and Missing Tooth / Blue Captain America Mask Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2052,2017
NA,3626cpb2728,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache, White Beard, Neutral / Scared Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2728,2021
NA,3626cpb2728,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Moustache, White Beard, Neutral / Scared Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2728,2021
NA,3626cpb1471,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Black Bandana / Black Eye Mask with Eye Holes Pattern (Winter Soldier)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1471,2015
NA,3626cpb1471,90,"Minifigure, Head Dual Sided Dark Brown Eyebrows and Black Bandana / Black Eye Mask with Eye Holes Pattern (Winter Soldier)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1471,2015
NA,3626cpb0734,90,"Minifigure, Head Dual Sided LotR Boromir Goatee Stern / Grimacing Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0734,2012
NA,3626cpb0734,90,"Minifigure, Head Dual Sided LotR Boromir Goatee Stern / Grimacing Pattern",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0734,2012
NA,3626cpb1155,90,"Minifigure, Head Dual Sided Thick Brown Eyebrows, Silver Sunglasses, Angry Bared Teeth / Open Mouth Smile Pattern (Doc Ock)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1155,2014
