image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2896,90,"Minifigure, Head Black Eyebrows, Mean Grin and Gold Tooth Pattern - Hollow Stud",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2896,2021
NA,3626cpb2850,28,"Minifigure, Head Dark Orange Brow Furrows, Cheek Lines, Chin Dimple, Black Eyebrows, White Scars Pattern - Hollow Stud",Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2850,2021
NA,3626cpb2953,28,"Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Cheek Lines, Dark Red Headband with Skull, Dark Gray Face Paint, Angry / Frown Pattern - Hollow Stud",Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2953,2021
NA,3626cpb2953,28,"Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Cheek Lines, Dark Red Headband with Skull, Dark Gray Face Paint, Angry / Frown Pattern - Hollow Stud",Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2953,2021
NA,3626cpb2871,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Medium Nougat Contour Lines, Grin / Scowl with 4 Sharp Teeth Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2871,2021
NA,3626cpb2871,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows, Medium Nougat Contour Lines, Grin / Scowl with 4 Sharp Teeth Pattern - Hollow Stud",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2871,2021
NA,3626cpb3045,28,"Minifigure, Head Dual Sided SW Silver Visor, Lime Lenses, Cheek Lines, Open Mouth Grimace / Black Eyebrows, One Raised Pattern - Hollow Stud",Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3045,2021
NA,3626cpb3045,28,"Minifigure, Head Dual Sided SW Silver Visor, Lime Lenses, Cheek Lines, Open Mouth Grimace / Black Eyebrows, One Raised Pattern - Hollow Stud",Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3045,2021
NA,3626cpb2911,90,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Age Lines and Blemishes, Grin / Angry Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2911,2021
NA,3626cpb2911,90,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Age Lines and Blemishes, Grin / Angry Pattern - Hollow Stud",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2911,2021
NA,3626cpb2840,90,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Cheek Lines, Frown Left Eyebrow Raised / Open Scowl Pattern - Hollow Stud",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2840,2021
NA,3626cpb2840,90,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Cheek Lines, Frown Left Eyebrow Raised / Open Scowl Pattern - Hollow Stud",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2840,2021
NA,3626cpb2868,90,"Minifigure, Head Dual Sided, Black Eyebrows, Medium Nougat Cheek Lines, Raised Right Eyebrow / Grin with Teeth Pattern - Hollow Stud",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2868,2021
NA,3626cpb2868,90,"Minifigure, Head Dual Sided, Black Eyebrows, Medium Nougat Cheek Lines, Raised Right Eyebrow / Grin with Teeth Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2868,2021
NA,3626cpb2844,90,"Minifigure, Head Dual Sided, Dark Brown Eyebrows, Dark Orange Brow Furrows and Jowel Lines, Smile / Neutral Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2844,2021
NA,3626cpb2844,90,"Minifigure, Head Dual Sided, Dark Brown Eyebrows, Dark Orange Brow Furrows and Jowel Lines, Smile / Neutral Pattern - Hollow Stud",Light Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2844,2021
NA,3626cpb2846,90,"Minifigure, Head Dual Sided, Dark Brown Eyebrows, Dark Orange Brow Furrows, Lopsided Grin / Confused with Raised Eyebrow Pattern - Hollow Stud",Light Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2846,2021
NA,3626cpb2846,90,"Minifigure, Head Dual Sided, Dark Brown Eyebrows, Dark Orange Brow Furrows, Lopsided Grin / Confused with Raised Eyebrow Pattern - Hollow Stud",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2846,2021
NA,3626cpb2845,90,"Minifigure, Head Dual Sided, Medium Nougat Eyebrows and Cheek Lines, Silver Glasses, Smile / Scowl Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2845,2021
NA,3626cpb2845,90,"Minifigure, Head Dual Sided, Medium Nougat Eyebrows and Cheek Lines, Silver Glasses, Smile / Scowl Pattern - Hollow Stud",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2845,2021
NA,3626cpb3046,28,"Minifigure, Head SW Black Eyebrows, Dark Red Crosshair Tattoo and Dark Orange Cheek Lines Pattern - Hollow Stud",Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3046,2021
