image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb3035,90,"Minifigure, Head Dual Sided Child Female, Black Eyebrows, Dark Tan Mud Drops, Happy / Scared Pattern - Hollow Stud",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3035,2022
NA,3626cpb3035,90,"Minifigure, Head Dual Sided Child Female, Black Eyebrows, Dark Tan Mud Drops, Happy / Scared Pattern - Hollow Stud",Light Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3035,2022
NA,3626cpb2731,28,"Minifigure, Head Dual Sided Child Female, Black Eyebrows, Red Lips, Smile / Worried Pattern - Hollow Stud",Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2731,2021
NA,3626cpb2731,28,"Minifigure, Head Dual Sided Child Female, Black Eyebrows, Red Lips, Smile / Worried Pattern - Hollow Stud",Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2731,2021
