image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2370,28,"Minifigure, Head Dual Sided Dark Orange Eyebrows and Chin Contour, Smile / Fierce Pattern",Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2370,2019
NA,3626cpb2252,28,"Minifigure, Head Black Eyebrows and Fu Manchu, Neutral Expression Pattern",Nougat,neutral,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2252,2018
NA,3626cpb2158,28,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Contours, Smile / Suspicious Frown Pattern",Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2158,2018
NA,3626cpb2158,28,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Contours, Smile / Suspicious Frown Pattern",Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2158,2018
NA,3626cpb2639,28,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Furrows, Evil Smile / Scared Pattern",Nougat,smirk,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2639,2020
NA,3626cpb2639,28,"Minifigure, Head Dual Sided Black Eyebrows, Dark Orange Furrows, Evil Smile / Scared Pattern",Nougat,scared,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2639,2020
NA,3626cpb1429,88,"Minifigure, Head Black Eyebrows, White Pupils, Dark Tan Chin Dimple, Sad Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1429,2015
NA,3626cpb2652,88,"Minifigure, Head Orange Diagonal Stripes, Black Eyebrows, Orange Eyes, Gritted Teeth Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2652,2020
NA,3626bpb0571,88,"Minifigure, Head PotC Cannibal White and Yellow Face Paint Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0571,2011
NA,3626cpb0571,88,"Minifigure, Head PotC Cannibal White and Yellow Face Paint Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0571,2011
NA,3626bpb0573,88,"Minifigure, Head PotC Cannibal Yellow Face Paint Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0573,2011
NA,3626cpb0906,88,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Determined / Angry Pattern",Reddish Brown,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0906,2013
NA,3626cpb0906,88,"Minifigure, Head Dual Sided Black Eyebrows, Cheek Lines, Determined / Angry Pattern",Reddish Brown,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0906,2013
NA,3626bpb0424,88,"Minifigure, Head Grim Face with Cheek Lines, Thin Eyebrows and White Pupils Pattern",Reddish Brown,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0424,2010
NA,3626cpb0424,88,"Minifigure, Head Grim Face with Cheek Lines, Thin Eyebrows and White Pupils Pattern",Reddish Brown,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0424,2012
NA,3626cpb2253,88,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Smile / Red Head-Up Display with Dark Red Shapes Pattern",Reddish Brown,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2253,2018
