"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"203","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Trans-Brown"
"204","28139pb01","Minifigure, Hair Female Long Wavy with Curled Bangs with White Rose and Green Leaves Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28139pb01","https://www.bricklink.com/catalogItemIn.asp?P=28139pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28139pb01#T=C","Red"
"205","28432","Minifigure, Hair Female Long Wavy with Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28432","https://www.bricklink.com/catalogItemIn.asp?P=28432&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28432#T=C","Black"
"206","28432","Minifigure, Hair Female Long Wavy with Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28432","https://www.bricklink.com/catalogItemIn.asp?P=28432&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28432#T=C","Bright Light Yellow"
"207","28432","Minifigure, Hair Female Long Wavy with Ponytail","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28432","https://www.bricklink.com/catalogItemIn.asp?P=28432&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28432#T=C","Dark Red"
"208","28432pb02","Minifigure, Hair Female Long Wavy with Ponytail with Gold Band Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28432pb02","https://www.bricklink.com/catalogItemIn.asp?P=28432pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28432pb02#T=C","Coral"
"209","28432pb02","Minifigure, Hair Female Long Wavy with Ponytail with Gold Band Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28432pb02","https://www.bricklink.com/catalogItemIn.asp?P=28432pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28432pb02#T=C","Dark Red"
"210","1987pb01","Minifigure, Hair Female Long Wavy, High Back Ponytail with Marbled Satin Trans-Dark Pink Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb01","https://www.bricklink.com/catalogItemIn.asp?P=1987pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb01#T=C","Satin Trans-Light Blue"
"211","1987pb03","Minifigure, Hair Female Long Wavy, High Back Ponytail with Marbled Satin Trans-Yellow Pattern ","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb03","https://www.bricklink.com/catalogItemIn.asp?P=1987pb03&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb03#T=C","Satin Trans-Dark Pink"
"212","1987pb02","Minifigure, Hair Female Long Wavy, High Back Ponytail with Marbled Trans-Dark Pink Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb02","https://www.bricklink.com/catalogItemIn.asp?P=1987pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=1987pb02#T=C","Black"
"213","41614","Minifigure, Hair Female Long Wavy, Swept Back Bangs, Braid Twisted over Left Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=41614","https://www.bricklink.com/catalogItemIn.asp?P=41614&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=41614#T=C","Bright Light Yellow"
"214","68520","Minifigure, Hair Female Long with Bangs and Front Pigtails - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=68520","https://www.bricklink.com/catalogItemIn.asp?P=68520&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=68520#T=C","Black"
"215","68520","Minifigure, Hair Female Long with Bangs and Front Pigtails - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=68520","https://www.bricklink.com/catalogItemIn.asp?P=68520&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=68520#T=C","Dark Blue"
"216","68520","Minifigure, Hair Female Long with Bangs and Front Pigtails - Flexible Rubber","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=68520","https://www.bricklink.com/catalogItemIn.asp?P=68520&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=68520#T=C","Dark Orange"
"217","13784","Minifigure, Hair Female Long with Braided Pigtails","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=13784","https://www.bricklink.com/catalogItemIn.asp?P=13784&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=13784#T=C","Bright Light Yellow"
