"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"289","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Dark Orange"
"290","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Lavender"
"291","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Light Yellow"
"292","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Lime"
"293","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Medium Nougat"
"294","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Red"
"295","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Reddish Brown"
"296","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","Tan"
"297","85974","Minifigure, Hair Female Mid-Length with Part over Right Shoulder","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974","https://www.bricklink.com/catalogItemIn.asp?P=85974&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974#T=C","White"
"298","85974pb01","Minifigure, Hair Female Mid-Length with Part over Right Shoulder with Bright Pink Flower Pattern on Left Side","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb01","https://www.bricklink.com/catalogItemIn.asp?P=85974pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=85974pb01#T=C","Black"
